age,temp
0,10.997
62.5,11.078
125,10.299
187.5,10.682
250,9.98
312.5,11.409
375,10.536
437.5,10.167
500,11.091
562.5,11.576
698.22,10.937
771.44,10.727
844.66,11.236
917.88,10.806
991.09,10.47
1064.31,10.947
1137.53,10.922
1210.75,10.932
1283.97,10.709
1357.19,10.83
1430.41,9.456
1503.63,10.929
1576.84,10.388
1650.06,10.778
1723.28,10.124
1796.5,10.873
1856.72,10.441
1916.94,10.487
2037.39,9.716
2157.83,11.338
2218.06,10.134
2278.28,9.009
2338.5,10.593
2398.72,10.611
2458.94,8.941
2519.17,11.403
2579.39,10.927
2639.61,9.821
2699.83,10.458
2760.06,10.538
2820.28,9.305
2880.5,10.744
2997.21,10.421
3113.93,9.662
3230.64,10.629
3347.36,10.554
3464.07,8.669
3580.79,10.335
3697.5,9.555
3814.21,11.709
3930.93,9.979
4047.64,10.85
4164.36,9.989
4281.07,10.232
4397.79,9.444
4514.5,11.383
4802.21,10.67
5089.93,9.468
5233.79,9.824
5377.64,11.36
5521.5,9.443
5665.36,9.027
5809.21,9.715
5953.07,11.076
6240.79,10.246
6528.5,8.7
6623.66,9.622
6718.81,10.615
6813.97,10.136
6909.13,10.235
7004.28,9.331
7099.44,11.501
7194.59,10.097
7289.75,9.975
7480.06,10.356
7670.38,10.984
7860.69,9.759
8051,9.653
8092.15,10.261
8133.3,10.791
8174.45,10.997
8215.6,9.713
8256.75,9.19
8297.9,11.311
8339.05,9.182
8380.2,9.23
8421.35,11.141
8462.5,10.113
8527.4,9.218
8592.31,10.339
8657.21,9.888
8722.12,10.644
8787.02,9.14
8851.93,10.03
8916.83,9.893
8981.74,8.627
9046.64,10.123
9111.55,10.607
9176.45,10.346
9241.36,9.615
9371.17,10.221
9436.07,9.656
9500.98,11.653
9565.88,10.105
9630.79,9.863
9695.69,10.828
9760.6,12.242
9825.5,10.455
9860.5,10.286
9895.5,9.594
9930.5,10.398
9965.5,9.704
10000.5,10.022
10031.13,10.595
10066.13,9.544
10101.13,10.598
10175.5,9.858
10233.77,10.728
10280.3,9.969
10326.83,10.972
10373.37,9.863
10417.75,11.811
10483.25,11.128
10548.75,9.562
10614.25,9.796
10674.22,10.556
10728.66,10.413
10783.1,10.165
10837.53,11.155
10891.97,10.506
10946.41,11.098
11000.85,11.104
11055.29,11.092
11109.72,10.672
11164.16,10.731
11218.6,9.181
11273.04,9.178
11327.48,10.566
11354.7,9.593
11390.75,9.213
11429.75,9.604
11468.75,8.878
11507.75,9.231
11546.75,8.247
11585.75,9.729
11615,8.886
11654,9.46
11693,10.885
11732,8.907
11771,9.847
11810,9.192
11849,10.465
