age,temp
50,15
290,14.5
540,14.5
790,15
1050,14.4
1320,15.1
1600,14.8
1900,15.3
2210,15.5
2530,14.9
2880,15.5
3250,15.5
3630,15.7
4030,15.6
4440,15.8
4850,15.8
5270,15.7
5680,15.7
6090,15.8
6490,16.1
6870,16.2
7240,16.2
7590,16
7920,15.8
8240,16.2
8540,16.1
8820,15.9
9080,16.1
9330,15.9
9560,16.3
9780,16.8
9980,16.6
10170,16.5
10350,16.8
10520,16.4
10690,16.1
10860,16.9
11030,16.1
11220,17.3
11410,16.6
11620,16.4
11840,16.5
12080,16.7
12330,16.6
12610,16.2
12890,16.1
13200,15.8
13510,15.6
13830,15.3
14170,15.2
14500,14.9
14840,14.8
15190,15
15540,14.7
15880,14.7
16220,14.3
16560,14.4
16880,14.6
17180,14.5
17450,14.3
17700,13.7
17920,13
18100,13.3
18260,13.3
18380,13
18490,13.6
18570,13.3
18640,13.1
18690,12.8
18730,12.7
18760,12.8
18780,12.7
18800,12.3
18820,11.6
18840,11.4
18860,10.6
18890,10.4
18930,10.1
18970,10.1
19030,9.9
19100,10.3
19180,10.1
19280,10
19380,10
19490,10.2
19610,10.1
19740,10.4
19880,10.5
20030,10.3
20180,10.4
20350,10.1
20510,10.1
20690,10.2
20820,10.2
20960,9.9
21150,9.9
21350,9.7
21560,9.9
21770,10
21990,10
22220,9.9
22440,10.1
22670,9.9
22900,10.1
23120,9.8
23350,11.4
23560,11.6
23780,12.9
23980,12.1
24180,11.5
24370,12
24560,11.7
24740,12.6
24910,11.9
25080,10.9
25240,11.6
25390,11.4
25540,11.4
25680,11.7
25820,11.2
25950,10.9
26080,10.8
26200,10.9
26310,11.8
26430,11.6
26530,11.3
26640,10.9
26730,11
26830,11.1
26920,11.1
27000,12
27080,11.1
27160,11.6
27240,11.4
27310,11.9
27370,13.5
27440,13.3
27500,13.7
27560,12.6
27610,13.8
27670,13.2
27720,14.7
27760,12.7
27810,12.8
27850,12.9
27890,13.1
27930,15.6
27970,13.4
28010,12.8
28040,12.7
28080,13.5
28110,13.4
28140,13.3
28170,13.2
28200,13.3
28230,13.1
28260,13.5
28280,12.6
28310,12.6
28340,12.3
28370,12.3
28400,12.1
28420,11.7
28450,12.5
28480,12.7
28510,12.6
28540,12.3
28580,13.4
28610,14.2
28640,14.4
28680,14.5
28720,14.8
28760,13.6
28800,14.3
28840,14.9
28890,14.2
28930,14.4
28980,13.8
29030,13.6
29090,13.4
29150,13.7
29210,13.9
29270,14.7
29340,14.4
29410,14.3
29480,13.6
29550,13.3
29630,12.8
29710,12.9
29800,13
29880,13.1
29970,13
30060,12.8
30150,12.2
30250,12.6
30350,13.3
30450,12.9
30550,12.5
30650,12.7
30760,12.3
30870,11.6
30980,11.4
31090,12
31210,12.5
31320,12.5
