age,temp
50,14.98
290,14.46
540,14.53
790,15
1050,14.4
1320,15.06
1600,14.82
1900,15.26
2210,15.5
2530,14.88
2880,15.5
3250,15.49
3630,15.65
4030,15.6
4440,15.78
4850,15.8
5270,15.73
5680,15.7
6090,15.79
6490,16.08
6870,16.15
7240,16.18
7590,16.05
7920,15.84
8240,16.21
8540,16.1
8820,15.91
9080,16.12
9330,15.87
9560,16.31
9780,16.8
9980,16.59
10170,16.47
10350,16.79
10520,16.43
10690,16.07
10860,16.92
11030,16.12
11220,17.32
11410,16.59
11620,16.41
11840,16.54
12080,16.66
12330,16.61
12610,16.16
12890,16.12
13200,15.75
13510,15.59
13830,15.35
