age,temp
400,17.6
968,17.8
1805,17.6
2624,17.3
3426,18
4208,17.5
4970,18.6
5637,18.6
6286,17.9
7054,18
7462,18.6
7729,18.3
8122,18.1
8443,18.6
8759,17.5
8945,18.3
9372,19.1
9552,18.6
9846,17.6
10418,18.7
10529,18.8
10804,15.4
11073,13.3
11337,13.4
11595,11.7
11847,11.7
12094,13.5
12336,13
12573,14.5
12804,14.7
13252,15.4
13681,15.5
13888,15.5
14091,15.1
14485,14.8
14675,14.3
14861,14.8
15044,13.2
15223,12.4
15571,12
15740,12.9
15906,12.8
16069,12.3
16229,11.9
16387,11.5
16543,11.9
16604,12.3
16726,11.1
16877,12.1
16967,11.7
17115,11.3
17261,12
17435,11
17578,12.6
17720,13.5
17862,13.7
18003,13.8
18143,14.3
18282,14.1
18422,14.2
18561,13.7
18701,13.8
18841,14.2
18981,13.8
19121,14.1
19263,14
19405,14.9
19548,14.1
19838,13.7
20164,13.7
20436,13.8
20746,13.3
21000,13
21195,12.6
21527,12.6
21869,13.3
22187,13.3
22587,12.5
22964,11.1
23353,11.1
23755,12.3
24127,12.5
24552,12.6
24989,12.4
25438,10.6
25945,10
26417,12.7
26802,12.9
27045,13
27340,12.9
27887,13.2
28391,12.9
28899,10.9
29359,12.6
29871,12.7
30382,11.5
30939,9.9
31439,10.2
