age,temp
6083,18.5
6153,18.3
6223,18.3
6293,19.3
6364,18.2
6505,17.1
6578,17.8
6651,18.4
6670,18.9
6725,18.4
6800,18
6950,19.2
7045,18.9
7103,18.9
7183,18.7
7262,18.6
7342,18.8
7421,18.9
7502,18.5
7585,19.4
7668,19
7754,18.8
7839,18.9
7925,19.2
8011,18.8
8098,18.9
8187,19.3
8278,19.1
8369,19.5
8462,19.5
8554,19
8648,19
8742,19.1
8838,19.1
8942,19.5
8994,18.7
9098,19.1
9151,19.3
9257,19.4
9363,19.3
9471,19.2
9580,19.4
9692,19.2
9807,19
10507,18.6
10633,18.6
10758,18.8
10884,18.6
11010,18.7
11136,18.7
11270,18.4
11404,18.5
11539,18.6
11677,18.5
11815,18.4
11955,18.4
12095,18.4
12240,18.2
12392,18
12543,17.9
12698,18.2
12854,17.7
13010,17.4
13167,17.4
13324,17.2
13501,17.3
13678,17.3
13856,17.4
14034,17.3
14212,16.9
14390,16.8
14568,17.2
14657,17
14745,16.9
14922,16.8
15099,16.7
15275,16.8
15451,16.4
15625,16.5
15794,16.2
15964,16.3
16125,16
16285,15.8
16365,15.6
16445,15.7
16604,15.4
16763,15.4
16906,15.1
17048,14.8
17118,14.5
17185,14.4
17318,14.6
17451,14.3
17579,14.7
17706,14.2
17820,13.8
17917,13.9
18014,13.8
18098,14
18182,14.1
18223,13.7
18264,14
18345,13.8
18426,14.3
18477,14
18527,14
18575,14.4
18622,14.5
18669,14.4
18718,14.3
18766,14.1
18815,14
18864,14.3
18914,14.2
18964,14.1
19015,13.9
19041,13.5
19069,13.6
19125,13.7
19182,13.6
19250,13.9
19318,13.8
19387,13.8
19457,13.8
19528,13.4
19637,13.5
19745,13.7
19801,13.7
19868,13.9
20004,14.3
20139,14.3
20278,14.5
20418,14.7
20559,14.8
20703,14.8
20775,14.6
20846,14.8
20992,14.9
21138,15
21283,14.9
21426,15.1
21567,15.2
21660,15.4
21754,15.1
21844,15.2
21931,15.2
22018,15.6
22104,15.4
22190,15.6
22272,15.7
22352,15.7
22432,15.7
22512,15.9
22591,15.9
22631,15.1
22671,15.7
22750,15.1
22829,14.5
22908,14.5
22987,14.5
23066,14.8
23145,14.7
23165,14.5
23224,14.9
23303,15.2
23382,15.3
23460,15.6
23539,15.5
23618,15.2
23697,15.3
23776,15
23855,15
23934,15.1
23954,14.9
24013,15.2
24093,15.3
24173,15.2
24253,15.4
24333,15.4
24412,15.5
24496,15.2
24579,15.6
24662,15.7
24746,15.6
24830,15.7
24915,16
25000,16.1
25087,16
25176,16.2
25264,16.1
25353,16.4
25442,16.1
25532,16.3
25622,16.2
25667,15.9
25713,16
25758,15.8
25804,15.9
25850,16
25897,16
25943,16
25989,16.2
26035,16.2
26081,16
26128,15.9
26174,16.1
26220,15.8
26268,15.9
26315,15.9
26363,15.7
26410,15.8
26458,15.9
26506,15.7
26554,15.9
26602,15.8
26650,15.6
26698,15.5
26746,15.2
26794,15
26843,15
26891,14.9
26941,15.2
26993,15.1
27045,15.2
27097,15.5
27150,15.6
27202,15.7
27255,15.9
27309,16.2
27362,16.3
27415,16.1
27468,16.2
27522,16.1
27575,15.9
27629,15.7
27682,15.7
27738,15.8
27800,15.5
27862,15.3
27924,15.2
27986,14.8
28048,15.2
28110,15.3
28172,15.4
28235,15.3
28297,15.5
28360,15.7
28423,15.7
28487,15.7
28550,15.7
28614,15.5
28678,15.5
28746,15.5
28813,15.5
28881,15.9
28949,15.5
29016,15.4
29085,15.5
29153,15.4
29221,15.5
29289,15.3
29357,15.4
29427,15.3
29497,15.4
29566,15.4
29636,15.4
29706,15.3
29778,15.4
29850,15.4
29923,15.4
29995,15.4
30139,15.5
30211,15.2
30284,15.3
30356,15.4
30428,15.3
30502,15.2
30576,15
30650,15.1
30724,15.3
30798,15.3
30872,15.2
30947,15.2
31022,15
31097,14.7
31172,15
31247,14.9
31322,14.8
31397,14.9
31472,15
31547,15
31622,15
31698,15
31774,15
31849,14.9
31925,15.1
32001,15.1
32077,15.4
32154,15.5
32230,15.5
32306,15.5
32382,15.2
32458,15
32534,15.1
32610,15.6
32686,15.4
32761,15.1
32836,14.8
32912,15.1
32987,14.6
33063,14.5
33138,14.6
33213,14.4
33289,14.9
33364,14.6
33439,14.2
33514,15
33589,15.1
33663,15.6
33738,15.1
33812,14.9
33885,15
33958,15.2
34031,15.2
34104,14.8
34177,14.1
34250,14.2
34322,14.6
34395,14.7
34467,14.3
34611,14.1
34683,14.6
34754,14.9
34825,15
34897,14.7
34967,14.5
35036,15.1
35106,15
35175,14.6
35244,14.3
35313,14.1
35382,14.2
35452,14.6
35521,13.9
35590,14.1
35657,14.3
35722,14
35788,13.7
35854,13.9
35919,13.6
35984,14.2
36048,14.1
36112,14.1
36176,13.5
36240,14.4
36304,14.9
36368,14.7
36431,14.4
36495,14.6
36558,14.2
36619,14
36677,14.4
36735,14
36793,14.8
36851,15.2
36909,15
36966,15.1
37023,14.5
37079,15
37136,15.1
37192,14.2
37248,14
37304,14.6
37360,14.6
37416,13.9
