age,temp
-45.48,11.42
29.12,11.56
128.44,11.4
227.42,11.3
325.88,11.05
423.6,11.11
520.41,11.11
616.11,11.13
710.49,11.13
803.38,11.37
894.57,11.95
983.89,11.19
1071.28,11.88
1156.76,11.65
1240.35,12.23
1322.08,11.16
1401.95,12.35
1479.99,12
1556.21,12.57
1630.64,12.7
1703.28,11.48
1774.17,12.54
1843.36,11.4
1910.94,11.21
1976.98,12.05
2041.56,12.74
2104.77,12.58
2166.68,11.8
2227.38,12.93
2286.95,12.41
2345.46,11.97
2403.01,11.99
2459.66,12.26
2515.52,12.56
2570.67,11.93
2625.2,12.49
2679.2,11.95
2732.76,12.13
2785.97,11.88
2838.92,12.01
2891.7,11.12
2944.38,12.8
2997.02,11.97
3049.64,12.2
3102.25,12.57
3154.88,13.35
3207.54,12.49
3260.27,12.76
3313.07,12.22
3365.97,12.58
3419,12.92
3472.17,12.16
3525.48,12.13
3578.96,11.98
3632.6,13.44
3686.42,11.86
3740.41,11.59
3794.58,11.49
3848.95,12.26
3903.51,11.67
3958.28,11.99
4013.26,12.13
4068.45,12.18
4123.87,12.44
4179.52,11.59
4235.4,12.17
4291.53,11.67
4347.92,12.02
4404.56,12.1
4461.47,12.14
4518.66,12.75
4576.12,12.15
4633.88,12.45
4691.94,11.87
4750.32,11.79
4809.02,12.34
4868.06,13.65
4927.44,12.26
4987.19,11.89
5047.31,12.5
5107.81,11.38
5168.7,11.41
5230,12.36
5291.72,11.45
5353.88,11.9
5416.47,11.78
5479.53,12.88
5543.06,12.68
5607.08,12.22
5671.59,11.62
5736.61,12.23
5802.15,12.27
5868.23,12.24
5934.85,12.18
6002.02,12.8
6069.75,12.82
6138.05,12.47
6206.92,13.18
6276.37,12.12
6346.41,12.88
6417.06,12.3
6488.31,12.65
6560.15,12.94
6632.57,12.13
6705.54,12.61
6779.03,13.24
6853.03,13.12
6927.52,13.26
7002.47,13.89
7077.86,12.78
7153.68,13.2
7229.89,13.34
7306.48,14.02
7383.42,12.65
7460.69,12.86
7538.28,12.9
7616.16,13.56
7694.3,13.04
7772.68,12.52
7851.29,12.5
7930.08,13.2
8009.04,12.59
8088.15,12.86
8167.37,12.45
8246.69,11.99
8365.79,12.41
8405.51,12.63
8484.99,12.62
8564.49,12.01
8644.03,11.97
8723.59,12.49
8803.17,12.22
8882.76,12.19
8962.37,12.39
9041.99,12.26
9121.62,12.33
9201.24,12.27
9280.87,12.21
9360.49,11.67
9440.12,11.84
9519.74,11.4
9599.37,11.17
9678.99,11.24
9758.62,10.91
9838.24,10.76
9917.87,11.1
