age,temp
2435,24.8
3209,24.7
3674,24.9
3984,24.5
4371,24.5
4758,24.6
5223,24.4
5610,24.5
5992,24.9
6354,24.7
6679,24.6
7077,24.5
7511,24.7
7800,24.5
8198,24.5
8523,24.8
8812,24.4
9102,24.8
9608,24.3
9969,24.2
10258,24.2
10693,24.3
10876,24.3
11279,24.3
11645,24
12158,23.7
12560,23.9
12890,23.8
12997,23.8
13027,24.5
13073,23.9
13165,23.8
13226,23.7
13454,23.8
13637,23.8
13877,23.7
14019,23.5
14217,23.8
14501,23.8
14672,24.2
14955,23.8
15353,23.7
15692,23.6
15915,23.8
16139,23.7
16697,23.6
17144,23.6
17926,23.5
18596,23.6
19602,23.8
19996,23.5
20614,23.8
21739,23.3
22188,23.5
22638,23.4
22975,23.4
23425,23.6
24100,23.7
24774,23.6
25449,23.4
26011,23.7
27472,23.5
