BP,KA
-58,-0.058
-58,-0.058
-42,-0.042
-39,-0.039
-36,-0.036
-36,-0.036
-26,-0.026
-26,-0.026
-26,-0.026
-3,-0.003
19,0.019
38,0.038
38,0.038
38,0.038
38,0.038
38,0.038
38,0.038
67,0.067
67,0.067
155,0.155
188,0.188
410,0.41
410,0.41
419,0.419
419,0.419
1103,1.103
1610,1.61
1837,1.837
2026,2.026
2050,2.05
2750,2.75
2750,2.75
3275,3.275
3275,3.275
3500,3.5
3595,3.595
3850,3.85
4131,4.131
4131,4.131
4243,4.243
4544,4.544
5137,5.137
5137,5.137
5450,5.45
5600,5.6
5600,5.6
5841,5.841
6730,6.73
6975,6.975
6975,6.975
7200,7.2
7840,7.84
8809,8.809
9226,9.226
9250,9.25
9550,9.55
9950,9.95
10040,10.04
13054,13.054
14536,14.536
22800,22.8
25800,25.8
25800,25.8
