Age,Length
180,0.02
227,0.08
247,0.02
326,0.02
429,0.02
531,0.10
639,0.02
879,0.10
1100,0.02
1497,0.02
1872,0.02
1998,0.02
2230,0.02
3549,0.02
6465,0.10
6735,0.10
7185,0.02
7678,0.10
8563,0.10
9324,0.12
10209,0.12
12675,0.35
12710,0.27
12877,0.13
12932,0.27
13886,0.27
14151,0.06
14927,0.06
15394,0.70
15975,0.31
16570,0.82
16887,0.55
16928,0.60
16968,0.80
17077,0.53
17312,1.00
17460,0.92
17617,1.00
17786,1.00
17788,1.00
17934,0.97
17972,0.94
18089,1.00
18135,0.85
18787,0.63
19224,0.91
19905,1.00
20294,1.00
20363,1.00
21326,1.00
22099,0.97
23903,0.89
