Age,Length
14543,0.03
10495,0.01
11466,0.02
15072,0.09
12427,0.12
14414,0.01
10411,0.01
13789,0.02
9628,0.02
12826,0.02
13992,0.07
9111,0.08
10040,0.09
15219,0.12
14414,0.04
12940,0.04
12362,0.09
13577,0.03
11585,0.05
12874,0.12
12898,0.13
15042,0.21
10602,0.01
15474,0.24
14792,0.99
15810,0.48
15914,1.00
17103,0.72
17325,1.00
17357,1.00
17420,0.77
17680,0.94
18220,0.80
18292,1.00
18314,1.00
18350,1.00
18387,1.00
18728,0.98
18905,0.81
18905,0.96
18979,0.96
18999,1.00
19075,0.95
19142,1.00
19148,1.00
19462,0.97
19531,0.94
19801,0.97
19958,1.00
20205,1.00
20383,0.78
20387,1.00
20552,1.00
20589,1.00
20829,0.88
20992,1.00
21470,1.00
21741,1.00
22409,1.00
22519,1.00
22533,1.00
22670,0.85
22735,1.00
23170,1.00
23230,1.00
23548,1.00
24176,1.00
11292,0.01
12744,0.65
13472,0.67
13734,0.02
14121,0.70
14209,0.73
14361,0.21
14779,0.22
15008,0.74
15084,0.00
15087,0.00
15169,0.48
15605,0.65
15676,0.13
15752,0.13
16067,0.27
16077,0.79
16092,0.66
16149,0.00
16653,0.02
16850,0.63
16910,0.79
17412,0.49
19189,0.96
19975,0.75
