Age,Length,Location
180,0.02,New Zealand and Australia
227,0.08,New Zealand and Australia
247,0.02,New Zealand and Australia
326,0.02,New Zealand and Australia
429,0.02,New Zealand and Australia
531,0.1,New Zealand and Australia
639,0.02,New Zealand and Australia
879,0.1,New Zealand and Australia
1100,0.02,New Zealand and Australia
1497,0.02,New Zealand and Australia
1872,0.02,New Zealand and Australia
1998,0.02,New Zealand and Australia
2230,0.02,New Zealand and Australia
3549,0.02,New Zealand and Australia
6465,0.1,New Zealand and Australia
6735,0.1,New Zealand and Australia
7185,0.02,New Zealand and Australia
7678,0.1,New Zealand and Australia
8563,0.1,New Zealand and Australia
9324,0.12,New Zealand and Australia
10209,0.12,New Zealand and Australia
12675,0.35,New Zealand and Australia
12710,0.27,New Zealand and Australia
12877,0.13,New Zealand and Australia
12932,0.27,New Zealand and Australia
13886,0.27,New Zealand and Australia
14151,0.06,New Zealand and Australia
14927,0.06,New Zealand and Australia
15394,0.7,New Zealand and Australia
15975,0.31,New Zealand and Australia
16570,0.82,New Zealand and Australia
16887,0.55,New Zealand and Australia
16928,0.6,New Zealand and Australia
16968,0.8,New Zealand and Australia
17077,0.53,New Zealand and Australia
17312,1,New Zealand and Australia
17460,0.92,New Zealand and Australia
17617,1,New Zealand and Australia
17786,1,New Zealand and Australia
17788,1,New Zealand and Australia
17934,0.97,New Zealand and Australia
17972,0.94,New Zealand and Australia
18089,1,New Zealand and Australia
18135,0.85,New Zealand and Australia
18787,0.63,New Zealand and Australia
19224,0.91,New Zealand and Australia
19905,1,New Zealand and Australia
20294,1,New Zealand and Australia
20363,1,New Zealand and Australia
21326,1,New Zealand and Australia
22099,0.97,New Zealand and Australia
23903,0.89,New Zealand and Australia
14543,0.03,Western USA
10495,0.01,Western USA
11466,0.02,Western USA
15072,0.09,Western USA
12427,0.12,Western USA
14414,0.01,Western USA
10411,0.01,Western USA
13789,0.02,Western USA
9628,0.02,Western USA
12826,0.02,Western USA
13992,0.07,Western USA
9111,0.08,Western USA
10040,0.09,Western USA
15219,0.12,Western USA
14414,0.04,Western USA
12940,0.04,Western USA
12362,0.09,Western USA
13577,0.03,Western USA
11585,0.05,Western USA
12874,0.12,Western USA
12898,0.13,Western USA
15042,0.21,Western USA
10602,0.01,Western USA
15474,0.24,Western USA
14792,0.99,Western USA
15810,0.48,Western USA
15914,1,Western USA
17103,0.72,Western USA
17325,1,Western USA
17357,1,Western USA
17420,0.77,Western USA
17680,0.94,Western USA
18220,0.8,Western USA
18292,1,Western USA
18314,1,Western USA
18350,1,Western USA
18387,1,Western USA
18728,0.98,Western USA
18905,0.81,Western USA
18905,0.96,Western USA
18979,0.96,Western USA
18999,1,Western USA
19075,0.95,Western USA
19142,1,Western USA
19148,1,Western USA
19462,0.97,Western USA
19531,0.94,Western USA
19801,0.97,Western USA
19958,1,Western USA
20205,1,Western USA
20383,0.78,Western USA
20387,1,Western USA
20552,1,Western USA
20589,1,Western USA
20829,0.88,Western USA
20992,1,Western USA
21470,1,Western USA
21741,1,Western USA
22409,1,Western USA
22519,1,Western USA
22533,1,Western USA
22670,0.85,Western USA
22735,1,Western USA
23170,1,Western USA
23230,1,Western USA
23548,1,Western USA
24176,1,Western USA
11292,0.01,Western USA
12744,0.65,Western USA
13472,0.67,Western USA
13734,0.02,Western USA
14121,0.7,Western USA
14209,0.73,Western USA
14361,0.21,Western USA
14779,0.22,Western USA
15008,0.74,Western USA
15084,0,Western USA
15087,0,Western USA
15169,0.48,Western USA
15605,0.65,Western USA
15676,0.13,Western USA
15752,0.13,Western USA
16067,0.27,Western USA
16077,0.79,Western USA
16092,0.66,Western USA
16149,0,Western USA
16653,0.02,Western USA
16850,0.63,Western USA
16910,0.79,Western USA
17412,0.49,Western USA
19189,0.96,Western USA
19975,0.75,Western USA
