,,,Published Proxy,Published age,Published Temperature,Age model error,,,,,,,,,,,,,,,
Unique ID,,,Temperature Anomaly (deg C),(yr BP),(deg C),"(yr, 1¦Ò)",,,,,,,,,,,,,,,
67,,,1.01,-10.0000,1.01,0.20,,,,,,,,,,,,,,,
,,,1.56,10.0000,1.56,0.20,,,,,,,,,,,,,,,
,,,1.16,30.0000,1.16,0.60,,,,,,,,,,,,,,,
,,,0.18,50.0000,0.18,1.00,,,,,,,,,,,,,,,
,,,-0.02,70.0000,-0.02,1.40,,,,,,,,,,,,,,,
,,,-0.46,90.0000,-0.46,1.80,,,,,,,,,,,,,,,
,,,-0.51,110.0000,-0.51,2.20,,,,,,,,,,,,,,,
,,,-0.35,130.0000,-0.35,2.60,,,,,,,,,,,,,,,
,,,-0.01,150.0000,-0.01,3.00,,,,,,,,,,,,,,,
,,,0.29,170.0000,0.29,3.40,,,,,,,,,,,,,,,
,,,0.20,190.0000,0.20,3.80,,,,,,,,,,,,,,,
,,,-0.81,210.0000,-0.81,4.20,,,,,,,,,,,,,,,
,,,-0.89,230.0000,-0.89,4.60,,,,,,,,,,,,,,,
,,,-1.31,250.0000,-1.31,5.00,,,,,,,,,,,,,,,
,,,-0.34,270.0000,-0.34,5.40,,,,,,,,,,,,,,,
,,,0.00,290.0000,0.00,5.80,,,,,,,,,,,,,,,
,,,-0.46,310.0000,-0.46,6.20,,,,,,,,,,,,,,,
,,,-0.15,330.0000,-0.15,6.60,,,,,,,,,,,,,,,
,,,-0.44,350.0000,-0.44,7.00,,,,,,,,,,,,,,,
,,,0.23,370.0000,0.23,7.40,,,,,,,,,,,,,,,
,,,-0.73,390.0000,-0.73,7.80,,,,,,,,,,,,,,,
,,,0.18,410.0000,0.18,8.20,,,,,,,,,,,,,,,
,,,0.15,430.0000,0.15,8.60,,,,,,,,,,,,,,,
,,,-1.03,450.0000,-1.03,9.00,,,,,,,,,,,,,,,
,,,-0.10,470.0000,-0.10,9.40,,,,,,,,,,,,,,,
,,,-0.07,490.0000,-0.07,9.80,,,,,,,,,,,,,,,
,,,0.98,510.0000,0.98,10.20,,,,,,,,,,,,,,,
,,,-0.12,530.0000,-0.12,10.60,,,,,,,,,,,,,,,
,,,0.55,550.0000,0.55,11.00,,,,,,,,,,,,,,,
,,,0.70,570.0000,0.70,11.40,,,,,,,,,,,,,,,
,,,-0.18,590.0000,-0.18,11.80,,,,,,,,,,,,,,,
,,,-0.53,610.0000,-0.53,12.20,,,,,,,,,,,,,,,
,,,0.15,630.0000,0.15,12.60,,,,,,,,,,,,,,,
,,,0.71,650.0000,0.71,13.00,,,,,,,,,,,,,,,
,,,-0.27,670.0000,-0.27,13.40,,,,,,,,,,,,,,,
,,,-0.43,690.0000,-0.43,13.80,,,,,,,,,,,,,,,
,,,-0.54,710.0000,-0.54,14.20,,,,,,,,,,,,,,,
,,,0.29,730.0000,0.29,14.60,,,,,,,,,,,,,,,
,,,0.71,750.0000,0.71,15.00,,,,,,,,,,,,,,,
,,,0.21,770.0000,0.21,15.40,,,,,,,,,,,,,,,
