,,,Published Proxy,Published age,Published Temperature,Age model error,,,,,,,,,,,,,,,
Unique ID,,,Temperature Anomaly (deg C),(yr BP),(deg C),"(yr, 1¦Ò)",,,,,,,,,,,,,,,
27,,,0.4000,700.0000,0.4000,14,,,,,,,,,,,,,,,
,,,0.8000,1200.0000,0.8000,24,,,,,,,,,,,,,,,
,,,-0.2000,1700.0000,-0.2000,34,,,,,,,,,,,,,,,
,,,-0.8000,2200.0000,-0.8000,44,,,,,,,,,,,,,,,
,,,-0.4000,2700.0000,-0.4000,54,,,,,,,,,,,,,,,
,,,0.4000,3200.0000,0.4000,64,,,,,,,,,,,,,,,
,,,0.4000,3700.0000,0.4000,74,,,,,,,,,,,,,,,
,,,0.3000,4200.0000,0.3000,84,,,,,,,,,,,,,,,
,,,-0.3000,4700.0000,-0.3000,94,,,,,,,,,,,,,,,
,,,0.4000,5200.0000,0.4000,104,,,,,,,,,,,,,,,
,,,-0.4000,5700.0000,-0.4000,114,,,,,,,,,,,,,,,
,,,-0.5000,6200.0000,-0.5000,124,,,,,,,,,,,,,,,
,,,0.0000,6700.0000,0.0000,134,,,,,,,,,,,,,,,
,,,-0.3000,7200.0000,-0.3000,144,,,,,,,,,,,,,,,
,,,-0.4000,7700.0000,-0.4000,154,,,,,,,,,,,,,,,
,,,-0.7000,8200.0000,-0.7000,164,,,,,,,,,,,,,,,
,,,-0.4000,8700.0000,-0.4000,174,,,,,,,,,,,,,,,
,,,0.3000,9200.0000,0.3000,184,,,,,,,,,,,,,,,
,,,0.7000,9700.0000,0.7000,194,,,,,,,,,,,,,,,
,,,0.8000,10200.0000,0.8000,204,,,,,,,,,,,,,,,
,,,0.8000,10700.0000,0.8000,214,,,,,,,,,,,,,,,
,,,0.5000,11200.0000,0.5000,224,,,,,,,,,,,,,,,
,,,0.0000,11700.0000,0.0000,234,,,,,,,,,,,,,,,
,,,-1.6000,12200.0000,-1.6000,244,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
