,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,
Unique ID,,(cm),UK'37,(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,
1,,2.00,0.9502,813.20,26.80,841,193,,,0,1015,35,100,-,470,604,G.sacculifer,Calibrated with Calib6.0,
,,4.00,0.9502,1110.40,26.80,1143,237,,,10,2490,80,100,-,1837,2262,O.universa,Calibrated with Calib6.0,
,,6.00,0.9536,1407.60,26.90,1446,241,,,20,3920,45,100,-,3634,3894,G.sacculifer,Calibrated with Calib6.0,
,,8.00,0.9366,1704.80,26.40,1748,207,,,30,5325,50,100,-,5468,5696,G.sacculifer,Calibrated with Calib6.0,
,,10.00,0.9400,2002.00,26.50,2049,105,,,40,6320,100,100,-,6425,6908,G.sacculifer,Calibrated with Calib6.0,
,,12.00,0.9570,2354.40,27.00,2393,218,,,55,8525,55,100,-,8883,9235,G.sacculifer,Calibrated with Calib6.0,
,,14.00,0.9502,2706.80,26.80,2736,255,,,70,9990,50,100,-,10617,11043,G.sacculifer,Calibrated with Calib6.0,
,,16.00,0.9366,3059.20,26.40,3079,252,,,85,12030,55,100,-,13244,13514,Creseis/Limacina spp.,Calibrated with Calib6.0,
,,18.00,0.9366,3411.60,26.40,3422,207,,,100,13120,60,100,-,14258,15215,Creseis acicula,Calibrated with Calib6.0,
,,20.00,0.9502,3764.00,26.80,3764,65,,,125,14960,120,100,-,17162,17940,Creseis acicula,Calibrated with Calib6.0,
,,22.00,0.9502,4128.00,26.80,4129,212,,,150,17030,90,100,-,19430,20009,Creseis acicula,Calibrated with Calib6.0,
,,24.00,0.9536,4492.00,26.90,4493,256,,,175,18580,100,100,-,21288,22051,Creseis acicula,Calibrated with Calib6.0,
,,26.00,0.9400,4856.00,26.50,4856,256,,,200,20540,120,100,-,23519,24339,Creseis/Limacina spp.,Calibrated with Calib6.0,
,,28.00,0.9536,5220.00,26.90,5219,212,,,225,22090,160,100,-,25121,26301,Creseis virgula,Calibrated with Calib6.0,
,,30.00,0.9400,5584.00,26.50,5581,56,,,,,,,,,,,,
,,32.00,0.9366,5798.80,26.40,5799,168,,,,,,,,,,,,
,,34.00,0.9264,6013.60,26.10,6016,205,,,,,,,,,,,,
,,36.00,0.9366,6228.40,26.40,6233,211,,,,,,,,,,,,
,,38.00,0.9196,6443.20,25.90,6450,190,,,,,,,,,,,,
,,40.00,0.9162,6658.00,25.80,6665,124,,,,,,,,,,,,
,,42.00,0.9298,6959.90,26.20,6986,230,,,,,,,,,,,,
,,44.00,0.9162,7261.70,25.80,7305,280,,,,,,,,,,,,
,,45.00,0.9298,7412.70,26.20,7465,294,,,,,,,,,,,,
,,48.00,0.9434,7865.50,26.60,7944,305,,,,,,,,,,,,
,,50.00,0.9060,8167.30,25.50,8264,287,,,,,,,,,,,,
