,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,(cm),Uk'37,(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
48,,101.50,0.6088,3316.25,16.76,2813.01,195.81,,,19.5,1032,60,-,-,509,692,forams,Calibrated with Calib 6.0,,
,,105.50,0.6123,3452.92,16.86,2924.19,158.85,,,35.5,1139,60,-,-,565,820,G. inflata,Calibrated with Calib 6.0,,
,,107.50,0.6177,3410.00,17.02,2979.83,135.16,,,40.5,1748,56,-,-,1173,1409,G. inflata,Calibrated with Calib 6.0,,
,,109.50,0.6282,3330.00,17.33,3035.58,105.03,,,54.5,1800,30,-,-,1548,1770,Taupo tephra,Calibrated with Calib 6.0; Shcal04.14c used,,
,,111.50,0.6294,3352.56,17.37,3093.32,106.13,,,58.5,2203,56,-,-,1653,1945,G. inflata,Calibrated with Calib 6.0,,
,,113.50,0.6119,3409.31,16.85,3153.05,137.48,,,106.5,3280,20,-,-,3375,3554,Waimihia tephra,Calibrated with Calib 6.0; Shcal04.14c used,,
,,115.50,0.6083,3466.06,16.74,3212.90,161.65,,,110.5,3241,56,-,-,2892,3233,G. inflata,Calibrated with Calib 6.0,,
,,117.50,0.6030,3522.81,16.59,3272.78,181.53,,,190.5,4830,20,-,-,5334,5590,Whakatane tephra,Calibrated with Calib 6.0; Shcal04.14c used,,
,,119.50,0.6103,3579.56,16.80,3332.69,198.42,,,196.5,5379,57,-,-,5616,5884,G. inflata,Calibrated with Calib 6.0,,
,,121.50,0.5971,3636.31,16.41,3392.62,213.03,,,270.5,6130,30,-,-,6796,7151,Tuhua tephra,Calibrated with Calib 6.0; Shcal04.14c used,,
,,123.50,0.5944,3693.06,16.34,3452.56,225.80,,,310.5,8286,60,-,-,8630,8994,G. inflata,Calibrated with Calib 6.0,,
