,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,,
Unique ID,,(cm),Mg/Ca (mmol/mol),(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,,
36,,0.00,4.2670,305.00,26.90,0.00,-,,,7,1280,80,20,-,658,952,Globigerinoides bulloides,Calibrated with Calib6.0,"** For all dates 420 yr was added back into age; original publication ""pre-subtracted"" 14C reservoir age",,
,,6.50,4.1080,465.00,26.50,745.48,104.12,,,26,1820,70,20,-,1225,1512,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,10.00,4.1090,551.00,26.50,892.18,121.94,,,45,2260,70,20,-,1673,2030,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,16.50,4.3010,711.00,27.00,1085.92,151.82,,,74.5,3000,80,20,-,2521,2952,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,20.00,4.2200,797.00,26.70,1190.34,143.40,,,104,3920,100,20,-,3603,4151,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,26.00,4.2440,945.00,26.80,1369.67,71.25,,,120,4760,70,20,-,4828,5225,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,30.00,4.2900,1037.00,26.90,1471.01,122.21,,,144,5360,70,20,-,5577,5873,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,36.50,4.1450,1187.00,26.50,1635.47,143.85,,,165,6400,60,20,-,6688,7010,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,40.00,4.1310,1268.00,26.50,1723.99,135.74,,,214.5,7780,60,20,-,8074,8362,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,45.00,4.2040,1383.00,26.70,1850.30,90.00,,,224,8000,70,20,-,8310,8590,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,50.00,4.2590,1528.00,26.90,2000.44,156.08,,,254,9270,90,20,-,9741,10257,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,55.00,4.2730,1673.00,26.90,2150.86,184.76,,,294,10120,80,20,-,10797,11233,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,60.00,4.4870,1818.00,27.40,2301.34,193.88,,,307,10410,60,20,-,11232,11707,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,65.00,4.3830,1963.00,27.20,2451.88,186.31,,,335,10490,100,20,-,11237,11962,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,70.00,3.9660,2108.00,26.10,2602.50,159.54,,,402.5,11150,120,20,-,12348,12913,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,75.00,4.2370,2257.00,26.80,2757.44,117.56,,,442.5,11180,80,20,-,12547,12873,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,80.00,4.0850,2451.00,26.40,2950.21,182.84,,,522.5,11850,150,20,-,12958,13640,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,85.00,4.2180,2644.00,26.70,3143.23,212.44,,,574.5,12800,100,20,-,14024,14993,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,90.00,4.1700,2837.00,26.60,3336.36,221.58,,,621.75,13440,220,20,-,14931,16696,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,95.00,4.2790,3030.00,26.90,3529.57,213.04,,,624,13810,200,20,-,15283,16896,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,100.00,4.3340,3223.00,27.00,3722.90,184.50,,,723.5,14380,300,20,-,16327,17917,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,105.00,4.0810,3446.00,26.40,3950.02,164.10,,,751.5,14350,100,20,-,16764,17398,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,110.00,3.9660,3787.00,26.10,4311.21,219.89,,,771.5,15200,140,20,-,17611,18515,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,115.00,4.0310,4127.00,26.20,4672.57,206.75,,,903.5,18020,150,20,-,20452,21413,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,120.00,4.0660,4468.00,26.30,5034.24,97.43,,,982.5,21630,210,20,-,24736,26000,Globigerinoides bulloides,Calibrated with Calib6.0,,,
,,125.00,4.2400,4635.00,26.80,5177.90,151.58,,,,,,,,,,,,,,
,,130.00,4.0710,4801.00,26.30,5321.77,170.05,,,,,,,,,,,,,,
,,135.00,4.3130,4968.00,27.00,5465.70,165.30,,,184.5,11050,160,20,-,-,-,Globigerinoides bulloides,Calibrated with Calib6.0,Turbidite,Not used,
,,140.00,4.1080,5135.00,26.40,5609.69,134.67,,,463.5,11110,80,20,-,-,-,Globigerinoides bulloides,Calibrated with Calib6.0,,Not used,
,,145.00,3.9590,5321.00,26.00,5778.24,110.50,,,634,14950,310,20,-,-,-,Globigerinoides bulloides,Calibrated with Calib6.0,,Not used,
,,150.00,4.1090,5587.00,26.50,6044.90,191.38,,,642,14830,260,20,-,-,-,Globigerinoides bulloides,Calibrated with Calib6.0,,Not used,
,,154.00,4.0430,5800.00,26.30,6258.37,209.17,,,,,,,,,,,,,,
