,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,
Unique ID,,(cm),UK'37,(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,ID
3,,1.00,0.5383,50.00,14.98,118.62,134.23,,,21,2890,40,-7,44,2461,2787,G. inflata,Calibrated with Calib6.0,NSRL-12762
,,3.00,0.5212,290.00,14.46,364.43,220.40,,,41,6500,40,-7,44,6854,7164,G. inflata,Calibrated with Calib6.0,NSRL-12764
,,5.00,0.5233,540.00,14.53,611.91,268.31,,,61,9130,120,-7,44,9543,10192,G. inflata,Calibrated with Calib6.0,NSRL-12766
,,7.00,0.5392,790.00,15.00,860.23,297.16,,,77,10150,50,-7,44,10945,11292,G. inflata,Calibrated with Calib6.0,NSRL-12768
,,9.00,0.5193,1050.00,14.40,1109.15,312.31,,,85,10620,40,-7,44,11666,12194,G. inflata,Calibrated with Calib6.0,NSRL-12770
,,11.00,0.5408,1320.00,15.06,1358.59,315.77,,,97,11750,60,-7,44,13101,13377,G. inflata,Calibrated with Calib6.0,NSRL-12590
,,13.00,0.5331,1600.00,14.82,1608.53,307.98,,,109,13680,65,-7,44,15555,16773,G. inflata,Calibrated with Calib6.0,NSRL-12592
,,15.00,0.5474,1900.00,15.26,1859.03,288.08,,,121,15200,75,-7,44,17665,18509,G. inflata,Calibrated with Calib6.0,NSRL-12594
,,17.00,0.5553,2210.00,15.50,2110.21,253.31,,,145,15850,130,-7,44,18199,18932,G. inflata,Calibrated with Calib6.0,NSRL-12596
,,19.00,0.5351,2530.00,14.88,2362.48,196.14,,,157,16000,75,-7,44,18596,18935,G. inflata,Calibrated with Calib6.0,NSRL-12598
,,21.00,0.5553,2880.00,15.50,2620.08,81.38,,,185,18050,90,-7,44,20533,21409,G. inflata,Calibrated with Calib6.0,NSRL-12600
,,23.00,0.5552,3250.00,15.49,3048.62,252.04,,,188,18000,130,-7,44,20472,21407,G. inflata,Calibrated with Calib6.0,NSRL-12602
,,25.00,0.5606,3630.00,15.65,3484.12,329.46,,,214,20280,100,-7,44,23374,24161,G. inflata,Calibrated with Calib6.0,NSRL-12772
,,27.00,0.5589,4030.00,15.60,3921.07,375.20,,,,,,,,,,,,
,,29.00,0.5646,4440.00,15.78,4358.94,400.17,,,,,,,,,,,,
,,31.00,0.5653,4850.00,15.80,4797.57,408.15,,,,,,,,,,,,
,,33.00,0.5631,5270.00,15.73,5236.90,400.14,,,,,,,,,,,,
,,35.00,0.5621,5680.00,15.70,5676.98,375.12,,,,,,,,,,,,
,,37.00,0.5651,6090.00,15.79,6117.98,329.26,,,,,,,,,,,,
,,39.00,0.5745,6490.00,16.08,6560.44,251.51,,,,,,,,,,,,
,,41.00,0.5771,6870.00,16.15,7009.86,77.04,,,,,,,,,,,,
,,43.00,0.5778,7240.00,16.18,7287.88,208.26,,,,,,,,,,,,
,,45.00,0.5736,7590.00,16.05,7571.29,271.47,,,,,,,,,,,,
,,47.00,0.5666,7920.00,15.84,7855.82,310.21,,,,,,,,,,,,
,,49.00,0.5790,8240.00,16.21,8141.08,332.91,,,,,,,,,,,,
,,51.00,0.5752,8540.00,16.10,8426.91,342.66,,,,,,,,,,,,
,,53.00,0.5692,8820.00,15.91,8713.29,340.46,,,,,,,,,,,,
,,55.00,0.5759,9080.00,16.12,9000.25,325.94,,,,,,,,,,,,
,,57.00,0.5677,9330.00,15.87,9287.93,297.11,,,,,,,,,,,,
,,59.00,0.5821,9560.00,16.31,9576.73,248.61,,,,,,,,,,,,
,,61.00,0.5986,9780.00,16.80,9870.93,158.91,,,,,,,,,,,,
,,63.00,0.5913,9980.00,16.59,10020.19,206.20,,,,,,,,,,,,
,,65.00,0.5874,10170.00,16.47,10173.95,230.21,,,,,,,,,,,,
,,67.00,0.5981,10350.00,16.79,10328.71,241.03,,,,,,,,,,,,
,,69.00,0.5863,10520.00,16.43,10484.17,240.86,,,,,,,,,,,,
,,71.00,0.5744,10690.00,16.07,10640.25,229.89,,,,,,,,,,,,
,,73.00,0.6025,10860.00,16.92,10797.02,206.57,,,,,,,,,,,,
,,75.00,0.5760,11030.00,16.12,10954.80,165.99,,,,,,,,,,,,
,,77.00,0.6157,11220.00,17.32,11117.08,86.83,,,,,,,,,,,,
,,79.00,0.5915,11410.00,16.59,11313.56,168.04,,,,,,,,,,,,
,,81.00,0.5855,11620.00,16.41,11515.89,190.28,,,,,,,,,,,,
,,83.00,0.5897,11840.00,16.54,11720.37,179.07,,,,,,,,,,,,
,,85.00,0.5937,12080.00,16.66,11930.69,130.85,,,,,,,,,,,,
,,87.00,0.5922,12330.00,16.61,12142.07,195.52,,,,,,,,,,,,
,,89.00,0.5774,12610.00,16.16,12358.44,225.17,,,,,,,,,,,,
,,91.00,0.5760,12890.00,16.12,12576.08,231.77,,,,,,,,,,,,
