Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
0,0.929,26.8,14,NaN,NaN,NaN,,22.5,G. sacculifer,700,65,140,183,-1,352,183,1,352,
9,0.932,26.9,174,-216,-233,286,,47.5,G. sacculifer,1010,25,140,492,405,602,492,405,602,
17,0.925,26.7,326,18,7,194,,100.5,G. sacculifer,2350,75,140,1808,1584,2025,1808,1584,2025,
21,0.926,26.7,396,135,129,125,,101.5,G. sacculifer,2010,40,140,1417,1288,1544,1417,1288,1544,
27,0.933,27.0,492,238,234,122,,101*,,,,,1613,1436,1785,1613,1436,1785,
37,0.927,26.8,635,370,365,131,,112.5,G. sacculifer,2470,80,140,1953,1709,2187,1953,1709,2187,
47,0.924,26.7,785,498,497,60,,114.5,G. sacculifer,2190,30,140,1621,1491,1777,1621,1491,1777,
57,0.931,26.9,967,704,698,179,,113.5*,,,,,1787,1600,1982,1787,1600,1982,
67,0.934,27.0,1178,910,903,222,,158.5,G. sacculifer,2820,30,140,2385,2246,2604,2385,2246,2604,
75,0.928,26.8,1357,1075,1067,230,,174.5,G. sacculifer,3160,30,140,2795,2698,2923,2795,2698,2923,
83,0.925,26.7,1539,1238,1230,219,,232.5,G. sacculifer,3970,30,140,3780,3628,3934,3780,3628,3934,
93,0.928,26.8,1759,1441,1435,173,,232.5,G. sacculifer,4050,55,140,3891,3683,4086,3891,3683,4086,
99,0.929,26.8,1882,1562,1557,113,,232.5*,,,,,3836,3656,4010,3836,3656,4010,
109,0.915,26.4,2064,1734,1728,115,,252.5,G. ruber,4660,65,140,4707,4488,4902,4707,4488,4902,
119,0.926,26.7,2221,1883,1879,135,,260.5,G. sacculifer,4310,40,140,4250,4074,4412,4250,4074,4412,
127,0.919,26.5,2337,1995,1989,169,,260.5,G. sacculifer,4390,30,140,4354,4188,4509,4354,4188,4509,
134,0.925,26.7,2438,2093,2086,180,,262.5,G. sacculifer,4670,60,140,4719,4506,4900,4719,4506,4900,
141,0.922,26.6,2541,2189,2183,177,,258.5*,,,,,4508,4314,4681,4508,4314,4681,
149,0.915,26.4,2671,2299,2293,155,,332.5,G. sacculifer,5830,75,140,6094,5908,6271,6094,5908,6271,
157,0.917,26.4,2819,2407,2403,103,,334.5,G. sacculifer,5710,50,140,5966,5793,6166,5966,5793,6166,
163,0.926,26.7,2945,2540,2533,135,,334.5,G. sacculifer,5700,40,140,5953,5793,6141,5953,5793,6141,
171,0.917,26.5,3127,2733,2726,122,,333.5*,,,,,6004,5831,6193,6004,5831,6193,
177,0.924,26.7,3263,2861,2855,106,,372.5,G. ruber,5930,65,140,6205,5998,6371,6205,5998,6371,
190,0.926,26.7,3538,3093,3084,200,,430.5,G. sacculifer,7510,60,140,7833,7669,7970,7833,7669,7970,
199,0.916,26.4,3717,3252,3243,222,,432.5,G. sacculifer,7810,60,140,8131,7972,8303,8131,7972,8303,
207,0.918,26.5,3872,3393,3383,224,,436.5,G. sacculifer,7620,50,140,7941,7794,8103,7941,7794,8103,
217,0.919,26.5,4065,3568,3559,205,,433.5*,,,,,7968,7812,8125,7968,7812,8125,
227,0.923,26.6,4262,3741,3735,151,,502.5,G. sacculifer,8650,80,140,9147,8933,9403,9147,8933,9403,
237,0.924,26.7,4468,3953,3947,152,,506.5,G. sacculifer,8590,90,140,9071,8761,9361,9071,8761,9361,
245,0.920,26.5,4639,4159,4152,187,,504.5*,,,,,9109,8847,9382,9109,8847,9382,
251,0.922,26.6,4769,4312,4306,174,,620.5,G. sacculifer,9540,65,140,10256,10095,10479,10256,10095,10479,
259,0.919,26.5,4940,4510,4510,101,,622.5,G. sacculifer,9810,110,140,10533,10232,10892,10533,10232,10892,
269,0.920,26.5,5148,4716,4710,201,,621.5*,,,,,10395,10164,10686,10395,10164,10686,
279,0.921,26.6,5347,4919,4910,247,,650.5,G. sacculifer,10030,60,140,10821,10595,11076,10821,10595,11076,
289,0.924,26.7,5536,5120,5110,269,,652.5,G. ruber,9870,110,140,10617,10326,11037,10617,10326,11037,
298,0.928,26.8,5697,5301,5289,273,,651.5*,,,,,10719,10461,11057,10719,10461,11057,
309,0.922,26.6,5882,5521,5509,258,,722.5,G. ruber,11280,110,140,12747,12376,12914,12640,12361,12914,
317,0.925,26.7,6008,5680,5669,231,,792.5,G. ruber,13090,140,140,14659,14134,15145,14687,14080,15208,
325,0.916,26.4,6125,5839,5829,185,,842.5,G. ruber,13960,154,140,15929,15381,16494,16454,15545,16904,
331,0.921,26.6,6208,5956,5948,126,,852.5,G. ruber,14160,161,140,16194,15641,16767,16726,15976,17118,
339,0.920,26.5,6311,6032,6026,101,,892.5,G. ruber,15510,190,140,18239,17571,18747,18216,17715,18610,
349,0.920,26.5,6433,6082,6077,114,,912.5,G. ruber,16490,220,140,19156,18801,19509,19116,18674,19458,
357,0.912,26.3,6534,6122,6117,113,,922.5,G. ruber,17260,220,140,19851,19450,20313,19876,19437,20330,
367,0.909,26.2,6673,6172,6168,99,,932.5,G. sacculifer,18050,140,140,20667,20291,21147,20843,20378,21338,
375,0.911,26.3,6803,6275,6269,136,,1032.5,G. ruber,24510,590,140,,,,28799,27617,30230,
379,0.901,26.0,6876,6393,6385,189,,1102.5,G. sacculifer,26150,330,140,,,,30425,29639,30999,
387,0.910,26.3,7034,6628,6617,250,,1102.5,G. ruber,26840,660,140,,,,30833,29539,31746,
395,0.901,26.0,7207,6861,6849,280,,1102.5*,,,,,,,,30629,29589,31373,
401,0.907,26.2,7344,7036,7024,289,,1212.5,G. ruber,30800,1100,140,,,,34784,31958,36880,
409,0.911,26.3,7532,7268,7256,284,,1272.5,G. ruber,35500,2400,140,,,,39541,34841,43664,
419,0.897,25.9,7772,7557,7547,250,,,,,,,,,,,,,
429,0.899,25.9,8009,7843,7837,165,,,,,,,,,,,,,
436,0.893,25.7,8170,8010,8007,111,,,,,,,,,,,,,
445,0.906,26.1,8366,8153,8146,178,,,,,,,,,,,,,
450,0.894,25.8,8471,8232,8223,199,,,,,,,,,,,,,
457,0.894,25.8,8611,8342,8331,219,,,,,,,,,,,,,
466,0.887,25.5,8783,8483,8470,230,,,,,,,,,,,,,
476,0.885,25.5,8961,8638,8625,226,,,,,,,,,,,,,
487,0.890,25.6,9144,8808,8795,201,,,,,,,,,,,,,
497,0.880,25.3,9299,8961,8950,149,,,,,,,,,,,,,
505,0.886,25.5,9416,9242,9239,103,,,,,,,,,,,,,
509,0.878,25.3,9472,9285,9279,131,,,,,,,,,,,,,
515,0.871,25.0,9553,9347,9339,162,,,,,,,,,,,,,
519,0.876,25.2,9606,9388,9379,178,,,,,,,,,,,,,
525,0.874,25.2,9683,9450,9439,198,,,,,,,,,,,,,
529,0.871,25.1,9733,9491,9479,208,,,,,,,,,,,,,
535,0.862,24.8,9807,9553,9540,221,,,,,,,,,,,,,
539,0.875,25.2,9855,9593,9580,228,,,,,,,,,,,,,
545,0.877,25.3,9927,9655,9640,236,,,,,,,,,,,,,
547,0.868,25.0,9950,9675,9661,239,,,,,,,,,,,,,
551,0.869,25.0,9997,9716,9701,242,,,,,,,,,,,,,
555,0.877,25.3,10045,9756,9741,245,,,,,,,,,,,,,
559,0.879,25.3,10092,9797,9781,247,,,,,,,,,,,,,
565,0.882,25.4,10164,9858,9842,248,,,,,,,,,,,,,
569,0.872,25.1,10211,9898,9882,247,,,,,,,,,,,,,
577,0.871,25.0,10309,9979,9963,243,,,,,,,,,,,,,
581,0.868,25.0,10359,10019,10003,240,,,,,,,,,,,,,
587,0.861,24.8,10436,10080,10064,232,,,,,,,,,,,,,
591,0.857,24.6,10488,10120,10104,226,,,,,,,,,,,,,
595,0.858,24.7,10542,10160,10144,219,,,,,,,,,,,,,
599,0.867,24.9,10597,10200,10185,211,,,,,,,,,,,,,
605,0.863,24.8,10682,10260,10245,195,,,,,,,,,,,,,
607,0.860,24.7,10712,10280,10265,189,,,,,,,,,,,,,
611,0.860,24.7,10772,10320,10306,175,,,,,,,,,,,,,
617,0.855,24.6,10865,10379,10366,150,,,,,,,,,,,,,
621,0.857,24.6,10930,10418,10407,128,,,,,,,,,,,,,
627,0.851,24.4,11032,10489,10481,146,,,,,,,,,,,,,
631,0.846,24.3,11102,10537,10530,155,,,,,,,,,,,,,
