Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
2.5,0.950,27.3,200,3,2,335,,7.5,planktics,1230,60,190,610,509,711,610,509,711
5.0,0.950,27.4,400,304,304,240,,35,planktics,3350,100,190,2966,2736,3229,2966,2736,3229
7.5,0.940,27.3,600,600,592,123,,55,planktics,5540,90,190,5723,5539,5922,5723,5539,5922
10.0,0.950,27.4,820,835,816,196,,70,planktics,7850,90,190,8122,7941,8320,8122,7941,8320
12.5,0.940,27.1,1030,1053,1028,259,,80,planktics,8700,120,190,9143,8795,9440,9143,8795,9440
15.0,0.940,27.2,1250,1270,1242,299,,97.5,planktics,10580,120,190,11508,11177,11927,11508,11177,11927
17.5,0.940,27.0,1460,1487,1456,323,,115,planktics,11780,130,190,13085,12881,13285,13057,12729,13310
20.0,0.940,27.1,1680,1703,1671,335,,127.5,planktics,13060,150,190,14544,14049,15064,14578,14038,15132
22.5,0.940,27.0,1890,1919,1887,337,,142.5,planktics,14200,170,190,16180,15617,16763,16711,15929,17115
25.0,0.930,26.9,2100,2134,2103,328,,160,planktics,15880,170,190,18636,18096,18896,18526,18028,18830
27.5,0.930,26.8,2320,2349,2320,307,,165,planktics,16260,170,190,18920,18668,19244,18843,18578,19320
30.0,0.940,27.2,2530,2563,2537,273,,180,planktics,17130,180,190,19689,19344,20072,19724,19401,20200
32.5,0.940,27.0,2750,2776,2756,219,,197.5,planktics,20580,260,190,23913,22990,24594,23877,23194,24521
35.0,0.940,27.2,2960,2984,2980,126,,,,,,,,,,,,
37.5,0.930,27.0,3310,3337,3314,257,,,,,,,,,,,,
40.0,0.930,26.9,3650,3683,3654,322,,,,,,,,,,,,
42.5,0.930,27.0,4000,4028,3996,355,,,,,,,,,,,,
45.0,0.940,27.0,4340,4372,4339,365,,,,,,,,,,,,
47.5,0.940,27.2,4690,4715,4683,353,,,,,,,,,,,,
50.0,0.940,27.1,5040,5056,5028,319,,,,,,,,,,,,
52.5,0.950,27.3,5380,5396,5374,250,,,,,,,,,,,,
55.0,0.940,27.2,5730,5730,5728,96,,,,,,,,,,,,
57.5,0.940,27.2,6120,6140,6117,261,,,,,,,,,,,,
62.5,0.930,26.7,6920,6942,6914,341,,,,,,,,,,,,
65.0,0.940,27.1,7310,7341,7316,324,,,,,,,,,,,,
67.5,0.930,26.8,7710,7738,7719,261,,,,,,,,,,,,
70.0,0.930,26.9,8110,8128,8131,94,,,,,,,,,,,,
72.5,0.930,27.0,8370,8381,8371,200,,,,,,,,,,,,
75.0,0.930,27.0,8630,8628,8617,231,,,,,,,,,,,,
77.5,0.920,26.6,8880,8873,8866,220,,,,,,,,,,,,
80.0,0.930,26.9,9140,9112,9121,165,,,,,,,,,,,,
82.5,0.930,26.7,9470,9469,9459,273,,,,,,,,,,,,
85.0,0.920,26.7,9800,9820,9803,329,,,,,,,,,,,,
87.5,0.930,26.7,10140,10169,10150,354,,,,,,,,,,,,
90.0,0.920,26.6,10470,10518,10497,356,,,,,,,,,,,,
92.5,0.930,26.7,10800,10865,10846,335,,,,,,,,,,,,
95.0,0.920,26.4,11130,11210,11196,286,,,,,,,,,,,,
97.5,0.920,26.6,11460,11540,11536,211,,,,,,,,,,,,
100.0,0.910,26.4,11690,11775,11755,245,,,,,,,,,,,,
102.5,0.913,26.3,11920,11996,11961,273,,,,,,,,,,,,
105.0,0.910,26.2,12150,12215,12169,283,,,,,,,,,,,,
107.5,0.910,26.2,12380,12434,12378,275,,,,,,,,,,,,
110.0,0.910,26.2,12610,12651,12589,250,,,,,,,,,,,,
112.5,0.910,26.1,12840,12868,12800,199,,,,,,,,,,,,
115.0,0.910,26.2,13080,13079,13018,96,,,,,,,,,,,,
117.5,0.920,26.4,13360,13382,13323,220,,,,,,,,,,,,
120.0,0.910,26.2,13650,13678,13634,272,,,,,,,,,,,,
122.5,0.910,26.3,13940,13973,13947,290,,,,,,,,,,,,
125.0,0.910,26.2,14230,14267,14262,281,,,,,,,,,,,,
127.5,0.890,25.7,14520,14556,14580,255,,,,,,,,,,,,
130.0,0.900,25.9,14800,14838,14894,289,,,,,,,,,,,,
133.0,0.890,25.6,15130,15171,15275,322,,,,,,,,,,,,
135.0,0.890,25.6,15350,15392,15531,334,,,,,,,,,,,,
137.5,0.880,25.2,15630,15666,15852,335,,,,,,,,,,,,
140.0,0.880,25.2,15900,15938,16176,323,,,,,,,,,,,,
142.5,0.880,25.2,16180,16213,16497,301,,,,,,,,,,,,
145.0,0.870,25.1,16540,16538,16771,343,,,,,,,,,,,,
147.5,0.870,25.2,16890,16867,17042,369,,,,,,,,,,,,
150.0,0.870,25.0,17250,17194,17315,377,,,,,,,,,,,,
152.5,0.870,24.9,17610,17520,17588,367,,,,,,,,,,,,
155.0,0.860,24.9,17960,17845,17863,338,,,,,,,,,,,,
157.5,0.870,24.9,18320,18169,18140,284,,,,,,,,,,,,
160.0,0.870,25.0,18680,18487,18423,190,,,,,,,,,,,,
162.5,0.870,25.1,18790,18728,18687,188,,,,,,,,,,,,
165.0,0.880,25.2,18910,18958,18960,138,,,,,,,,,,,,
167.5,0.880,25.2,19040,19089,19092,182,,,,,,,,,,,,
170.0,0.870,25.1,19160,19217,19229,207,,,,,,,,,,,,
172.5,0.870,25.0,19290,19343,19368,219,,,,,,,,,,,,
