Published temperature,Published age,Age model error
(°„C),(yr BP),"(yr, 1¶“)"
0.0,0,0
0.1,100,2
-0.1,200,4
-0.5,300,6
-0.4,400,8
-0.1,500,10
-0.3,600,12
-0.1,700,14
0.2,800,16
0.2,900,18
0.0,1000,20
0.0,1100,22
-0.1,1200,24
-0.2,1300,26
0.0,1400,28
0.2,1500,30
0.1,1600,32
0.0,1700,34
-0.1,1800,36
0.0,1900,38
-0.1,2000,40
-0.2,2100,42
-0.1,2200,44
-0.1,2300,46
-0.1,2400,48
-0.1,2500,50
-0.1,2600,52
-0.1,2700,54
-0.1,2800,56
-0.1,2900,58
-0.1,3000,60
-0.1,3100,62
0.0,3200,64
0.0,3300,66
0.1,3400,68
0.1,3500,70
0.1,3600,72
0.1,3700,74
0.1,3800,76
0.1,3900,78
0.0,4000,80
0.0,4100,82
-0.1,4200,84
-0.1,4300,86
-0.2,4400,88
-0.2,4500,90
-0.3,4600,92
-0.3,4700,94
-0.3,4800,96
-0.3,4900,98
-0.3,5000,100
-0.3,5100,102
-0.2,5200,104
-0.1,5300,106
-0.1,5400,108
0.0,5500,110
0.1,5600,112
-0.1,5700,114
-0.4,5800,116
-0.5,5900,118
-0.5,6000,120
-0.3,6100,122
-0.1,6200,124
-0.1,6300,126
-0.2,6400,128
0.0,6500,130
0.0,6600,132
0.0,6700,134
0.1,6800,136
-0.1,6900,138
-0.3,7000,140
-0.5,7100,142
-0.6,7200,144
-0.7,7300,146
-0.5,7400,148
-0.3,7500,150
-0.3,7600,152
-0.1,7700,154
-0.2,7800,156
-0.6,7900,158
-0.4,8000,160
0.1,8100,162
-0.4,8200,164
-0.3,8300,166
-0.1,8400,168
-0.3,8500,170
-0.7,8600,172
-0.8,8700,174
-0.6,8800,176
-0.5,8900,178
-0.7,9000,180
-0.9,9100,182
-1.1,9200,184
-1.1,9300,186
-1.0,9400,188
-1.0,9500,190
-1.0,9600,192
-1.0,9700,194
-1.2,9800,196
-1.4,9900,198
-1.6,10000,200
-1.4,10100,202
-1.2,10200,204
-1.0,10300,206
-0.9,10400,208
-1.0,10500,210
-1.2,10600,212
-1.3,10700,214
-1.3,10800,216
-1.3,10900,218
-1.6,11000,220
-1.7,11100,222
-1.8,11200,224
-1.8,11300,226
-1.8,11400,228
-1.7,11500,230
-1.7,11600,232
-1.7,11700,234
-1.8,11800,236
-1.8,11900,238
-1.8,12000,240
-1.7,12100,242
-1.7,12200,244
-1.6,12300,246
-1.6,12400,248
-1.5,12500,250
-1.6,12600,252
-1.6,12700,254
-1.5,12800,256
-1.5,12900,258
-1.5,13000,260
-1.5,13100,262
-1.4,13200,264
-1.4,13300,266
-1.4,13400,268
-1.4,13500,270
-1.4,13600,272
-1.5,13700,274
-1.5,13800,276
-1.6,13900,278
-2.1,14000,280
-2.2,14100,282
-2.0,14200,284
-1.8,14300,286
-1.7,14400,288
-1.6,14500,290
-1.6,14600,292
-1.6,14700,294
-1.7,14800,296
-1.9,14900,298
-2.2,15000,300
-2.6,15100,302
-2.6,15200,304
-2.7,15300,306
-2.8,15400,308
-3.0,15500,310
-2.6,15600,312
-2.9,15700,314
-3.0,15800,316
-3.0,15900,318
-3.5,16000,320
-3.4,16100,322
-2.4,16200,324
-1.8,16300,326
-2.4,16400,328
-2.7,16500,330
-2.5,16600,332
-2.0,16700,334
-2.2,16800,336
-1.9,16900,338
-2.6,17000,340
-3.7,17100,342
-4.0,17200,344
-4.4,17300,346
-4.6,17400,348
-4.3,17500,350
-3.5,17600,352
-2.7,17700,354
-1.9,17800,356
-1.1,17900,358
-0.9,18000,360
-0.8,18100,362
-0.7,18200,364
-0.7,18300,366
-2.0,18400,368
-1.6,18500,370
-0.7,18600,372
-0.6,18700,374
-0.6,18800,376
-0.6,18900,378
-0.7,19000,380
-0.8,19100,382
-0.7,19200,384
-0.6,19300,386
-0.6,19400,388
-0.5,19500,390
-0.5,19600,392
-0.6,19700,394
-0.9,19800,396
-1.4,19900,398
-1.8,20000,400
-2.2,20100,402
-2.7,20200,404
-3.1,20300,406
-3.4,20400,408
-3.6,20500,410
-3.3,20600,412
-3.2,20700,414
-3.0,20800,416
-2.9,20900,418
-2.7,21000,420
-2.6,21100,422
-2.4,21200,424
-2.4,21300,426
-2.4,21400,428
-2.5,21500,430
-2.6,21600,432
-2.6,21700,434
-2.7,21800,436
-2.8,21900,438
-2.8,22000,440
-2.6,22100,442
-2.4,22200,444
-2.2,22300,446
-2.0,22400,448
-1.8,22500,450
-1.6,22600,452
-1.4,22700,454
-1.2,22800,456
-1.2,22900,458
-1.2,23000,460
-1.2,23100,462
-1.3,23200,464
-1.3,23300,466
-1.3,23400,468
-1.3,23500,470
-1.3,23600,472
-1.2,23700,474
-1.1,23800,476
-1.1,23900,478
-1.2,24000,480
-1.3,24100,482
-1.5,24200,484
-1.6,24300,486
-1.6,24400,488
-1.7,24500,490
-1.7,24600,492
-1.7,24700,494
-1.8,24800,496
-1.8,24900,498
-1.7,25000,500
