Published temperature,Published age,Age model error
(°„C),(yr BP),"(yr, 1¶“)"
0.0,0,0
1.0,100,2
1.0,200,4
1.0,300,6
0.9,400,8
0.9,500,10
1.2,600,12
1.2,700,14
1.2,800,16
1.3,900,18
0.9,1000,20
0.6,1100,22
0.6,1200,24
0.7,1300,26
0.6,1400,28
0.6,1500,30
0.5,1600,32
0.4,1700,34
0.1,1800,36
-0.3,1900,38
-0.5,2000,40
-0.1,2100,42
0.4,2200,44
0.4,2300,46
0.3,2400,48
0.1,2500,50
0.0,2600,52
-0.3,2700,54
-0.1,2800,56
0.1,2900,58
0.2,3000,60
0.5,3100,62
0.7,3200,64
0.7,3300,66
0.5,3400,68
0.5,3500,70
0.4,3600,72
0.2,3700,74
0.3,3800,76
0.6,3900,78
0.8,4000,80
0.9,4100,82
0.9,4200,84
0.8,4300,86
0.6,4400,88
0.3,4500,90
0.1,4600,92
0.0,4700,94
0.4,4800,96
0.8,4900,98
0.8,5000,100
0.7,5100,102
0.5,5200,104
0.5,5300,106
0.5,5400,108
0.4,5500,110
0.4,5600,112
0.3,5700,114
0.2,5800,116
0.1,5900,118
0.4,6000,120
0.6,6100,122
0.6,6200,124
0.7,6300,126
0.8,6400,128
0.6,6500,130
0.4,6600,132
0.4,6700,134
0.6,6800,136
0.7,6900,138
0.8,7000,140
0.9,7100,142
0.8,7200,144
0.6,7300,146
0.4,7400,148
0.2,7500,150
0.1,7600,152
0.3,7700,154
0.7,7800,156
0.7,7900,158
0.2,8000,160
-0.3,8100,162
-0.5,8200,164
-0.9,8300,166
-1.4,8400,168
-1.9,8500,170
-2.0,8600,172
-1.9,8700,174
-1.9,8800,176
-1.9,8900,178
-1.8,9000,180
-1.7,9100,182
-1.7,9200,184
-1.7,9300,186
-1.8,9400,188
-2.2,9500,190
-2.5,9600,192
-2.6,9700,194
-2.7,9800,196
-2.9,9900,198
-3.2,10000,200
-3.3,10100,202
-3.3,10200,204
-3.2,10300,206
-3.1,10400,208
-3.1,10500,210
-3.0,10600,212
-2.9,10700,214
-3.0,10800,216
-3.1,10900,218
-3.4,11000,220
-3.6,11100,222
-4.0,11200,224
-4.3,11300,226
-4.5,11400,228
-4.2,11500,230
-3.9,11600,232
-4.3,11700,234
-3.7,11800,236
-4.1,11900,238
-4.0,12000,240
-3.9,12100,242
-3.7,12200,244
-3.6,12300,246
-3.5,12400,248
-3.4,12500,250
-3.7,12600,252
-3.7,12700,254
-4.0,12800,256
-4.6,12900,258
-4.5,13000,260
-3.7,13100,262
-3.0,13200,264
-2.3,13300,266
-2.2,13400,268
-2.6,13500,270
-3.0,13600,272
-3.3,13700,274
-3.6,13800,276
-3.5,13900,278
-3.4,14000,280
-3.4,14100,282
-3.2,14200,284
-3.8,14300,286
-4.7,14400,288
-5.3,14500,290
-5.9,14600,292
-5.4,14700,294
-4.7,14800,296
-3.9,14900,298
-3.2,15000,300
-3.0,15100,302
-3.0,15200,304
-3.0,15300,306
-3.1,15400,308
-3.3,15500,310
-3.4,15600,312
-3.5,15700,314
-3.7,15800,316
-3.8,15900,318
-3.8,16000,320
-3.9,16100,322
-4.0,16200,324
-4.0,16300,326
-4.1,16400,328
-4.2,16500,330
-4.4,16600,332
-4.5,16700,334
-4.7,16800,336
-4.9,16900,338
-4.9,17000,340
-4.8,17100,342
-4.8,17200,344
-4.7,17300,346
-4.7,17400,348
-4.7,17500,350
-4.5,17600,352
-4.2,17700,354
-3.8,17800,356
-3.5,17900,358
-3.2,18000,360
-3.0,18100,362
-3.3,18200,364
-3.3,18300,366
-3.3,18400,368
-3.3,18500,370
-3.3,18600,372
-3.3,18700,374
-3.3,18800,376
-3.3,18900,378
-3.3,19000,380
