Published temperature,Published age,Age model error
(°„C),(yr BP),"(yr, 1¶“)"
0.0,0,0
0.2,100,2
-0.1,200,4
-0.2,300,6
-0.4,400,8
-0.4,500,10
-0.4,600,12
-0.2,700,14
-0.1,800,16
-0.2,900,18
-0.1,1000,20
-0.1,1100,22
-0.1,1200,24
-0.3,1300,26
-0.3,1400,28
-0.3,1500,30
-0.2,1600,32
-0.2,1700,34
-0.2,1800,36
-0.2,1900,38
-0.1,2000,40
0.0,2100,42
0.1,2200,44
0.2,2300,46
0.1,2400,48
0.0,2500,50
0.0,2600,52
0.0,2700,54
-0.1,2800,56
-0.1,2900,58
0.1,3000,60
0.2,3100,62
0.1,3200,64
0.3,3300,66
0.2,3400,68
-0.1,3500,70
-0.2,3600,72
-0.2,3700,74
-0.1,3800,76
0.0,3900,78
0.1,4000,80
0.1,4100,82
0.0,4200,84
-0.1,4300,86
-0.1,4400,88
-0.1,4500,90
-0.2,4600,92
-0.1,4700,94
0.1,4800,96
0.4,4900,98
0.4,5000,100
0.3,5100,102
0.3,5200,104
0.1,5300,106
0.0,5400,108
0.1,5500,110
-0.1,5600,112
-0.2,5700,114
-0.1,5800,116
0.1,5900,118
0.1,6000,120
0.3,6100,122
0.4,6200,124
0.6,6300,126
0.4,6400,128
0.3,6500,130
0.2,6600,132
0.2,6700,134
0.2,6800,136
0.3,6900,138
0.3,7000,140
0.5,7100,142
0.5,7200,144
0.5,7300,146
0.5,7400,148
0.5,7500,150
0.5,7600,152
0.2,7700,154
0.0,7800,156
-0.4,7900,158
-0.9,8000,160
-1.2,8100,162
-1.4,8200,164
-1.8,8300,166
-2.1,8400,168
-2.1,8500,170
-1.9,8600,172
-1.9,8700,174
-1.7,8800,176
-1.6,8900,178
-0.7,9000,180
-0.6,9100,182
-1.1,9200,184
-1.2,9300,186
-1.0,9400,188
-1.2,9500,190
-1.3,9600,192
-1.4,9700,194
-1.3,9800,196
-1.3,9900,198
-1.3,10000,200
-1.3,10100,202
-1.3,10200,204
-1.5,10300,206
-2.0,10400,208
-2.3,10500,210
-2.8,10600,212
-3.5,10700,214
-3.0,10800,216
-3.7,10900,218
-3.9,11000,220
-2.6,11100,222
-2.9,11200,224
-2.2,11300,226
-2.3,11400,228
-3.1,11500,230
-4.0,11600,232
-4.8,11700,234
-4.8,11800,236
-4.8,11900,238
-4.5,12000,240
-4.1,12100,242
-4.3,12200,244
-4.3,12300,246
-4.1,12400,248
-4.0,12500,250
-4.0,12600,252
-4.0,12700,254
-4.1,12800,256
-4.1,12900,258
-3.9,13000,260
-4.0,13100,262
-4.4,13200,264
-4.8,13300,266
-4.8,13400,268
-4.2,13500,270
-4.2,13600,272
-4.3,13700,274
-4.4,13800,276
-4.5,13900,278
-4.2,14000,280
-4.2,14100,282
-4.2,14200,284
-4.2,14300,286
-4.2,14400,288
-4.2,14500,290
-4.2,14600,292
-4.2,14700,294
-4.2,14800,296
-4.2,14900,298
-4.2,15000,300
-4.3,15100,302
-4.3,15200,304
-4.3,15300,306
-4.3,15400,308
-4.4,15500,310
-4.4,15600,312
-4.4,15700,314
-4.4,15800,316
-4.4,15900,318
-4.4,16000,320
-4.4,16100,322
-4.4,16200,324
-4.4,16300,326
-4.4,16400,328
-4.3,16500,330
-4.3,16600,332
-4.3,16700,334
-4.2,16800,336
-4.2,16900,338
-4.1,17000,340
-4.0,17100,342
-4.0,17200,344
-4.2,17300,346
-4.5,17400,348
-4.8,17500,350
-5.2,17600,352
-5.5,17700,354
-5.6,17800,356
-5.5,17900,358
-5.4,18000,360
-5.3,18100,362
-5.2,18200,364
-3.4,18300,366
-3.4,18400,368
-3.4,18500,370
-3.4,18600,372
-3.3,18700,374
-3.3,18800,376
-3.3,18900,378
-3.3,19000,380
-3.3,19100,382
-3.2,19200,384
-3.2,19300,386
-3.1,19400,388
-3.1,19500,390
-3.2,19600,392
-3.3,19700,394
-3.4,19800,396
-3.4,19900,398
-3.3,20000,400
-3.3,20100,402
-3.3,20200,404
-3.3,20300,406
-3.3,20400,408
-3.3,20500,410
-3.2,20600,412
-3.1,20700,414
-3.0,20800,416
-3.0,20900,418
-3.2,21000,420
-3.4,21100,422
-3.5,21200,424
-3.6,21300,426
-3.6,21400,428
-3.7,21500,430
-3.8,21600,432
-3.9,21700,434
-4.0,21800,436
-3.5,21900,438
-2.9,22000,440
-2.4,22100,442
-1.8,22200,444
-1.2,22300,446
-0.6,22400,448
0.0,22500,450
