Proxy depth,Published temperature,Published age,Age model error
(cm),(°„C),(yr BP),"(yr, 1¶“)"
0,20.9,550,11
5,20.6,920,18
11,20.9,1360,27
20,18.3,2030,41
25,18.8,2430,49
28,18.7,2680,54
30,20.9,2840,57
32,19.9,3000,60
33,19.8,3080,62
37,19.9,3460,69
41,19.7,3830,77
44,20.1,4110,82
45,12.3,4200,84
49,19.9,4580,92
50,19.9,4670,93
52,14.8,4860,97
55,18.2,5060,101
58,18.9,5250,105
60,17.2,5380,108
63,20.0,5580,112
65,18.4,5710,114
68,20.1,5910,118
70,16.1,6040,121
73,19.1,6240,125
75,19.8,6370,127
76,20.1,6430,129
80,15.8,6700,134
83,21.0,6890,138
85,12.7,7020,140
88,18.7,7180,144
90,18.4,7280,146
93,19.8,7440,149
95,16.8,7540,151
98,19.0,7700,154
100,19.2,7800,156
101,19.0,7850,157
105,19.1,8060,161
107,19.8,8160,163
110,18.1,8310,166
113,20.1,8470,169
115,20.2,8570,171
118,18.9,8730,175
120,20.0,8830,177
123,19.9,8990,180
126,18.9,9101,182
130,20.6,9252,185
135,20.7,9367,187
137,20.6,9410,188
140,18.7,9475,190
145,19.8,9590,192
148,20.8,9655,193
150,20.0,9705,194
153,20.2,9770,195
155,20.6,9821,196
158,20.3,9885,198
160,19.8,9929,199
163,20.1,10001,200
165,19.3,10044,201
167,20.9,10087,202
170,19.0,10159,203
171,18.5,10181,204
175,20.2,10267,205
178,20.4,10375,207
180,19.6,10440,209
183,19.7,10548,211
185,20.3,10620,212
187,19.9,10684,214
190,19.7,10792,216
193,19.9,10893,218
195,20.6,10965,219
198,17.9,11066,221
200,20.5,11138,223
203,19.9,11239,225
205,19.9,11311,226
208,19.9,11411,228
210,18.8,11483,230
211,19.2,11512,230
215,14.8,11968,239
218,13.1,12704,254
220,14.0,12950,259
223,19.7,13110,262
225,20.3,13220,264
228,19.7,13380,268
230,19.5,13490,270
233,19.7,13630,273
235,19.5,13720,274
238,19.6,13828,277
240,20.6,13865,277
241,20.5,13880,278
245,20.2,13950,279
248,20.2,14002,280
250,20.9,14039,281
253,19.5,14091,282
255,18.7,14124,282
258,20.9,14176,284
260,20.5,14212,284
263,19.6,14264,285
265,20.0,14297,286
268,20.5,14349,287
270,20.4,14382,288
273,20.5,14438,289
275,20.9,14471,289
276,18.8,14489,290
280,7.9,14595,292
283,8.4,14837,297
285,8.1,15005,300
289,8.2,15322,306
294,9.4,15731,315
296,9.0,15890,318
299,9.5,16132,323
300,8.7,16216,324
301,8.2,16355,327
305,9.8,16942,339
308,9.4,17380,348
310,14.9,17669,353
313,15.2,18106,362
315,15.6,18405,368
318,18.1,18842,377
320,16.3,19131,383
,,,
