Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
300,4.740,28.0,8330,8334,8334,78,,251,G. ruber,6680,40,0,7213,7131,7308,7213,7131,7308,
310,4.594,27.7,8620,8626,8617,223,,301,mixed planktics,7890,40,0,8357,8265,8447,8357,8265,8447,
319,4.392,27.2,8880,8894,8876,301,,351,mixed planktics,8095,40,0,8555,8434,8680,8555,8434,8680,excluded
329,4.591,27.7,9180,9191,9164,359,,436.5,mixed planktics,10910,160,0,12426,11922,12836,12352,11765,12710,
339,4.458,27.4,9480,9489,9451,399,,471,mixed planktics,11690,210,0,13176,12854,13574,13151,12681,13572,
349,4.652,27.8,9770,9786,9737,426,,486.5,G. ruber,12240,150,0,13684,13367,13999,13675,13368,13996,
359,5.058,28.8,10070,10083,10024,442,,553,mixed planktics,12970,40,0,14791,14446,15068,14810,14251,15164,
369,4.786,28.1,10370,10381,10310,450,,628,mixed planktics,13970,410,0,16117,14980,17378,16425,15090,17574,
379,4.589,27.7,10660,10678,10596,448,,809,mixed planktics,17860,370,0,20665,19859,21745,20796,19603,21667,
389,4.582,27.7,10960,10975,10882,438,,,,,,,,,,,,,
401,4.642,27.8,11310,11331,11225,413,,,,,,,,,,,,,
409,3.945,26.0,11550,11569,11453,388,,,,,,,,,,,,,
419,3.973,26.1,11850,11866,11738,344,,,,,,,,,,,,,
429,3.796,25.6,12140,12162,12022,281,,,,,,,,,,,,,
433,4.254,26.8,12260,12281,12135,248,,,,,,,,,,,,,
437,5.036,28.7,12380,12396,12246,216,,,,,,,,,,,,,
439,4.056,26.3,12430,12444,12299,222,,,,,,,,,,,,,
443,4.239,26.8,12520,12539,12404,231,,,,,,,,,,,,,
447,4.506,27.5,12620,12634,12509,237,,,,,,,,,,,,,
449,4.467,27.4,12670,12682,12561,238,,,,,,,,,,,,,
459,4.477,27.4,12910,12919,12820,229,,,,,,,,,,,,,
464,4.426,27.3,13030,13037,12949,213,,,,,,,,,,,,,
467,4.286,26.9,13110,13108,13025,199,,,,,,,,,,,,,
469,3.987,26.1,13150,13155,13077,188,,,,,,,,,,,,,
479,4.145,26.6,13400,13454,13418,191,,,,,,,,,,,,,
484,4.238,26.8,13530,13609,13598,173,,,,,,,,,,,,,
485,3.962,26.0,13550,13640,13634,166,,,,,,,,,,,,,
487,4.061,26.3,13600,13694,13695,158,,,,,,,,,,,,,
489,4.202,26.7,13640,13727,13727,172,,,,,,,,,,,,,
493,4.406,27.2,13730,13792,13789,195,,,,,,,,,,,,,
497,3.819,25.6,13810,13856,13850,213,,,,,,,,,,,,,
499,3.761,25.5,13860,13888,13881,220,,,,,,,,,,,,,
503,3.888,25.8,13940,13952,13942,233,,,,,,,,,,,,,
509,3.821,25.6,14070,14049,14034,246,,,,,,,,,,,,,
513,4.264,26.9,14160,14113,14095,251,,,,,,,,,,,,,
537,3.940,26.0,14670,14497,14459,236,,,,,,,,,,,,,
539,4.194,26.7,14720,14529,14489,231,,,,,,,,,,,,,
543,4.164,26.6,14800,14593,14549,217,,,,,,,,,,,,,
549,4.970,28.6,14930,14689,14639,190,,,,,,,,,,,,,
553,3.969,26.1,15020,14752,14697,162,,,,,,,,,,,,,
557,4.243,26.8,15080,14829,14789,198,,,,,,,,,,,,,
559,4.233,26.8,15110,14868,14834,214,,,,,,,,,,,,,
563,4.325,27.0,15170,14945,14923,242,,,,,,,,,,,,,
567,3.915,25.9,15230,15022,15012,268,,,,,,,,,,,,,
569,3.887,25.8,15270,15061,15057,281,,,,,,,,,,,,,
573,4.161,26.6,15330,15138,15146,305,,,,,,,,,,,,,
577,3.727,25.4,15390,15215,15235,328,,,,,,,,,,,,,
579,3.769,25.5,15420,15253,15279,340,,,,,,,,,,,,,
582,3.800,25.6,15470,15311,15346,356,,,,,,,,,,,,,
584,4.181,26.6,15500,15349,15390,367,,,,,,,,,,,,,
586,4.080,26.4,15530,15388,15434,378,,,,,,,,,,,,,
588,4.267,26.9,15560,15426,15479,388,,,,,,,,,,,,,
589,4.065,26.3,15570,15445,15501,394,,,,,,,,,,,,,
592,4.146,26.6,15620,15503,15567,409,,,,,,,,,,,,,
594,3.782,25.5,15650,15541,15612,420,,,,,,,,,,,,,
596,3.936,26.0,15680,15580,15656,430,,,,,,,,,,,,,
598,4.074,26.4,15710,15618,15700,440,,,,,,,,,,,,,
599,3.810,25.6,15730,15637,15722,445,,,,,,,,,,,,,
602,3.930,26.0,15780,15695,15789,460,,,,,,,,,,,,,
