Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
13.60,-35.13,-31.7,-10,0.5
21.43,-35.55,-33.0,10,0.5
28.23,-35.16,-31.8,30,0.5
34.68,-35.59,-33.1,50,0.5
40.93,-35.24,-32.1,70,0.5
46.80,-35.31,-32.3,90,0.5
52.40,-34.79,-30.7,110,0.5
57.83,-35.14,-31.8,130,0.5
63.08,-35.39,-32.5,150,0.5
68.23,-34.93,-31.1,170,0.5
73.23,-35.56,-33.1,190,0.5
78.45,-35.11,-31.7,210,0.5
83.50,-35.11,-31.7,230,0.5
88.15,-35.41,-32.6,250,0.5
92.98,-35.63,-33.3,270,0.5
97.75,-34.90,-31.0,290,0.5
102.55,-35.43,-32.7,310,0.5
106.98,-35.19,-31.9,330,0.5
111.50,-35.29,-32.2,350,0.5
116.15,-34.97,-31.3,370,0.5
120.53,-35.17,-31.9,390,0.5
125.10,-35.08,-31.6,410,0.5
129.58,-35.02,-31.4,430,0.5
134.25,-34.99,-31.3,450,0.5
138.83,-35.56,-33.1,470,0.5
143.13,-35.30,-32.3,490,0.5
147.63,-34.87,-31.0,510,0.5
152.30,-35.71,-33.5,530,0.5
157.00,-34.98,-31.3,550,0.5
161.48,-35.39,-32.5,570,0.5
165.63,-35.84,-33.9,590,0.5
170.05,-35.74,-33.6,610,0.5
174.45,-35.58,-33.1,630,0.5
178.75,-35.18,-31.9,650,0.5
182.83,-35.14,-31.8,670,0.5
187.10,-35.50,-32.9,690,0.5
191.25,-35.56,-33.1,710,0.5
195.25,-34.85,-30.9,730,0.5
199.48,-35.32,-32.3,750,0.5
203.68,-35.50,-32.9,770,0.5
208.00,-35.52,-32.9,790,0.5
212.33,-35.71,-33.5,810,0.5
216.48,-35.15,-31.8,830,0.5
220.88,-36.02,-34.5,850,0.5
225.15,-35.10,-31.7,870,0.5
229.05,-35.33,-32.4,890,0.5
233.38,-35.46,-32.8,910,0.5
237.68,-35.29,-32.2,930,0.5
241.58,-35.29,-32.2,950,0.5
245.98,-35.61,-33.2,970,0.5
250.48,-34.56,-30.0,990,0.5
254.88,-34.87,-31.0,1010,0.5
259.10,-35.09,-31.6,1030,0.5
263.28,-34.90,-31.0,1050,0.5
267.53,-35.50,-32.9,1070,0.5
271.73,-35.50,-32.9,1090,0.5
275.73,-35.41,-32.6,1110,0.5
280.10,-35.07,-31.6,1130,0.5
284.13,-35.60,-33.2,1150,0.5
288.18,-35.01,-31.4,1170,0.5
292.38,-34.94,-31.2,1190,0.5
296.73,-34.39,-29.5,1210,0.5
300.95,-35.14,-31.8,1230,0.5
304.95,-35.11,-31.7,1250,1
308.65,-35.44,-32.7,1270,1
312.70,-35.26,-32.1,1290,1
316.80,-35.06,-31.5,1310,1
321.03,-35.16,-31.8,1330,1
325.25,-35.10,-31.7,1350,1
329.38,-35.47,-32.8,1370,1
333.43,-35.40,-32.6,1390,1
337.73,-34.80,-30.7,1410,1
341.75,-35.62,-33.2,1430,1
346.15,-35.67,-33.4,1450,1
350.33,-35.68,-33.4,1470,1
354.18,-35.14,-31.8,1490,0.5
358.23,-35.10,-31.7,1510,0.5
362.15,-35.16,-31.8,1530,0.5
366.15,-34.86,-30.9,1550,0.5
370.23,-34.99,-31.3,1570,0.5
374.28,-34.95,-31.2,1590,0.5
378.10,-35.62,-33.2,1610,0.5
382.18,-35.28,-32.2,1630,0.5
386.33,-35.22,-32.0,1650,0.5
390.00,-35.48,-32.8,1670,0.5
394.00,-35.09,-31.6,1690,0.5
398.00,-35.18,-31.9,1710,0.5
401.70,-35.43,-32.7,1730,0.5
405.78,-35.34,-32.4,1750,0.5
409.65,-35.15,-31.8,1770,0.5
413.50,-35.65,-33.3,1790,0.5
417.60,-34.92,-31.1,1810,0.5
421.43,-35.18,-31.9,1830,0.5
425.03,-34.75,-30.6,1850,0.5
429.03,-34.86,-30.9,1870,0.5
433.15,-34.56,-30.0,1890,0.5
436.98,-34.96,-31.2,1910,0.5
441.10,-34.71,-30.5,1930,0.5
445.00,-35.16,-31.8,1950,0.5
449.03,-35.03,-31.4,1970,0.5
453.10,-34.57,-30.0,1990,0.5
457.08,-35.59,-33.1,2010,0.5
460.85,-35.44,-32.7,2030,0.5
464.78,-34.90,-31.0,2050,0.5
468.48,-34.80,-30.7,2070,0.5
472.38,-35.66,-33.4,2090,0.5
476.33,-34.81,-30.8,2110,0.5
480.05,-34.96,-31.2,2130,0.5
483.50,-35.40,-32.6,2150,0.5
487.28,-35.50,-32.9,2170,0.5
490.95,-34.82,-30.8,2190,0.5
494.75,-34.53,-29.9,2210,0.5
498.55,-34.57,-30.0,2230,0.5
502.25,-34.93,-31.1,2250,0.5
505.85,-35.09,-31.6,2270,0.5
509.58,-35.49,-32.8,2290,1
513.15,-34.98,-31.3,2310,1
516.88,-35.01,-31.4,2330,1
520.68,-34.65,-30.3,2350,1
524.35,-34.41,-29.6,2370,1
527.90,-35.45,-32.7,2390,1
531.48,-34.70,-30.4,2410,1
535.15,-35.09,-31.6,2430,1
538.65,-34.74,-30.6,2450,1
542.38,-35.06,-31.5,2470,1
545.85,-34.07,-28.5,2490,1
549.65,-34.33,-29.3,2510,1
553.08,-34.90,-31.0,2530,1
556.65,-35.03,-31.4,2550,1
560.33,-34.76,-30.6,2570,1
563.80,-34.80,-30.7,2590,1
567.55,-35.05,-31.5,2610,1
571.10,-34.83,-30.8,2630,1
575.00,-34.81,-30.8,2650,1
578.63,-34.93,-31.1,2670,1
582.20,-34.96,-31.2,2690,1.5
585.95,-35.04,-31.5,2710,1.5
589.45,-35.11,-31.7,2730,1.5
593.13,-35.31,-32.3,2750,1.5
596.78,-34.98,-31.3,2770,1.5
600.08,-34.63,-30.2,2790,1.5
603.78,-34.46,-29.7,2810,1.5
607.28,-35.20,-32.0,2830,1.5
610.85,-35.29,-32.2,2850,1.5
614.45,-34.70,-30.4,2870,1.5
618.15,-35.41,-32.6,2890,1.5
621.75,-34.59,-30.1,2910,1.5
625.33,-34.59,-30.1,2930,1.5
628.80,-34.96,-31.2,2950,1.5
632.13,-34.61,-30.2,2970,1.5
635.70,-35.14,-31.8,2990,1.5
639.05,-35.37,-32.5,3010,1.5
642.60,-34.57,-30.0,3030,1.5
646.13,-35.11,-31.7,3050,1.5
649.40,-35.00,-31.4,3070,1.5
652.58,-34.96,-31.2,3090,2
655.83,-35.08,-31.6,3110,2
659.13,-35.39,-32.5,3130,2
662.73,-34.44,-29.6,3150,2
666.15,-34.90,-31.0,3170,2
669.65,-35.21,-32.0,3190,2
673.08,-35.07,-31.6,3210,2
676.25,-34.59,-30.1,3230,2
679.70,-34.61,-30.2,3250,2
682.98,-34.24,-29.0,3270,2
686.45,-34.60,-30.1,3290,2
689.78,-34.05,-28.5,3310,2
693.20,-34.71,-30.5,3330,2
696.60,-34.65,-30.3,3350,2
700.03,-34.85,-30.9,3370,2
703.50,-35.01,-31.4,3390,2
706.75,-34.81,-30.8,3410,2
709.95,-35.26,-32.1,3430,2
713.35,-35.10,-31.7,3450,2
716.70,-34.91,-31.1,3470,2
719.98,-34.22,-29.0,3490,2.5
723.25,-34.84,-30.9,3510,2.5
726.53,-34.71,-30.5,3530,2.5
729.80,-34.84,-30.9,3550,2.5
733.08,-35.25,-32.1,3570,2.5
736.50,-34.99,-31.3,3590,2.5
739.68,-35.01,-31.4,3610,2.5
742.83,-35.21,-32.0,3630,2.5
746.25,-34.87,-31.0,3650,2.5
749.75,-34.44,-29.6,3670,2.5
752.88,-34.43,-29.6,3690,2.5
756.35,-34.49,-29.8,3710,2.5
759.48,-35.19,-31.9,3730,2.5
762.48,-34.75,-30.6,3750,2.5
765.73,-34.88,-31.0,3770,2.5
769.15,-35.11,-31.7,3790,2.5
772.49,-34.62,-30.2,3810,2.5
775.74,-34.95,-31.2,3830,2.5
778.93,-34.42,-29.6,3850,3
782.03,-35.55,-33.0,3870,3
785.00,-34.92,-31.1,3890,3
788.09,-34.42,-29.6,3910,3
791.43,-34.55,-30.0,3930,3
794.89,-35.10,-31.7,3950,3
798.45,-34.62,-30.2,3970,3
801.39,-34.74,-30.6,3990,3
804.86,-34.80,-30.7,4010,3
807.83,-34.54,-29.9,4030,3
810.94,-34.52,-29.9,4050,3.5
813.98,-34.93,-31.1,4070,3.5
817.00,-34.30,-29.2,4090,3.5
820.04,-34.93,-31.1,4110,3.5
822.81,-34.71,-30.5,4130,3.5
825.72,-34.97,-31.3,4150,3.5
828.57,-35.16,-31.8,4170,3.5
831.38,-34.95,-31.2,4190,3.5
834.43,-34.51,-29.9,4210,3.5
837.39,-34.84,-30.9,4230,3.5
840.52,-34.91,-31.1,4250,4
843.31,-34.83,-30.8,4270,4
846.23,-35.09,-31.6,4290,4
849.45,-34.79,-30.7,4310,4
852.57,-34.67,-30.3,4330,4
855.53,-35.15,-31.8,4350,4
858.36,-34.90,-31.0,4370,4
861.48,-34.30,-29.2,4390,4
864.24,-34.95,-31.2,4410,4
867.34,-34.44,-29.6,4430,4
869.93,-35.00,-31.4,4450,4.5
872.87,-34.88,-31.0,4470,4.5
875.62,-35.09,-31.6,4490,4.5
878.89,-34.75,-30.6,4510,4.5
882.04,-34.92,-31.1,4530,4.5
885.14,-34.82,-30.8,4550,4.5
888.12,-34.55,-30.0,4570,4.5
890.97,-35.33,-32.4,4590,4.5
893.76,-35.07,-31.6,4610,4.5
896.52,-35.10,-31.7,4630,4.5
899.29,-34.81,-30.8,4650,5
902.13,-34.50,-29.8,4670,5
905.12,-35.24,-32.1,4690,5
908.15,-35.09,-31.6,4710,5
911.26,-35.31,-32.3,4730,5
914.08,-35.33,-32.4,4750,5
916.79,-34.66,-30.3,4770,5
919.74,-34.81,-30.8,4790,5
922.40,-35.34,-32.4,4810,5
925.17,-34.47,-29.7,4830,5
927.81,-34.93,-31.1,4850,5.5
930.37,-34.77,-30.6,4870,5.5
932.79,-34.77,-30.6,4890,5.5
935.69,-35.15,-31.8,4910,5.5
938.40,-34.31,-29.2,4930,5.5
941.35,-35.09,-31.6,4950,5.5
944.11,-34.42,-29.6,4970,5.5
946.85,-34.94,-31.2,4990,5.5
949.80,-34.66,-30.3,5010,5.5
952.72,-34.47,-29.7,5030,5.5
955.76,-34.79,-30.7,5050,6
958.63,-34.59,-30.1,5070,6
961.37,-34.82,-30.8,5090,6
963.98,-34.80,-30.7,5110,6
967.26,-35.27,-32.2,5130,6
970.08,-34.37,-29.4,5150,6
972.78,-34.84,-30.9,5170,6
975.84,-34.87,-31.0,5190,6
978.51,-35.11,-31.7,5210,6
981.28,-34.92,-31.1,5230,6
983.90,-34.83,-30.8,5250,6.5
986.42,-35.45,-32.7,5270,6.5
988.97,-34.96,-31.2,5290,6.5
991.49,-35.15,-31.8,5310,6.5
994.41,-34.86,-30.9,5330,6.5
997.26,-34.80,-30.7,5350,6.5
1000.02,-35.35,-32.4,5370,6.5
1002.62,-34.41,-29.6,5390,6.5
1005.27,-34.89,-31.0,5410,6.5
1008.19,-35.27,-32.2,5430,6.5
1010.67,-34.68,-30.4,5450,7
1013.27,-34.84,-30.9,5470,7
1015.94,-35.15,-31.8,5490,7
1018.57,-34.55,-30.0,5510,7
1021.34,-34.93,-31.1,5530,7
1024.05,-34.93,-31.1,5550,7
1026.92,-34.28,-29.2,5570,7
1029.57,-35.33,-32.4,5590,7
1032.13,-34.31,-29.2,5610,7
1034.76,-34.76,-30.6,5630,7
1037.16,-34.82,-30.8,5650,7.5
1039.81,-34.67,-30.3,5670,7.5
1042.10,-34.66,-30.3,5690,7.5
1044.95,-34.87,-31.0,5710,7.5
1047.41,-34.85,-30.9,5730,7.5
1049.96,-34.92,-31.1,5750,7.5
1052.64,-34.64,-30.3,5770,7.5
1055.15,-34.16,-28.8,5790,7.5
1057.64,-35.26,-32.1,5810,7.5
1060.27,-35.27,-32.2,5830,7.5
1063.03,-34.76,-30.6,5850,8
1065.80,-34.71,-30.5,5870,8
1068.17,-34.28,-29.2,5890,8
1070.68,-34.92,-31.1,5910,8
1073.05,-34.75,-30.6,5930,8
1075.68,-34.90,-31.0,5950,8
1078.44,-35.04,-31.5,5970,8
1080.93,-35.09,-31.6,5990,8
1083.56,-35.39,-32.5,6010,8
1085.90,-34.99,-31.3,6030,8
1088.20,-34.48,-29.8,6050,8.5
1090.78,-35.24,-32.1,6070,8.5
1093.39,-34.90,-31.0,6090,8.5
1096.06,-34.68,-30.4,6110,8.5
1098.31,-34.72,-30.5,6130,8.5
1100.78,-34.88,-31.0,6150,8.5
1103.19,-34.33,-29.3,6170,8.5
1105.69,-35.31,-32.3,6190,8.5
1108.40,-35.01,-31.4,6210,8.5
1111.00,-35.00,-31.4,6230,8.5
1113.53,-34.36,-29.4,6250,9
1115.93,-35.11,-31.7,6270,9
1118.41,-35.19,-31.9,6290,9
1121.11,-34.53,-29.9,6310,9
1123.56,-34.97,-31.3,6330,9
1126.01,-35.35,-32.4,6350,9
1128.55,-34.42,-29.6,6370,9
1130.85,-35.26,-32.1,6390,9
1133.22,-34.50,-29.8,6410,9
1135.65,-35.18,-31.9,6430,9
1137.98,-34.89,-31.0,6450,9.5
1140.23,-34.87,-31.0,6470,9.5
1142.56,-34.71,-30.5,6490,9.5
1144.97,-35.25,-32.1,6510,9.5
1147.48,-34.47,-29.7,6530,9.5
1149.95,-34.65,-30.3,6550,9.5
1152.38,-34.75,-30.6,6570,9.5
1154.79,-35.02,-31.4,6590,9.5
1157.11,-34.78,-30.7,6610,9.5
1159.38,-34.74,-30.6,6630,9.5
1161.82,-34.73,-30.5,6650,10
1164.20,-35.12,-31.7,6670,10
1166.78,-34.87,-31.0,6690,10
1169.05,-34.54,-29.9,6710,10
1171.35,-34.64,-30.3,6730,10
1173.65,-34.26,-29.1,6750,10
1176.06,-35.11,-31.7,6770,10
1178.43,-34.13,-28.7,6790,10
1180.84,-35.14,-31.8,6810,10
1182.94,-34.75,-30.6,6830,10
1185.25,-35.07,-31.6,6850,10.5
1188.01,-34.97,-31.3,6870,10.5
1190.44,-34.84,-30.9,6890,10.5
1192.60,-34.62,-30.2,6910,11
1194.79,-34.88,-31.0,6930,11
1196.99,-34.24,-29.0,6950,11.5
1199.29,-35.07,-31.6,6970,11.5
1201.52,-34.76,-30.6,6990,11.5
1203.56,-34.54,-29.9,7010,12
1205.76,-34.76,-30.6,7030,12
1208.40,-34.92,-31.1,7050,12.5
1210.74,-34.58,-30.1,7070,12.5
1213.15,-34.65,-30.3,7090,12.5
1215.40,-35.15,-31.8,7110,13
1217.61,-35.67,-33.4,7130,13
1219.84,-34.37,-29.4,7150,13.5
1222.21,-34.51,-29.9,7170,13.5
1224.34,-35.16,-31.8,7190,13.5
1226.55,-34.50,-29.8,7210,14
1228.81,-34.50,-29.8,7230,14
1230.89,-34.71,-30.5,7250,14.5
1233.06,-34.36,-29.4,7270,14.5
1235.17,-34.17,-28.8,7290,14.5
1237.46,-34.59,-30.1,7310,15
1240.12,-34.80,-30.7,7330,15
1242.41,-34.22,-29.0,7350,15.5
1244.91,-34.61,-30.2,7370,15.5
1247.06,-34.77,-30.6,7390,15.5
1249.29,-34.47,-29.7,7410,16
1251.60,-34.62,-30.2,7430,16
1253.89,-34.66,-30.3,7450,16.5
1256.10,-34.71,-30.5,7470,16.5
1258.47,-34.62,-30.2,7490,16.5
1260.94,-34.88,-31.0,7510,17
1263.38,-34.57,-30.0,7530,17
1265.55,-34.79,-30.7,7550,17.5
1267.91,-34.22,-29.0,7570,17.5
1269.82,-34.88,-31.0,7590,17.5
