Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
8,0.716,20.4,310,1332,1335,338,,38,TOC,2310,60,0,1927,1783,2096,1927,1783,2096
13,0.719,20.5,500,1434,1436,310,,130,TOC,6260,150,0,6718,6382,7100,6718,6382,7100
18,0.743,21.2,690,1535,1538,280,,172,G. inflata,7820,60,0,8286,8160,8395,8286,8160,8395
23,0.738,21.0,880,1637,1638,246,,278,G. inflata,10480,40,0,11598,11361,11860,11598,11361,11860
28,0.740,21.1,1080,1739,1739,206,,383,G. inflata & G. bulloides,11410,50,0,12932,12863,13052,12874,12697,13081
33,0.738,21.0,1270,1841,1839,156,,588,G. inflata & G. bulloides,13130,80,0,15019,14681,15313,15085,14619,15574
38,0.750,21.4,1460,1942,1938,76,,688,G. inflata & G. bulloides,14710,60,0,17110,16678,17510,17392,17049,17729
43,0.751,21.4,1720,2202,2201,227,,749,G. inflata,15470,60,0,18375,18091,18641,18241,18027,18564
48,0.757,21.6,1980,2463,2462,305,,913,G. inflata,18290,80,0,21129,20760,21477,21366,21050,21577
53,0.752,21.5,2250,2723,2723,359,,,,,,,,,,,,
58,0.752,21.5,2510,2984,2985,400,,,,,,,,,,,,
63,0.743,21.2,2770,3244,3246,431,,,,,,,,,,,,
68,0.753,21.5,3030,3505,3507,455,,,,,,,,,,,,
73,0.757,21.6,3290,3765,3768,472,,,,,,,,,,,,
78,0.751,21.4,3550,4025,4028,483,,,,,,,,,,,,
82,0.757,21.6,3760,4234,4237,488,,,,,,,,,,,,
88,0.762,21.8,4080,4546,4550,489,,,,,,,,,,,,
93,0.766,21.9,4340,4807,4811,484,,,,,,,,,,,,
98,0.751,21.4,4600,5067,5072,473,,,,,,,,,,,,
103,0.763,21.8,4860,5328,5332,457,,,,,,,,,,,,
108,0.765,21.9,5120,5589,5593,434,,,,,,,,,,,,
113,0.753,21.5,5390,5849,5853,403,,,,,,,,,,,,
118,0.768,21.9,5650,6110,6114,362,,,,,,,,,,,,
123,0.773,22.1,5910,6370,6374,308,,,,,,,,,,,,
128,0.777,22.2,6170,6631,6634,229,,,,,,,,,,,,
133,0.783,22.4,6390,6845,6848,222,,,,,,,,,,,,
138,0.775,22.2,6580,7027,7032,261,,,,,,,,,,,,
143,0.769,22.0,6770,7210,7215,282,,,,,,,,,,,,
148,0.774,22.1,6960,7394,7398,289,,,,,,,,,,,,
153,0.767,21.9,7150,7577,7581,283,,,,,,,,,,,,
158,0.764,21.8,7340,7760,7764,263,,,,,,,,,,,,
163,0.764,21.8,7530,7944,7946,227,,,,,,,,,,,,
168,0.766,21.9,7710,8127,8129,165,,,,,,,,,,,,
173,0.767,21.9,7900,8306,8306,94,,,,,,,,,,,,
178,0.768,21.9,8050,8463,8464,188,,,,,,,,,,,,
183,0.765,21.9,8200,8620,8622,245,,,,,,,,,,,,
188,0.759,21.7,8350,8778,8780,286,,,,,,,,,,,,
193,0.758,21.6,8500,8935,8938,318,,,,,,,,,,,,
198,0.764,21.8,8660,9092,9095,343,,,,,,,,,,,,
203,0.756,21.6,8810,9249,9253,362,,,,,,,,,,,,
208,0.754,21.5,8960,9407,9410,378,,,,,,,,,,,,
213,0.758,21.6,9110,9564,9568,389,,,,,,,,,,,,
218,0.746,21.3,9260,9721,9725,396,,,,,,,,,,,,
223,0.759,21.7,9410,9878,9883,400,,,,,,,,,,,,
228,0.747,21.3,9570,10036,10040,401,,,,,,,,,,,,
233,0.737,21.0,9720,10193,10197,398,,,,,,,,,,,,
238,0.741,21.1,9870,10350,10355,391,,,,,,,,,,,,
243,0.749,21.4,10020,10508,10512,381,,,,,,,,,,,,
248,0.743,21.2,10170,10665,10669,367,,,,,,,,,,,,
253,0.744,21.2,10330,10822,10826,349,,,,,,,,,,,,
258,0.745,21.2,10480,10980,10984,326,,,,,,,,,,,,
263,0.727,20.7,10630,11137,11141,296,,,,,,,,,,,,
268,0.733,20.9,10780,11295,11298,257,,,,,,,,,,,,
273,0.729,20.8,10930,11452,11455,205,,,,,,,,,,,,
278,0.725,20.6,11090,11610,11611,123,,,,,,,,,,,,
283,0.736,21.0,11150,11673,11672,159,,,,,,,,,,,,
288,0.726,20.7,11220,11738,11733,185,,,,,,,,,,,,
293,0.740,21.1,11280,11802,11794,205,,,,,,,,,,,,
298,0.731,20.8,11350,11866,11855,222,,,,,,,,,,,,
303,0.727,20.7,11410,11930,11916,234,,,,,,,,,,,,
308,0.723,20.6,11480,11994,11977,244,,,,,,,,,,,,
313,0.728,20.7,11550,12058,12038,252,,,,,,,,,,,,
318,0.727,20.7,11610,12123,12099,257,,,,,,,,,,,,
323,0.722,20.6,11680,12187,12160,260,,,,,,,,,,,,
328,0.720,20.5,11740,12251,12221,260,,,,,,,,,,,,
333,0.720,20.5,11810,12315,12282,259,,,,,,,,,,,,
338,0.710,20.2,11870,12380,12343,256,,,,,,,,,,,,
343,0.708,20.1,11940,12444,12404,250,,,,,,,,,,,,
348,0.714,20.3,12010,12508,12465,243,,,,,,,,,,,,
353,0.699,19.9,12070,12572,12526,232,,,,,,,,,,,,
358,0.707,20.1,12140,12637,12587,219,,,,,,,,,,,,
363,0.707,20.1,12200,12701,12648,202,,,,,,,,,,,,
368,0.703,20.0,12270,12765,12708,181,,,,,,,,,,,,
373,0.701,19.9,12340,12829,12769,153,,,,,,,,,,,,
378,0.697,19.8,12400,12894,12830,115,,,,,,,,,,,,
383,0.705,20.0,12470,12958,12890,47,,,,,,,,,,,,
388,0.697,19.8,12510,13007,12945,105,,,,,,,,,,,,
393,0.716,20.4,12550,13057,12999,140,,,,,,,,,,,,
398,0.706,20.1,12590,13107,13053,166,,,,,,,,,,,,
403,0.721,20.5,12630,13156,13107,188,,,,,,,,,,,,
408,0.725,20.6,12670,13206,13161,206,,,,,,,,,,,,
413,0.719,20.5,12710,13255,13215,222,,,,,,,,,,,,
418,0.727,20.7,12750,13305,13269,236,,,,,,,,,,,,
423,0.726,20.7,12800,13354,13323,248,,,,,,,,,,,,
428,0.715,20.3,12840,13404,13377,259,,,,,,,,,,,,
433,0.713,20.3,12880,13454,13431,269,,,,,,,,,,,,
438,0.732,20.9,12920,13503,13485,277,,,,,,,,,,,,
443,0.722,20.6,12960,13553,13539,285,,,,,,,,,,,,
448,0.736,21.0,13000,13602,13593,291,,,,,,,,,,,,
453,0.724,20.6,13040,13652,13647,297,,,,,,,,,,,,
458,0.725,20.6,13080,13702,13701,302,,,,,,,,,,,,
463,0.748,21.3,13120,13751,13755,306,,,,,,,,,,,,
468,0.717,20.4,13160,13801,13809,310,,,,,,,,,,,,
473,0.729,20.8,13210,13851,13863,313,,,,,,,,,,,,
478,0.725,20.6,13250,13900,13917,315,,,,,,,,,,,,
483,0.730,20.8,13290,13950,13971,316,,,,,,,,,,,,
488,0.731,20.8,13330,13999,14025,317,,,,,,,,,,,,
493,0.720,20.5,13370,14049,14079,317,,,,,,,,,,,,
498,0.715,20.3,13410,14099,14133,316,,,,,,,,,,,,
503,0.733,20.9,13450,14148,14186,315,,,,,,,,,,,,
508,0.728,20.7,13490,14198,14240,313,,,,,,,,,,,,
513,0.723,20.6,13530,14248,14294,310,,,,,,,,,,,,
518,0.736,21.0,13570,14297,14348,307,,,,,,,,,,,,
523,0.729,20.8,13620,14347,14402,303,,,,,,,,,,,,
528,0.743,21.2,13660,14397,14456,298,,,,,,,,,,,,
533,0.728,20.7,13700,14446,14510,293,,,,,,,,,,,,
538,0.730,20.8,13740,14496,14564,287,,,,,,,,,,,,
543,0.732,20.9,13780,14546,14617,279,,,,,,,,,,,,
548,0.723,20.6,13820,14595,14671,271,,,,,,,,,,,,
