Proxy depth,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
3,24.6,30,-2586,-2561,799,,10,"G. ruber, G. sacculifer, O. universa",160,90,0,-2,-5,76,-2,-5,76
8,24.4,90,-2286,-2262,762,,58,"G. ruber, G. sacculifer, O. universa",1150,55,0,702,610,835,702,610,835
13,24.6,150,-1986,-1964,724,,108,"G. ruber, G. sacculifer, O. universa",4175,45,0,4259,4121,4400,4259,4121,4400
18,24.5,210,-1686,-1665,683,,158,"G. ruber, G. sacculifer, O. universa",5910,45,0,6327,6235,6431,6327,6235,6431
23,24.7,270,-1386,-1367,639,,208,"G. ruber, G. sacculifer, O. universa",6605,60,0,7128,6968,7258,7128,6968,7258
28,24.1,330,-1086,-1068,592,,255.5,"G. ruber, G. sacculifer, O. universa",8040,55,0,8496,8377,8620,8496,8377,8620
33,24.1,390,-786,-769,541,,305.5,"G. ruber, G. sacculifer, O. universa",8670,80,0,9335,9120,9493,9335,9120,9493
38,24.4,450,-486,-471,485,,355.5,"G. ruber, G. sacculifer, O. universa",9130,90,0,9894,9608,10156,9894,9608,10156
43,24.0,510,-185,-172,422,,405.5,"G. ruber, G. sacculifer, O. universa",10515,60,0,11694,11364,11942,11694,11364,11942
48,24.5,570,115,126,346,,455.5,"G. ruber, G. sacculifer, O. universa",11630,80,0,13123,12953,13254,13126,12887,13300
53,24.2,630,416,424,249,,505.5,"G. ruber, G. sacculifer, O. universa",12780,70,0,14380,14077,14810,14426,14052,14942
58,25.0,690,723,720,55,,555.5,"G. ruber, G. sacculifer, O. universa",14900,80,0,17453,16968,17884,17642,17228,17926
63,24.8,1050,1079,1073,248,,605.5,"G. ruber, G. sacculifer, O. universa",22690,170,0,,,,26842,26207,27640
68,24.9,1400,1433,1426,328,,655.5,"G. ruber, G. sacculifer, O. universa",29000,360,0,,,,32997,31855,34428
73,24.9,1760,1787,1780,374,,705.5,"G. ruber, G. sacculifer, O. universa",35840,830,0,,,,40433,38735,41915
78,24.8,2110,2141,2134,400,,,,,,,,,,,,
83,25.0,2470,2495,2487,408,,,,,,,,,,,,
88,24.8,2830,2849,2841,400,,,,,,,,,,,,
93,24.7,3180,3202,3195,375,,,,,,,,,,,,
98,24.9,3540,3555,3549,329,,,,,,,,,,,,
103,25.0,3890,3908,3904,251,,,,,,,,,,,,
108,24.9,4250,4260,4259,69,,,,,,,,,,,,
113,24.7,4450,4469,4465,196,,,,,,,,,,,,
118,24.6,4660,4676,4672,254,,,,,,,,,,,,
123,24.9,4870,4884,4879,288,,,,,,,,,,,,
128,24.9,5080,5091,5087,307,,,,,,,,,,,,
133,24.8,5280,5298,5294,312,,,,,,,,,,,,
138,25.0,5490,5505,5502,306,,,,,,,,,,,,
143,24.6,5700,5712,5709,286,,,,,,,,,,,,
148,24.6,5900,5919,5917,251,,,,,,,,,,,,
153,24.8,6110,6126,6125,190,,,,,,,,,,,,
158,24.8,6320,6331,6334,50,,,,,,,,,,,,
163,24.5,6400,6411,6411,121,,,,,,,,,,,,
168,24.7,6480,6489,6488,157,,,,,,,,,,,,
173,24.7,6560,6568,6566,178,,,,,,,,,,,,
178,24.5,6640,6646,6643,190,,,,,,,,,,,,
183,24.2,6720,6724,6721,194,,,,,,,,,,,,
188,24.6,6800,6802,6798,191,,,,,,,,,,,,
193,24.4,6880,6881,6876,181,,,,,,,,,,,,
198,24.5,6960,6959,6954,162,,,,,,,,,,,,
203,24.4,7040,7037,7032,131,,,,,,,,,,,,
208,24.3,7130,7114,7110,74,,,,,,,,,,,,
213,24.6,7270,7261,7256,169,,,,,,,,,,,,
218,24.2,7410,7407,7402,215,,,,,,,,,,,,
223,24.1,7550,7554,7548,242,,,,,,,,,,,,
228,24.5,7690,7700,7695,256,,,,,,,,,,,,
233,24.5,7840,7845,7841,259,,,,,,,,,,,,
238,24.2,7980,7991,7988,250,,,,,,,,,,,,
243,24.1,8120,8137,8134,230,,,,,,,,,,,,
248,24.0,8260,8282,8281,194,,,,,,,,,,,,
253,24.5,8410,8428,8427,128,,,,,,,,,,,,
258,24.2,8510,8541,8541,104,,,,,,,,,,,,
263,24.1,8560,8622,8622,150,,,,,,,,,,,,
268,24.5,8620,8702,8703,178,,,,,,,,,,,,
273,24.4,8680,8783,8784,195,,,,,,,,,,,,
278,24.2,8740,8864,8865,203,,,,,,,,,,,,
283,24.4,8790,8944,8946,205,,,,,,,,,,,,
288,24.1,8850,9025,9027,199,,,,,,,,,,,,
293,24.4,8910,9105,9108,186,,,,,,,,,,,,
298,24.4,8960,9185,9190,163,,,,,,,,,,,,
303,24.1,9020,9265,9271,124,,,,,,,,,,,,
308,23.6,9080,9334,9340,114,,,,,,,,,,,,
313,24.0,9150,9392,9396,144,,,,,,,,,,,,
318,23.8,9220,9451,9453,164,,,,,,,,,,,,
323,23.7,9280,9509,9510,177,,,,,,,,,,,,
328,23.6,9350,9567,9567,184,,,,,,,,,,,,
333,23.8,9410,9625,9624,187,,,,,,,,,,,,
338,23.7,9480,9684,9681,186,,,,,,,,,,,,
343,23.6,9550,9742,9738,180,,,,,,,,,,,,
348,23.4,9610,9800,9795,170,,,,,,,,,,,,
353,23.9,9680,9858,9852,154,,,,,,,,,,,,
358,23.3,9800,9976,9969,186,,,,,,,,,,,,
363,23.1,9970,10153,10145,241,,,,,,,,,,,,
368,23.5,10140,10330,10322,276,,,,,,,,,,,,
373,23.7,10320,10506,10498,297,,,,,,,,,,,,
378,23.5,10490,10682,10675,307,,,,,,,,,,,,
383,23.5,10660,10858,10851,308,,,,,,,,,,,,
388,23.3,10840,11034,11028,299,,,,,,,,,,,,
393,23.2,11010,11210,11205,279,,,,,,,,,,,,
398,23.0,11180,11386,11382,246,,,,,,,,,,,,
403,22.7,11360,11561,11559,192,,,,,,,,,,,,
408,22.7,11520,11722,11719,183,,,,,,,,,,,,
413,22.6,11690,11868,11863,229,,,,,,,,,,,,
418,22.7,11850,12014,12007,257,,,,,,,,,,,,
423,22.7,12020,12160,12152,272,,,,,,,,,,,,
428,22.6,12180,12306,12296,278,,,,,,,,,,,,
433,22.3,12340,12452,12440,275,,,,,,,,,,,,
438,22.6,12510,12598,12585,263,,,,,,,,,,,,
443,22.5,12670,12744,12729,240,,,,,,,,,,,,
448,22.7,12830,12889,12874,202,,,,,,,,,,,,
453,22.7,13000,13034,13019,138,,,,,,,,,,,,
458,22.6,13140,13174,13161,134,,,,,,,,,,,,
463,22.6,13250,13308,13300,196,,,,,,,,,,,,
468,22.6,13370,13442,13440,233,,,,,,,,,,,,
473,22.4,13490,13576,13579,257,,,,,,,,,,,,
