Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
2.0,4.367,27.1,170,1384,1383,297,,22,G. sacculifer,2230,30,0,1834,1731,1919,1834,1731,1919
3.0,4.375,27.2,250,1406,1405,290,,52,G. sacculifer,4010,50,0,4022,3865,4172,4022,3865,4172
8.0,4.344,27.1,660,1517,1517,250,,62,G. sacculifer,4220,30,0,4322,4217,4413,4322,4217,4413
13.0,4.419,27.3,1080,1628,1628,203,,90,G. sacculifer,6280,40,0,6734,6632,6849,6734,6632,6849
18.0,4.446,27.3,1490,1739,1738,141,,119,G. sacculifer,6910,60,0,7422,7303,7542,7422,7303,7542
23.0,4.415,27.3,1900,1902,1903,124,,207,G. sacculifer,9560,80,0,10414,10234,10561,10414,10234,10561
28.0,4.217,26.7,2260,2276,2274,263,,241,G. sacculifer,10050,60,0,11055,10797,11182,11055,10797,11182
33.0,4.523,27.5,2630,2645,2641,316,,307,G. sacculifer,10310,60,0,11297,11173,11625,11297,11173,11625
38.0,4.363,27.1,2990,3011,3007,328,,329,G. sacculifer,10830,60,0,12335,12075,12640,12306,12070,12555
43.0,4.423,27.3,3360,3376,3371,304,,452,G. sacculifer,11010,70,0,12655,12376,12809,12527,12348,12672
48.0,4.411,27.2,3730,3738,3733,231,,491,G. sacculifer,12000,70,0,13437,13288,13629,13436,13283,13644
50.5,4.297,27.0,3910,3916,3912,158,,523,G. sacculifer,12440,70,0,13893,13751,14044,13889,13728,14064
53.0,4.507,27.5,4050,4051,4050,98,,548,G. sacculifer,12780,50,0,14361,14101,14745,14414,14074,14917
55.5,4.643,27.8,4120,4127,4127,124,,543,G. sacculifer,13080,80,0,14946,14499,15261,14994,14528,15531
58.0,4.395,27.2,4200,4201,4202,124,,648,G. sacculifer,14560,110,0,16893,16410,17391,17228,16895,17602
60.5,4.568,27.6,4270,4273,4275,95,,665,G. sacculifer,17320,90,0,20050,19869,20268,20099,19606,20361
63.0,4.336,27.1,4400,4407,4407,136,,,,,,,,,,,,
65.5,4.387,27.2,4620,4629,4628,230,,,,,,,,,,,,
68.0,4.442,27.3,4830,4849,4847,284,,,,,,,,,,,,
70.5,4.535,27.6,5050,5067,5065,318,,,,,,,,,,,,
