Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
4,0.962,27.2,1310,1340,1351,382,,0,G. sacculifer,565,30,0,201,106,281,201,106,281
6,0.956,27.0,1860,1915,1927,412,,13,G. sacculifer,3930,35,0,3914,3816,4046,3914,3816,4046
8,0.955,26.9,2420,2490,2501,403,,23,G. sacculifer,6160,40,0,6595,6481,6707,6595,6481,6707
12,0.966,27.3,3520,3642,3647,227,,38,G. sacculifer,8430,40,0,9041,8944,9191,9041,8944,9191
14,0.965,27.2,4080,4196,4201,216,,58,G. sacculifer,10090,60,0,11111,10822,11217,11111,10822,11217
18,0.964,27.2,5200,5260,5269,350,,73,G. sacculifer,10940,70,0,12521,12264,12781,12450,12230,12623
20,0.972,27.4,5760,5793,5802,322,,88,G. sacculifer,12840,110,0,14498,14093,14961,14534,14077,15056
22,0.945,26.7,6320,6327,6332,215,,103,G. sacculifer,13550,70,0,15553,15209,15929,15975,15257,16531
24,0.962,27.1,6750,6759,6763,175,,113,G. sacculifer,14000,70,0,16179,15793,16604,16754,16501,16953
26,0.968,27.3,7060,7087,7094,271,,148,G. sacculifer,15780,110,0,18736,18571,18894,18630,18171,18867
28,0.957,27.0,7370,7416,7425,318,,173,G. sacculifer,20000,170,0,23371,22707,23873,23425,22673,23880
30,0.961,27.1,7670,7746,7755,336,,183,G. sacculifer,20580,150,0,24152,23767,24529,24096,23682,24485
32,0.952,26.8,7980,8075,8085,330,,193,G. sacculifer,22480,220,0,,,,26524,25896,27572
34,0.960,27.1,8290,8405,8414,299,,213,G. sacculifer,25130,260,0,,,,29592,28875,30277
36,0.955,26.9,8590,8736,8742,233,,233,G. sacculifer,27160,310,0,,,,31200,30794,31572
38,0.955,26.9,8900,9068,9067,61,,238,G. sacculifer,28280,430,0,,,,32144,31320,33164
40,0.949,26.8,9110,9261,9266,186,,268,G. sacculifer,30860,430,0,,,,35028,34236,36343
46,0.950,26.8,9740,9844,9855,295,,328,G. sacculifer,38600,1480,0,,,,42679,40214,45002
48,0.951,26.8,9950,10038,10050,302,,348,G. sacculifer,41000,820,0,,,,44395,43105,45573
51,0.942,26.6,10210,10282,10294,294,,373,G. sacculifer,44480,1250,0,,,,47354,45331,49785
52,0.947,26.7,10370,10428,10441,281,,,,,,,,,,,,
55,0.945,26.6,10630,10672,10684,239,,,,,,,,,,,,
56,0.938,26.5,10790,10818,10830,198,,,,,,,,,,,,
57,0.943,26.6,10900,10916,10927,158,,,,,,,,,,,,
60,0.946,26.7,11150,11163,11166,177,,,,,,,,,,,,
62,0.946,26.7,11350,11363,11354,234,,,,,,,,,,,,
64,0.942,26.6,11600,11613,11589,267,,,,,,,,,,,,
66,0.939,26.5,11800,11813,11777,273,,,,,,,,,,,,
68,0.938,26.5,12000,12013,11964,263,,,,,,,,,,,,
70,0.939,26.5,12200,12214,12151,235,,,,,,,,,,,,
