Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
3,0.630,17.4,1160,1672,1674,350,,13,Mixed planktics,2645,40,0,2331,2200,2460,2331,2200,2460
8,0.632,17.5,1710,2003,2004,251,,88,Mixed planktics,9650,80,0,10508,10284,10676,10508,10284,10676
13,0.639,17.7,2250,2330,2328,66,,152.5,Mixed planktics,12960,80,0,14722,14255,15063,14740,14223,15136
18,0.648,17.9,2790,2873,2865,316,,228.5,Mixed planktics,16490,80,0,19263,19059,19444,19213,18930,19431
23,0.654,18.1,3340,3417,3407,426,,332,Mixed planktics,21630,120,0,25649,25386,26000,25353,24973,25818
28,0.657,18.2,3880,3960,3949,500,,420.5,Mixed planktics,25470,220,0,,,,29920,29475,30346
33,0.665,18.4,4430,4503,4492,553,,,,,,,,,,,,
38,0.666,18.4,4970,5046,5035,589,,,,,,,,,,,,
43,0.673,18.6,5510,5589,5578,612,,,,,,,,,,,,
48,0.678,18.8,6060,6133,6121,623,,,,,,,,,,,,
53,0.680,18.9,6600,6676,6665,623,,,,,,,,,,,,
58,0.680,18.8,7150,7219,7209,612,,,,,,,,,,,,
63,0.683,19.0,7690,7762,7753,590,,,,,,,,,,,,
68,0.687,19.1,8230,8305,8297,554,,,,,,,,,,,,
73,0.686,19.0,8780,8848,8842,503,,,,,,,,,,,,
78,0.681,18.9,9320,9390,9387,430,,,,,,,,,,,,
83,0.682,18.9,9870,9933,9933,322,,,,,,,,,,,,
88,0.680,18.9,10410,10475,10482,101,,,,,,,,,,,,
93,0.681,18.9,10740,10801,10802,255,,,,,,,,,,,,
98,0.683,18.9,11070,11126,11126,334,,,,,,,,,,,,
103,0.682,18.9,11400,11450,11449,387,,,,,,,,,,,,
108,0.671,18.6,11730,11775,11774,424,,,,,,,,,,,,
113,0.665,18.4,12060,12099,12098,447,,,,,,,,,,,,
123,0.639,17.6,12680,12716,12715,463,,,,,,,,,,,,
128,0.649,18.0,13010,13040,13039,456,,,,,,,,,,,,
133,0.644,17.8,13340,13365,13364,440,,,,,,,,,,,,
138,0.642,17.7,13670,13689,13690,411,,,,,,,,,,,,
143,0.644,17.8,14000,14013,14015,368,,,,,,,,,,,,
148,0.624,17.2,14330,14338,14342,305,,,,,,,,,,,,
153,0.637,17.6,14660,14660,14668,213,,,,,,,,,,,,
158,0.622,17.2,14950,14964,14963,300,,,,,,,,,,,,
163,0.606,16.7,15240,15266,15258,364,,,,,,,,,,,,
168,0.602,16.6,15520,15568,15553,409,,,,,,,,,,,,
173,0.590,16.2,15810,15870,15849,441,,,,,,,,,,,,
178,0.554,15.2,16100,16172,16145,464,,,,,,,,,,,,
183,0.568,15.6,16390,16474,16442,477,,,,,,,,,,,,
188,0.568,15.6,16670,16776,16738,483,,,,,,,,,,,,
193,0.585,16.1,16960,17078,17035,481,,,,,,,,,,,,
194,0.570,15.6,17020,17138,17094,480,,,,,,,,,,,,
199,0.563,15.4,17310,17440,17391,469,,,,,,,,,,,,
204,0.576,15.8,17590,17742,17688,450,,,,,,,,,,,,
209,0.572,15.7,17880,18044,17985,422,,,,,,,,,,,,
214,0.573,15.7,18170,18346,18283,383,,,,,,,,,,,,
219,0.572,15.7,18460,18647,18581,328,,,,,,,,,,,,
224,0.557,15.2,18740,18949,18879,249,,,,,,,,,,,,
229,0.564,15.4,19030,19251,19179,124,,,,,,,,,,,,
234,0.544,14.9,19300,19563,19476,254,,,,,,,,,,,,
239,0.566,15.5,19560,19874,19774,338,,,,,,,,,,,,
244,0.573,15.7,19830,20185,20073,399,,,,,,,,,,,,
249,0.575,15.8,20100,20497,20373,445,,,,,,,,,,,,
250,0.573,15.7,20180,20590,20462,457,,,,,,,,,,,,
255,0.539,14.7,20440,20901,20762,490,,,,,,,,,,,,
260,0.539,14.7,20710,21213,21061,516,,,,,,,,,,,,
265,0.542,14.8,20980,21524,21361,536,,,,,,,,,,,,
270,0.534,14.6,21240,21835,21661,550,,,,,,,,,,,,
275,0.533,14.5,21510,22146,21961,558,,,,,,,,,,,,
280,0.522,14.2,21780,22458,22261,561,,,,,,,,,,,,
285,0.518,14.1,22040,22769,22561,560,,,,,,,,,,,,
290,0.521,14.2,22310,23080,22861,553,,,,,,,,,,,,
297,0.565,15.5,22680,23515,23282,535,,,,,,,,,,,,
302,0.564,15.4,22950,23827,23582,515,,,,,,,,,,,,
307,0.527,14.3,23220,24138,23883,489,,,,,,,,,,,,
317,0.541,14.8,23750,24760,24485,411,,,,,,,,,,,,
322,0.563,15.4,24020,25071,24786,355,,,,,,,,,,,,
327,0.569,15.6,24280,25382,25087,277,,,,,,,,,,,,
332,0.575,15.8,24550,25692,25392,146,,,,,,,,,,,,
337,0.565,15.5,24800,25931,25644,252,,,,,,,,,,,,
342,0.562,15.4,25060,26170,25898,317,,,,,,,,,,,,
347,0.549,15.0,25310,26409,26152,364,,,,,,,,,,,,
352,0.535,14.6,25560,26647,26407,400,,,,,,,,,,,,
357,0.538,14.7,25820,26886,26662,428,,,,,,,,,,,,
362,0.533,14.5,26070,27124,26918,449,,,,,,,,,,,,
367,0.518,14.1,26320,27363,27173,464,,,,,,,,,,,,
372,0.517,14.1,26570,27601,27429,473,,,,,,,,,,,,
377,0.526,14.3,26830,27840,27684,477,,,,,,,,,,,,
382,0.524,14.3,27080,28078,27940,476,,,,,,,,,,,,
387,0.524,14.3,27330,28316,28196,470,,,,,,,,,,,,
392,0.519,14.1,27590,28555,28452,458,,,,,,,,,,,,
397,0.498,13.5,27840,28793,28708,441,,,,,,,,,,,,
402,0.541,14.8,28090,29031,28964,417,,,,,,,,,,,,
407,0.541,14.8,28350,29269,29221,385,,,,,,,,,,,,
412,0.558,15.3,28600,29507,29478,343,,,,,,,,,,,,
421,0.543,14.8,29030,29918,29917,240,,,,,,,,,,,,
426,0.542,14.8,29320,NaN,NaN,NaN,,,,,,,,,,,,
431,0.547,14.9,29610,NaN,NaN,NaN,,,,,,,,,,,,
436,0.553,15.1,29900,NaN,NaN,NaN,,,,,,,,,,,,
445,0.568,15.6,30420,NaN,NaN,NaN,,,,,,,,,,,,
450,0.550,15.0,30710,NaN,NaN,NaN,,,,,,,,,,,,
455,0.543,14.8,31000,NaN,NaN,NaN,,,,,,,,,,,,
460,0.545,14.9,31290,NaN,NaN,NaN,,,,,,,,,,,,
463,0.559,15.3,31490,NaN,NaN,NaN,,,,,,,,,,,,
468,0.559,15.3,31780,NaN,NaN,NaN,,,,,,,,,,,,
473,0.551,15.1,32070,NaN,NaN,NaN,,,,,,,,,,,,
478,0.549,15.0,32360,NaN,NaN,NaN,,,,,,,,,,,,
499,0.565,15.5,33580,NaN,NaN,NaN,,,,,,,,,,,,
504,0.553,15.1,33870,NaN,NaN,NaN,,,,,,,,,,,,
509,0.556,15.2,34160,NaN,NaN,NaN,,,,,,,,,,,,
514,0.551,15.1,34450,NaN,NaN,NaN,,,,,,,,,,,,
519,0.556,15.2,35060,NaN,NaN,NaN,,,,,,,,,,,,
524,0.565,15.5,35680,NaN,NaN,NaN,,,,,,,,,,,,
529,0.566,15.5,36290,NaN,NaN,NaN,,,,,,,,,,,,
534,0.554,15.2,36900,NaN,NaN,NaN,,,,,,,,,,,,
539,0.554,15.1,37520,NaN,NaN,NaN,,,,,,,,,,,,
544,0.560,15.3,38130,NaN,NaN,NaN,,,,,,,,,,,,
549,0.542,14.8,38740,NaN,NaN,NaN,,,,,,,,,,,,
554,0.559,15.3,39360,NaN,NaN,NaN,,,,,,,,,,,,
559,0.559,15.3,39970,NaN,NaN,NaN,,,,,,,,,,,,
564,0.561,15.4,40530,NaN,NaN,NaN,,,,,,,,,,,,
569,0.542,14.8,41080,NaN,NaN,NaN,,,,,,,,,,,,
