Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
60,3.650,25.2,9720,10084,10084,72,,1,G. ruber,1740,30,160,1142,1053,1230,1142,1053,1230,
64,3.640,25.1,10630,11484,11491,126,,16,G. ruber,3170,60,160,2788,2682,2934,2788,2682,2934,
68,3.780,25.5,11540,11606,11606,104,,28,G. ruber,4450,40,160,4413,4276,4525,4413,4276,4525,
72,3.760,25.5,11980,12015,11978,251,,28,G. ruber,4480,55,160,4452,4278,4616,4452,4278,4616,
76,3.830,25.7,12410,12428,12353,242,,40,G. ruber,6000,35,160,6259,6177,6338,6259,6177,6338,
80,3.690,25.2,12850,12846,12731,25,,56,G. ruber,8510,50,160,8930,8740,9077,8930,8740,9077,
84,3.710,25.3,13170,13166,13106,184,,60,G. ruber,9450,50,160,10138,9940,10228,10138,9940,10228,
88,3.790,25.5,13500,13492,13487,73,,64,G. ruber,10750,90,160,11841,11370,12192,11840,11372,12191,
92,3.540,24.8,13760,13756,13701,74,,68,G. ruber,10600,45,160,11526,11277,11744,11526,11277,11744,
96,3.250,23.9,14300,14270,14323,275,,80,G. ruber,11400,50,160,12845,12796,12896,12707,12595,12878,
100,3.350,24.2,14830,14787,14947,284,,88,G. ruber,12200,50,160,13483,13346,13639,13477,13329,13659,
104,3.010,23.0,15370,15308,15573,128,,92,G. ruber,12450,60,160,13751,13604,13902,13740,13487,13899,
108,3.110,23.4,15430,15423,15758,157,,104,G. ruber,13550,60,160,15333,15058,15666,15586,15114,16285,
112,3.170,23.6,15500,15547,15951,148,,112,G. ruber,13650,60,160,15468,15161,15821,15834,15212,16432,
116,3.430,24.5,15730,15758,16149,233,,141,G. ruber,14850,120,160,17101,16553,17641,17375,16990,17795,
120,3.380,24.3,15970,15971,16348,282,,148,G. ruber,12350,65,160,13646,13455,13780,13632,13439,13795,excluded
124,3.210,23.7,16210,16184,16548,312,,148,C. pachyderma,16050,65,160,18803,18682,18911,18698,18565,18854,
128,3.410,24.4,16450,16397,16748,327,,200,G. ruber,19300,95,160,22296,22119,22471,22341,22049,22863,
132,3.530,24.8,16680,16611,16948,328,,,,,,,,,,,,,
136,3.050,23.1,16920,16825,17148,315,,,,,,,,,,,,,
140,3.060,23.2,17160,17039,17350,285,,,,,,,,,,,,,
144,3.910,25.9,17980,17817,17959,341,,,,,,,,,,,,,
148,3.440,24.5,18800,18795,18710,55,,,,,,,,,,,,,
152,3.230,23.8,19070,19060,18995,234,,,,,,,,,,,,,
156,3.160,23.6,19340,19328,19281,311,,,,,,,,,,,,,
160,3.380,24.3,19610,19596,19568,362,,,,,,,,,,,,,
164,3.510,24.7,19880,19865,19855,395,,,,,,,,,,,,,
168,3.110,23.3,20150,20133,20142,416,,,,,,,,,,,,,
172,2.920,22.7,20410,20402,20429,426,,,,,,,,,,,,,
176,3.660,25.2,20680,20671,20717,426,,,,,,,,,,,,,
180,3.360,24.2,20950,20941,21005,417,,,,,,,,,,,,,
188,3.170,23.6,21490,21480,21581,364,,,,,,,,,,,,,
196,3.100,23.3,22030,22020,22158,240,,,,,,,,,,,,,
200,3.130,23.4,22300,22293,22448,89,,,,,,,,,,,,,
208,3.100,23.3,22840,23217,23371,424,,,,,,,,,,,,,
