Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
5,0.703,20.0,1458,2282,2279,132,,8,G.ruber,2660,assumed 1%,0,2345,2284,2453,2345,2284,2453
10,0.709,20.2,2722,2749,2742,243,,18,G.ruber,4195,assumed 1%,0,4288,4153,4403,4288,4153,4403
15,0.691,19.6,3697,3702,3696,280,,28,G.ruber,4875,assumed 1%,0,5180,5015,5309,5180,5015,5309
20,0.707,20.1,4474,4451,4448,172,,38,G.ruber,5910,assumed 1%,0,6329,6202,6454,6329,6202,6454
25,0.699,19.9,4953,4892,4890,194,,91,G.ruber,7755,assumed 1%,0,8224,8033,8373,8224,8033,8373
30,0.723,20.6,5452,5391,5390,197,,190,G.ruber,8445,assumed 1%,0,9066,8796,9293,9066,8796,9293
35,0.719,20.5,5983,5975,5973,223,,288,G.ruber,8755,assumed 1%,0,9420,9191,9611,9420,9191,9611
40,0.728,20.8,6372,6396,6398,131,,358,G.ruber,9860,assumed 1%,0,10789,10553,11090,10789,10553,11090
45,0.723,20.6,6551,6572,6572,211,,403,-,11080,assumed 1%,0,12696,12349,12872,12582,12297,12851
50,0.713,20.3,6729,6749,6747,257,,458,-,13980,assumed 1%,0,16144,15645,16672,16703,16082,17040
55,0.722,20.6,6908,6925,6923,284,,529,G.ruber,15800,assumed 1%,0,18739,18195,18989,18638,18068,18910
60,0.721,20.6,7086,7102,7099,299,,564,G.ruber,18370,assumed 1%,0,21288,20717,21959,21450,20580,22109
65,0.727,20.7,7265,7279,7275,304,,,,,,,,,,,,
70,0.718,20.5,7443,7456,7452,298,,,,,,,,,,,,
75,0.726,20.7,7622,7633,7629,282,,,,,,,,,,,,
80,0.709,20.2,7800,7811,7806,253,,,,,,,,,,,,
85,0.707,20.1,7979,7988,7985,206,,,,,,,,,,,,
95,0.708,20.1,8223,8236,8233,117,,,,,,,,,,,,
100,0.720,20.5,8260,8278,8275,142,,,,,,,,,,,,
105,0.733,20.9,8298,8320,8316,161,,,,,,,,,,,,
110,0.735,21.0,8335,8363,8358,176,,,,,,,,,,,,
115,0.720,20.5,8373,8405,8400,188,,,,,,,,,,,,
120,0.723,20.6,8410,8447,8442,197,,,,,,,,,,,,
125,0.733,20.9,8448,8490,8484,205,,,,,,,,,,,,
130,0.722,20.6,8485,8532,8526,210,,,,,,,,,,,,
135,0.736,21.0,8523,8575,8568,214,,,,,,,,,,,,
140,0.725,20.7,8560,8617,8611,216,,,,,,,,,,,,
145,0.738,21.0,8598,8659,8653,217,,,,,,,,,,,,
150,0.734,20.9,8635,8702,8696,216,,,,,,,,,,,,
155,0.727,20.7,8673,8744,8738,213,,,,,,,,,,,,
160,0.710,20.2,8710,8787,8781,208,,,,,,,,,,,,
165,0.716,20.4,8748,8829,8824,202,,,,,,,,,,,,
170,0.734,20.9,8785,8872,8866,193,,,,,,,,,,,,
175,0.733,20.9,8823,8914,8909,182,,,,,,,,,,,,
180,0.731,20.9,8860,8957,8952,168,,,,,,,,,,,,
185,0.731,20.8,8898,8999,8996,150,,,,,,,,,,,,
190,0.729,20.8,8935,9042,9041,124,,,,,,,,,,,,
195,0.740,21.1,8950,9059,9058,135,,,,,,,,,,,,
200,0.724,20.6,8966,9077,9076,141,,,,,,,,,,,,
205,0.724,20.6,8981,9095,9094,147,,,,,,,,,,,,
210,0.744,21.2,8997,9112,9112,151,,,,,,,,,,,,
215,0.729,20.8,9012,9130,9131,154,,,,,,,,,,,,
225,0.729,20.8,9043,9166,9167,158,,,,,,,,,,,,
230,0.730,20.8,9059,9184,9186,158,,,,,,,,,,,,
235,0.745,21.3,9074,9203,9204,158,,,,,,,,,,,,
240,0.737,21.0,9090,9221,9222,157,,,,,,,,,,,,
245,0.744,21.3,9105,9239,9241,155,,,,,,,,,,,,
250,0.756,21.6,9121,9257,9259,153,,,,,,,,,,,,
255,0.749,21.4,9136,9275,9278,150,,,,,,,,,,,,
260,0.740,21.1,9151,9293,9297,145,,,,,,,,,,,,
265,0.751,21.5,9167,9312,9315,140,,,,,,,,,,,,
270,0.747,21.3,9182,9330,9334,134,,,,,,,,,,,,
275,0.753,21.5,9198,9348,9353,127,,,,,,,,,,,,
280,0.729,20.8,9213,9367,9372,118,,,,,,,,,,,,
285,0.727,20.7,9229,9386,9391,107,,,,,,,,,,,,
290,0.742,21.2,9277,9437,9441,129,,,,,,,,,,,,
295,0.730,20.8,9375,9538,9539,179,,,,,,,,,,,,
300,0.728,20.8,9473,9640,9639,212,,,,,,,,,,,,
305,0.728,20.8,9571,9741,9739,236,,,,,,,,,,,,
310,0.728,20.8,9669,9843,9840,253,,,,,,,,,,,,
315,0.721,20.5,9767,9944,9940,264,,,,,,,,,,,,
320,0.743,21.2,9865,10046,10041,270,,,,,,,,,,,,
325,0.718,20.4,9963,10148,10142,271,,,,,,,,,,,,
330,0.691,19.6,10061,10250,10243,268,,,,,,,,,,,,
335,0.731,20.8,10159,10351,10345,260,,,,,,,,,,,,
340,0.741,21.2,10257,10453,10446,248,,,,,,,,,,,,
345,0.745,21.3,10355,10555,10548,229,,,,,,,,,,,,
350,0.770,22.0,10453,10657,10650,203,,,,,,,,,,,,
355,0.761,21.8,10551,10760,10753,165,,,,,,,,,,,,
360,0.745,21.3,10700,10900,10892,175,,,,,,,,,,,,
365,0.746,21.3,10924,11098,11084,240,,,,,,,,,,,,
370,0.735,21.0,11148,11296,11278,277,,,,,,,,,,,,
375,0.747,21.3,11372,11494,11472,299,,,,,,,,,,,,
380,0.717,20.4,11596,11693,11667,307,,,,,,,,,,,,
385,0.678,19.2,11820,11891,11863,302,,,,,,,,,,,,
390,0.671,19.0,12044,12090,12059,285,,,,,,,,,,,,
395,0.611,17.2,12268,12289,12255,251,,,,,,,,,,,,
400,0.637,18.0,12492,12488,12453,193,,,,,,,,,,,,
405,0.538,15.0,12754,12736,12714,203,,,,,,,,,,,,
410,0.676,19.2,13074,13059,13073,302,,,,,,,,,,,,
415,0.675,19.2,13393,13382,13434,361,,,,,,,,,,,,
420,0.659,18.7,13713,13706,13795,400,,,,,,,,,,,,
425,0.663,18.8,14033,14030,14157,424,,,,,,,,,,,,
430,0.658,18.6,14353,14354,14520,435,,,,,,,,,,,,
435,0.646,18.3,14672,14678,14883,435,,,,,,,,,,,,
440,0.672,19.1,14992,15003,15246,424,,,,,,,,,,,,
445,0.677,19.2,15312,15327,15610,400,,,,,,,,,,,,
450,0.669,19.0,15631,15652,15975,363,,,,,,,,,,,,
455,0.663,18.8,15951,15978,16342,307,,,,,,,,,,,,
460,0.531,14.8,16203,16241,16617,276,,,,,,,,,,,,
470,0.587,16.5,16505,16579,16885,331,,,,,,,,,,,,
475,0.540,15.0,16656,16748,17019,349,,,,,,,,,,,,
480,0.547,15.3,16807,16918,17155,361,,,,,,,,,,,,
485,0.534,14.9,16958,17087,17290,369,,,,,,,,,,,,
495,0.544,15.2,17259,17426,17562,370,,,,,,,,,,,,
500,0.532,14.8,17410,17596,17698,364,,,,,,,,,,,,
505,0.526,14.6,17561,17765,17834,353,,,,,,,,,,,,
515,0.514,14.3,17863,18105,18107,314,,,,,,,,,,,,
520,0.549,15.3,18013,18275,18245,283,,,,,,,,,,,,
525,0.589,16.5,18164,18445,18383,242,,,,,,,,,,,,
530,0.591,16.6,18370,18659,18573,225,,,,,,,,,,,,
535,0.618,17.4,18792,19051,18975,320,,,,,,,,,,,,
540,0.582,16.3,19215,19443,19379,372,,,,,,,,,,,,
545,0.588,16.5,19637,19835,19783,399,,,,,,,,,,,,
550,0.591,16.6,20060,20228,20189,405,,,,,,,,,,,,
