Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
5,3.857,25.8,1239,1245,1244,31,,5,G. ruber,1700,25,0,1260,1183,1307,1260,1183,1307
10,3.439,24.5,1427,1459,1439,171,,25,G. ruber,2430,30,0,2068,1964,2160,2068,1964,2160
15,3.675,25.2,1615,1665,1642,197,,60,G. ruber,3310,30,0,3165,3045,3274,3165,3045,3274
20,3.980,26.1,1803,1868,1847,173,,110,G. ruber,5755,30,0,6187,6092,6268,6187,6092,6268
25,3.758,25.5,1991,2064,2061,48,,160,G. ruber,7370,40,0,7839,7732,7930,7839,7732,7930
30,3.390,24.3,2144,2229,2209,163,,185,G. ruber,8810,40,0,9477,9405,9536,9477,9405,9536
35,3.734,25.4,2297,2388,2363,207,,340,G. ruber,17150,80,0,19903,19584,20132,19903,19570,20203
40,3.819,25.6,2297,2546,2519,226,,585,Solitary Cup Coral,23050,140,0,,,,27346,26807,27897
45,4.087,26.4,2604,2703,2676,226,,880,G. ruber,31850,350,0,,,,35843,35107,36584
50,4.030,26.2,2757,2858,2835,208,,,,,,,,,,,,
55,3.863,25.8,2910,3012,2994,165,,,,,,,,,,,,
60,3.815,25.6,3063,3161,3160,57,,,,,,,,,,,,
65,4.434,27.3,3370,3474,3449,229,,,,,,,,,,,,
70,4.387,27.2,3677,3780,3747,302,,,,,,,,,,,,
75,4.149,26.6,3983,4084,4047,344,,,,,,,,,,,,
80,3.846,25.7,4290,4387,4348,367,,,,,,,,,,,,
85,4.129,26.5,4597,4690,4649,374,,,,,,,,,,,,
90,4.268,26.9,4904,4991,4952,366,,,,,,,,,,,,
95,4.095,26.4,5211,5292,5255,343,,,,,,,,,,,,
100,4.182,26.7,5517,5591,5560,300,,,,,,,,,,,,
105,3.837,25.7,5824,5889,5866,226,,,,,,,,,,,,
110,4.427,27.3,6131,6179,6180,44,,,,,,,,,,,,
115,4.272,26.9,6298,6353,6337,169,,,,,,,,,,,,
120,4.036,26.3,6465,6520,6499,222,,,,,,,,,,,,
