Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0,0.952,26.8,1200,NaN,NaN,NaN,,0,G. ruber,1670,100,0,1218,981,1413,1218,981,1413
4,0.954,26.9,1500,1939,1948,581,,50,G. ruber,3700,120,0,3624,3340,3926,3624,3340,3926
10,0.954,26.9,2100,2158,2167,544,,100,G. ruber,5780,170,0,6184,5814,6584,6184,5814,6584
32,0.965,27.2,3800,2961,2970,380,,160,G. ruber,9710,240,0,10616,10040,11204,10616,10040,11204
40,0.969,27.4,4300,3254,3262,298,,210,G. ruber,7330,130,0,7795,7549,8049,7795,7549,8049
48,0.963,27.2,4700,3550,3557,183,,250,G. ruber,7420,250,0,7892,7430,8370,7892,7430,8370
59,0.961,27.1,5300,4100,4082,293,,380,G. ruber,9450,190,0,10290,9703,10721,10290,9703,10721
68,0.961,27.1,5700,4565,4539,350,,400,G. ruber,9420,130,0,10274,9918,10547,10274,9918,10547
78,0.967,27.3,6100,5082,5049,362,,440,G. ruber,10240,230,0,11321,10603,12057,11320,10609,12049
87,0.970,27.4,6400,5546,5511,332,,460,G. ruber,10160,140,0,11153,10694,11644,11153,10694,11644
99,0.974,27.5,6700,6164,6134,206,,480,G. ruber,10450,150,0,11602,11170,12159,11601,11172,12108
112,0.975,27.5,7100,6385,6354,235,,500,G. ruber,12100,230,0,13558,13125,14015,13561,13114,14028
118,0.951,26.8,7200,6470,6438,252,,520,G. ruber,12120,210,0,13573,13190,14000,13575,13169,13996
130,0.965,27.2,7400,6640,6609,275,,540,G. ruber,11900,210,0,13372,12975,13765,13366,12919,13798
190,0.944,26.6,7900,7485,7471,233,,580,G. ruber,13830,230,0,15935,15250,16630,16357,15276,16938
199,0.941,26.5,8000,7611,7602,197,,600,G. ruber,14820,180,0,17335,16680,17975,17528,17024,17985
210,0.941,26.5,8000,7763,7768,122,,620,G. ruber,16220,390,0,19066,18139,19851,19024,18056,19859
