Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
22.5,0.387,10.2,1951,2032,2036,107,,22,G. bulloides,2585,30,240,1966,1845,2107,1966,1845,2107
24.5,0.404,10.7,2180,2258,2267,210,,36,G. bulloides,3895,60,240,3562,3378,3756,3562,3378,3756
26.5,0.402,10.7,2410,2485,2495,254,,98,G. bulloides,7560,40,240,7784,7664,7913,7784,7664,7913
28.5,0.422,11.3,2639,2712,2723,270,,168,G. bulloides,10550,50,240,11302,11172,11629,11302,11172,11629
30.5,0.408,10.8,2869,2939,2950,266,,192,G. bulloides,10650,55,240,11495,11227,11833,11495,11227,11833
32.5,0.413,11.0,3098,3166,3176,240,,202,G. bulloides,11240,50,240,12645,12377,12801,12516,12353,12657
36.5,0.413,11.0,3557,3598,3602,121,,230,G. bulloides,12665,60,240,13880,13738,14036,13876,13710,14056
40.5,0.408,10.9,3828,3870,3880,240,,252,G. bulloides,13155,60,240,14632,14221,14990,14664,14194,15085
42.5,0.406,10.8,3964,4007,4017,278,,266,G. bulloides,14730,70,240,16792,16346,17187,17132,16872,17497
44.5,0.402,10.7,4100,4143,4155,309,,301.5,G. bulloides & N. pachyderma,14040,80,240,15910,15493,16355,16531,15691,16876
46.5,0.408,10.9,4236,4279,4292,334,,391,G. bulloides & N. pachyderma,16380,190,240,18980,18701,19354,18932,18624,19384
48.5,0.409,10.9,4371,4415,4429,356,,446,G. bulloides & N. pachyderma,16670,100,240,19204,18993,19432,19162,18897,19421
50.5,0.398,10.6,4507,4552,4566,374,,524.5,G. bulloides & N. pachyderma,26610,220,240,,,,30734,30344,31085
52.5,0.406,10.8,4643,4688,4702,390,,572.5,G. bulloides & N. pachyderma,29650,310,240,,,,33659,32799,34570
54.5,0.405,10.8,4778,4824,4839,403,,632.5,G. bulloides & N. pachyderma,32300,410,240,,,,35995,35090,36829
56.5,0.406,10.8,4914,4960,4976,414,,,,,,,,,,,,
58.5,0.397,10.5,5050,5097,5112,423,,,,,,,,,,,,
60.5,0.407,10.8,5186,5233,5249,429,,,,,,,,,,,,
62.5,0.393,10.4,5321,5369,5385,434,,,,,,,,,,,,
64.5,0.401,10.6,5457,5505,5521,437,,,,,,,,,,,,
66.5,0.384,10.2,5593,5642,5658,439,,,,,,,,,,,,
68.5,0.401,10.7,5728,5778,5794,438,,,,,,,,,,,,
70.5,0.404,10.7,5864,5914,5930,436,,,,,,,,,,,,
72.5,0.403,10.7,6000,6051,6066,432,,,,,,,,,,,,
74.5,0.394,10.5,6135,6187,6202,426,,,,,,,,,,,,
76.5,0.391,10.4,6271,6323,6338,418,,,,,,,,,,,,
78.5,0.399,10.6,6407,6459,6474,409,,,,,,,,,,,,
80.5,0.401,10.7,6543,6596,6610,397,,,,,,,,,,,,
82.5,0.400,10.6,6678,6732,6746,382,,,,,,,,,,,,
84.5,0.406,10.8,6814,6868,6881,365,,,,,,,,,,,,
86.5,0.412,11.0,6950,7005,7017,345,,,,,,,,,,,,
88.5,0.412,11.0,7085,7141,7152,321,,,,,,,,,,,,
90.5,0.410,10.9,7221,7277,7288,292,,,,,,,,,,,,
92.5,0.415,11.1,7357,7413,7423,257,,,,,,,,,,,,
94.5,0.406,10.8,7493,7550,7558,212,,,,,,,,,,,,
96.5,0.406,10.8,7628,7686,7692,148,,,,,,,,,,,,
98.5,0.409,10.9,7764,7814,7817,89,,,,,,,,,,,,
100.5,0.412,11.0,7844,7916,7922,163,,,,,,,,,,,,
102.5,0.430,11.5,7924,8018,8026,208,,,,,,,,,,,,
106.5,0.427,11.4,8084,8222,8233,270,,,,,,,,,,,,
110.5,0.433,11.6,8244,8427,8440,314,,,,,,,,,,,,
114.5,0.458,12.3,8404,8631,8646,347,,,,,,,,,,,,
118.5,0.477,12.9,8564,8836,8851,371,,,,,,,,,,,,
122.5,0.475,12.8,8724,9040,9057,388,,,,,,,,,,,,
126.5,0.476,12.9,8884,9245,9262,399,,,,,,,,,,,,
130.5,0.490,13.3,9044,9449,9467,405,,,,,,,,,,,,
134.5,0.487,13.2,9204,9654,9672,406,,,,,,,,,,,,
138.5,0.488,13.2,9364,9858,9877,402,,,,,,,,,,,,
142.5,0.495,13.4,9524,10063,10081,393,,,,,,,,,,,,
148.5,0.491,13.3,9764,10370,10388,368,,,,,,,,,,,,
152.5,0.486,13.1,9924,10574,10592,343,,,,,,,,,,,,
156.5,0.482,13.0,10084,10779,10795,310,,,,,,,,,,,,
160.5,0.487,13.2,10244,10984,10998,265,,,,,,,,,,,,
164.5,0.475,12.8,10404,11188,11201,200,,,,,,,,,,,,
168.5,0.485,13.1,10564,11371,11379,105,,,,,,,,,,,,
174.5,0.506,13.7,10804,11422,11433,123,,,,,,,,,,,,
176.5,0.512,13.9,10884,11439,11450,127,,,,,,,,,,,,
180.5,0.496,13.4,11044,11474,11485,130,,,,,,,,,,,,
182.5,0.485,13.1,11174,11491,11502,130,,,,,,,,,,,,
184.5,0.503,13.7,11304,11508,11519,130,,,,,,,,,,,,
186.5,0.534,14.6,11434,11526,11536,129,,,,,,,,,,,,
188.5,0.533,14.5,11563,11544,11552,127,,,,,,,,,,,,
190.5,0.511,13.9,11693,11561,11569,125,,,,,,,,,,,,
192.5,0.498,13.5,11823,11626,11628,146,,,,,,,,,,,,
194.5,0.499,13.5,11953,11828,11817,202,,,,,,,,,,,,
196.5,0.481,13.0,12083,12030,12003,222,,,,,,,,,,,,
198.5,0.494,13.4,12212,12232,12188,214,,,,,,,,,,,,
200.5,0.479,13.0,12342,12434,12371,173,,,,,,,,,,,,
202.5,0.464,12.5,12472,12608,12531,119,,,,,,,,,,,,
204.5,0.458,12.3,12577,12701,12633,165,,,,,,,,,,,,
206.5,0.459,12.4,12682,12794,12733,196,,,,,,,,,,,,
208.5,0.450,12.1,12787,12888,12832,218,,,,,,,,,,,,
210.5,0.455,12.2,12892,12981,12931,233,,,,,,,,,,,,
214.5,0.408,10.9,13102,13167,13129,249,,,,,,,,,,,,
218.5,0.422,11.3,13312,13353,13325,246,,,,,,,,,,,,
222.5,0.405,10.8,13522,13539,13521,224,,,,,,,,,,,,
