Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,Notes:
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
111.5,0.629,17.4,3353,3321,3323,626,,19.5,forams,1032,60,0,604,509,692,604,509,692,
113.5,0.612,16.9,3409,3375,3377,618,,35.5,G. inflata,1139,60,0,694,565,820,694,565,820,
115.5,0.608,16.7,3466,3429,3431,610,,40.5,G. inflata,1748,56,0,1299,1173,1409,1299,1173,1409,
117.5,0.603,16.6,3523,3483,3485,602,,54.5,Taupo tephra,1800,30,N/A,1653,1548,1770,1653,1548,1770,calibrated with SHCal04
119.5,0.610,16.8,3580,3537,3540,593,,58.5,G. inflata,2203,56,0,1801,1653,1945,1801,1653,1945,
121.5,0.597,16.4,3636,3591,3594,585,,106.5,Waimihia tephra,3280,20,N/A,3436,3375,3554,3436,3375,3554,calibrated with SHCal04
123.5,0.594,16.3,3693,3645,3648,577,,110.5,G. inflata,3241,56,0,3065,2892,3233,3065,2892,3233,
125.5,0.616,17.0,3750,3699,3702,568,,190.5,Whakatane tephra,4830,20,N/A,5519,5334,5590,5519,5334,5590,calibrated with SHCal04
127.5,0.606,16.7,3807,3753,3756,559,,196.5,G. inflata,5379,57,0,5751,5616,5884,5751,5616,5884,
131.5,0.596,16.4,3920,3862,3864,541,,270.5,Tuhua tephra,6130,30,N/A,6933,6796,7151,6933,6796,7151,calibrated with SHCal04
154.5,0.606,16.7,4573,4484,4487,423,,310.5,G. inflata,8286,60,0,8836,8630,8994,8836,8630,8994,
155.5,0.623,17.2,4601,4511,4514,418,,342.5,Rotoma tephra,8530,10,N/A,9498,9464,9531,9498,9464,9531,calibrated with SHCal04
159.5,0.640,17.7,4715,4620,4622,393,,408.5,Poronui tephra,9810,50,N/A,11189,10879,11262,11189,10879,11262,calibrated with SHCal04
163.5,0.632,17.4,4828,4728,4730,367,,420.5,G. inflata,10818,70,0,12311,12036,12643,12282,12036,12554,
167.5,0.627,17.3,4942,4836,4838,340,,480.5,G. inflata,12265,96,0,13718,13461,13925,13703,13445,13914,
171.5,0.629,17.4,5055,4945,4947,309,,510.5,Waiohau tephra,11850,60,N/A,13718,13500,13853,13702,13475,13846,calibrated with IntCal
175.5,0.632,17.4,5169,5054,5055,276,,514.5,forams,12664,60,0,14127,13940,14469,14138,13897,14836,
179.5,0.631,17.4,5282,5162,5163,238,,514.5,forams,13448,65,0,15410,15113,15764,15741,15175,16385,
183.5,0.627,17.3,5396,5271,5271,192,,670.5,Rerewhakaaitu tephra,14700,110,N/A,17799,17152,18469,17886,17508,18493,calibrated with IntCal
187.5,0.628,17.3,5509,5380,5380,133,,748.5,forams,17550,110,0,20269,19981,20539,20355,19963,20992,
191.5,0.630,17.4,5623,5510,5510,100,,748.5,forams,18060,150,0,20841,20436,21317,21027,20496,21452,
195.5,0.630,17.4,5736,5703,5700,105,,872.5,forams,19920,100,0,23253,22759,23681,23325,22677,23694,
199.5,0.633,17.5,5808,5800,5796,117,,983.5,Kawakawa tephra,22590,230,N/A,,,,27289,26348,27997,calibrated with IntCal
205.5,0.636,17.6,5907,5901,5895,169,,984.5,forams,22450,130,0,,,,26473,26013,26938,
209.5,0.636,17.5,5973,5967,5961,192,,984.5,forams,24200,140,0,,,,28567,28086,29143,
213.5,0.639,17.6,6039,6033,6027,210,,1041.5,forams,24050,130,0,,,,28377,27972,28734,
217.5,0.641,17.7,6104,6099,6093,223,,1126.5,forams,26250,150,0,,,,30654,30333,30982,
221.5,0.614,16.9,6170,6166,6159,233,,1154.5,forams,28250,170,0,,,,31943,31475,32632,
223.5,0.592,16.3,6203,6199,6192,237,,1234.5,forams,31090,250,0,,,,35145,34680,36241,
225.5,0.639,17.6,6236,6232,6225,240,,1309.5,forams,33590,550,0,,,,37860,36595,39019,
229.5,0.639,17.6,6302,6298,6292,244,,1353.5,forams,31890,350,0,,,,35862,35119,36606,
233.5,0.644,17.8,6368,6364,6358,245,,1439.5,forams,38710,410,0,,,,42715,42073,43355,
237.5,0.641,17.7,6434,6430,6424,244,,,,,,,,,,,,,
241.5,0.644,17.8,6500,6495,6491,240,,,,,,,,,,,,,
245.5,0.646,17.9,6566,6561,6557,234,,,,,,,,,,,,,
249.5,0.653,18.1,6632,6627,6624,224,,,,,,,,,,,,,
253.5,0.638,17.6,6698,6693,6690,212,,,,,,,,,,,,,
257.5,0.651,18.0,6764,6758,6757,195,,,,,,,,,,,,,
261.5,0.651,18.0,6830,6824,6824,173,,,,,,,,,,,,,
265.5,0.644,17.8,6896,6889,6891,144,,,,,,,,,,,,,
269.5,0.650,18.0,6962,6954,6958,101,,,,,,,,,,,,,
271.5,0.639,17.6,7041,7017,7020,123,,,,,,,,,,,,,
273.5,0.643,17.8,7135,7111,7112,173,,,,,,,,,,,,,
275.5,0.638,17.6,7229,7204,7203,208,,,,,,,,,,,,,
277.5,0.643,17.8,7323,7296,7295,234,,,,,,,,,,,,,
279.5,0.649,17.9,7417,7389,7387,254,,,,,,,,,,,,,
281.5,0.641,17.7,7511,7481,7479,270,,,,,,,,,,,,,
283.5,0.630,17.4,7605,7574,7571,282,,,,,,,,,,,,,
285.5,0.632,17.4,7699,7666,7663,291,,,,,,,,,,,,,
287.5,0.653,18.1,7793,7758,7755,297,,,,,,,,,,,,,
289.5,0.639,17.7,7887,7851,7847,300,,,,,,,,,,,,,
291.5,0.635,17.5,7981,7943,7939,300,,,,,,,,,,,,,
293.5,0.649,17.9,8075,8035,8031,298,,,,,,,,,,,,,
295.5,0.644,17.8,8169,8127,8124,293,,,,,,,,,,,,,
297.5,0.640,17.7,8263,8219,8216,284,,,,,,,,,,,,,
299.5,0.640,17.7,8357,8310,8308,273,,,,,,,,,,,,,
301.5,0.653,18.1,8451,8402,8401,258,,,,,,,,,,,,,
303.5,0.653,18.1,8545,8494,8493,238,,,,,,,,,,,,,
307.5,0.653,18.1,8733,8677,8679,179,,,,,,,,,,,,,
309.5,0.656,18.1,8827,8768,8772,129,,,,,,,,,,,,,
311.5,0.652,18.0,8881,8834,8839,109,,,,,,,,,,,,,
313.5,0.654,18.1,8923,8878,8881,135,,,,,,,,,,,,,
315.5,0.655,18.1,8965,8921,8923,152,,,,,,,,,,,,,
317.5,0.661,18.3,9007,8964,8965,165,,,,,,,,,,,,,
319.5,0.659,18.2,9049,9007,9007,174,,,,,,,,,,,,,
321.5,0.655,18.1,9091,9050,9049,181,,,,,,,,,,,,,
323.5,0.652,18.0,9133,9093,9091,184,,,,,,,,,,,,,
325.5,0.647,17.9,9175,9136,9134,185,,,,,,,,,,,,,
331.5,0.636,17.6,9300,9264,9261,172,,,,,,,,,,,,,
333.5,0.631,17.4,9342,9307,9304,162,,,,,,,,,,,,,
335.5,0.644,17.8,9384,9349,9346,148,,,,,,,,,,,,,
337.5,0.646,17.8,9426,9392,9389,129,,,,,,,,,,,,,
343.5,0.632,17.4,9558,9522,9520,64,,,,,,,,,,,,,
345.5,0.629,17.4,9609,9571,9567,112,,,,,,,,,,,,,
351.5,0.625,17.2,9760,9715,9708,185,,,,,,,,,,,,,
353.5,0.632,17.4,9811,9763,9756,201,,,,,,,,,,,,,
355.5,0.627,17.3,9862,9811,9803,214,,,,,,,,,,,,,
357.5,0.624,17.2,9912,9859,9851,226,,,,,,,,,,,,,
359.5,0.634,17.5,9963,9907,9898,236,,,,,,,,,,,,,
361.5,0.634,17.5,10013,9955,9946,244,,,,,,,,,,,,,
363.5,0.633,17.5,10064,10003,9993,252,,,,,,,,,,,,,
365.5,0.634,17.5,10115,10050,10041,258,,,,,,,,,,,,,
367.5,0.623,17.2,10165,10098,10088,263,,,,,,,,,,,,,
369.5,0.648,17.9,10216,10146,10136,267,,,,,,,,,,,,,
371.5,0.625,17.2,10266,10194,10184,269,,,,,,,,,,,,,
373.5,0.626,17.3,10317,10241,10231,271,,,,,,,,,,,,,
375.5,0.620,17.1,10368,10289,10279,272,,,,,,,,,,,,,
377.5,0.626,17.3,10418,10337,10327,272,,,,,,,,,,,,,
379.5,0.621,17.1,10469,10384,10374,271,,,,,,,,,,,,,
381.5,0.621,17.1,10520,10432,10422,269,,,,,,,,,,,,,
383.5,0.618,17.0,10570,10480,10470,266,,,,,,,,,,,,,
385.5,0.614,16.9,10621,10527,10517,262,,,,,,,,,,,,,
393.5,0.610,16.8,10823,10717,10709,235,,,,,,,,,,,,,
397.5,0.626,17.3,10924,10812,10804,214,,,,,,,,,,,,,
399.5,0.619,17.0,10975,10860,10852,200,,,,,,,,,,,,,
401.5,0.605,16.7,11026,10907,10900,184,,,,,,,,,,,,,
405.5,0.594,16.3,11127,11001,10996,141,,,,,,,,,,,,,
409.5,0.588,16.1,11318,11179,11170,154,,,,,,,,,,,,,
413.5,0.587,16.1,11658,11603,11577,251,,,,,,,,,,,,,
417.5,0.580,15.9,11998,12024,11987,240,,,,,,,,,,,,,
421.5,0.588,16.2,12250,12358,12318,163,,,,,,,,,,,,,
425.5,0.578,15.8,12358,12444,12403,197,,,,,,,,,,,,,
429.5,0.580,15.9,12465,12531,12489,220,,,,,,,,,,,,,
433.5,0.586,16.1,12572,12617,12575,237,,,,,,,,,,,,,
437.5,0.577,15.8,12680,12702,12661,249,,,,,,,,,,,,,
441.5,0.573,15.7,12787,12788,12747,257,,,,,,,,,,,,,
445.5,0.584,16.0,12894,12874,12833,261,,,,,,,,,,,,,
449.5,0.572,15.7,13002,12959,12920,261,,,,,,,,,,,,,
453.5,0.579,15.9,13109,13045,13006,258,,,,,,,,,,,,,
457.5,0.589,16.2,13216,13130,13092,251,,,,,,,,,,,,,
463.5,0.573,15.7,13377,13258,13222,233,,,,,,,,,,,,,
467.5,0.564,15.4,13485,13344,13309,215,,,,,,,,,,,,,
471.5,0.570,15.6,13592,13429,13396,191,,,,,,,,,,,,,
475.5,0.575,15.8,13699,13514,13482,157,,,,,,,,,,,,,
479.5,0.568,15.6,13807,13598,13570,106,,,,,,,,,,,,,
483.5,0.564,15.5,13821,13630,13603,92,,,,,,,,,,,,,
489.5,0.563,15.4,13823,13653,13626,98,,,,,,,,,,,,,
493.5,0.553,15.1,13825,13667,13642,99,,,,,,,,,,,,,
497.5,0.563,15.4,13826,13682,13657,99,,,,,,,,,,,,,
501.5,0.563,15.4,13827,13696,13673,96,,,,,,,,,,,,,
505.5,0.567,15.5,13829,13711,13688,91,,,,,,,,,,,,,
509.5,0.564,15.4,13830,13724,13704,82,,,,,,,,,,,,,
513.5,0.555,15.2,14086,14555,14787,222,,,,,,,,,,,,,
517.5,0.549,15.0,14234,14886,15203,181,,,,,,,,,,,,,
521.5,0.551,15.1,14361,14963,15275,212,,,,,,,,,,,,,
525.5,0.542,14.8,14489,15040,15348,238,,,,,,,,,,,,,
529.5,0.543,14.8,14617,15117,15421,260,,,,,,,,,,,,,
533.5,0.529,14.4,14744,15194,15493,280,,,,,,,,,,,,,
537.5,0.534,14.6,14872,15271,15566,297,,,,,,,,,,,,,
541.5,0.541,14.8,15000,15348,15639,312,,,,,,,,,,,,,
545.5,0.534,14.5,15127,15424,15712,326,,,,,,,,,,,,,
549.5,0.523,14.2,15255,15501,15785,338,,,,,,,,,,,,,
553.5,0.542,14.8,15382,15578,15858,349,,,,,,,,,,,,,
557.5,0.528,14.4,15510,15654,15931,359,,,,,,,,,,,,,
561.5,0.521,14.2,15638,15731,16004,368,,,,,,,,,,,,,
565.5,0.537,14.7,15765,15807,16077,376,,,,,,,,,,,,,
569.5,0.530,14.4,15893,15884,16150,383,,,,,,,,,,,,,
573.5,0.520,14.1,16021,15960,16224,389,,,,,,,,,,,,,
577.5,0.509,13.8,16148,16037,16297,394,,,,,,,,,,,,,
581.5,0.514,14.0,16276,16113,16370,399,,,,,,,,,,,,,
585.5,0.523,14.2,16403,16190,16443,403,,,,,,,,,,,,,
589.5,0.518,14.1,16531,16266,16516,406,,,,,,,,,,,,,
593.5,0.523,14.2,16659,16343,16589,409,,,,,,,,,,,,,
597.5,0.520,14.1,16786,16419,16663,410,,,,,,,,,,,,,
601.5,0.528,14.4,16914,16496,16736,411,,,,,,,,,,,,,
605.5,0.514,14.0,17042,16572,16809,412,,,,,,,,,,,,,
609.5,0.508,13.8,17169,16648,16882,412,,,,,,,,,,,,,
613.5,0.512,13.9,17297,16725,16956,411,,,,,,,,,,,,,
617.5,0.526,14.3,17425,16801,17029,410,,,,,,,,,,,,,
621.5,0.519,14.1,17552,16877,17102,407,,,,,,,,,,,,,
627.5,0.508,13.8,17699,16992,17212,403,,,,,,,,,,,,,
631.5,0.505,13.7,17787,17068,17286,399,,,,,,,,,,,,,
637.5,0.516,14.0,17919,17182,17396,392,,,,,,,,,,,,,
641.5,0.520,14.1,18007,17258,17470,386,,,,,,,,,,,,,
645.5,0.546,14.9,18095,17335,17543,380,,,,,,,,,,,,,
649.5,0.552,15.1,18183,17411,17617,373,,,,,,,,,,,,,
653.5,0.529,14.4,18271,17487,17690,365,,,,,,,,,,,,,
657.5,0.529,14.4,18359,17563,17764,356,,,,,,,,,,,,,
661.5,0.525,14.3,18447,17639,17838,347,,,,,,,,,,,,,
665.5,0.522,14.2,18535,17714,17912,336,,,,,,,,,,,,,
669.5,0.517,14.1,18623,17789,17986,326,,,,,,,,,,,,,
671.5,0.508,13.8,18667,17844,18039,327,,,,,,,,,,,,,
673.5,0.487,13.2,18711,17917,18108,336,,,,,,,,,,,,,
675.5,0.495,13.4,18755,17988,18177,345,,,,,,,,,,,,,
677.5,0.497,13.5,18799,18060,18246,353,,,,,,,,,,,,,
679.5,0.493,13.4,18843,18131,18316,360,,,,,,,,,,,,,
681.5,0.498,13.5,18887,18202,18385,366,,,,,,,,,,,,,
683.5,0.480,13.0,18931,18274,18454,372,,,,,,,,,,,,,
685.5,0.489,13.2,18975,18345,18524,378,,,,,,,,,,,,,
687.5,0.489,13.2,19019,18416,18593,382,,,,,,,,,,,,,
689.5,0.472,12.7,19063,18487,18662,386,,,,,,,,,,,,,
691.5,0.487,13.2,19107,18558,18732,389,,,,,,,,,,,,,
711.5,0.485,13.1,19547,19268,19427,390,,,,,,,,,,,,,
