Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
60,5.265,28.5,767,774,781,114,,0,G. ruber,5250,100,0,,,,,,,excluded
70,5.100,28.2,905,911,920,178,,16,G. ruber,1650,40,0,,,,,,,excluded
90,4.654,27.2,1181,1186,1196,225,,55,G. ruber,1150,40,0,698,634,780,698,634,780,
100,4.466,26.8,1319,1324,1333,226,,135,G. ruber,2210,40,0,1810,1699,1912,1810,1699,1912,
110,4.642,27.2,1457,1461,1470,212,,213,G. ruber,3210,40,0,3021,2881,3157,3021,2881,3157,
120,4.098,25.9,1595,1599,1605,181,,260,G. ruber,3910,90,0,3891,3641,4137,3891,3641,4137,
130,4.353,26.5,1733,1738,1740,120,,320,G. ruber,4740,110,0,5010,4722,5303,5010,4722,5303,
140,4.247,26.3,1879,1884,1887,126,,460,G. ruber,7500,110,0,7963,7717,8188,7963,7717,8188,
150,4.442,26.7,2034,2039,2045,191,,560,G. ruber,10340,120,0,11432,11142,11876,11432,11142,11876,
160,4.391,26.6,2189,2194,2201,224,,600,G. ruber,11430,130,0,12977,12819,13183,12910,12639,13167,
170,4.450,26.8,2343,2349,2357,239,,620,G. ruber,12100,130,0,13549,13289,13795,13553,13295,13808,
180,4.586,27.1,2498,2504,2513,238,,640,G. ruber,13040,150,0,14808,14186,15273,14849,14143,15539,
190,4.580,27.1,2652,2660,2668,222,,656,G. ruber,13590,140,0,15614,15150,16127,16028,15229,16666,
200,4.288,26.4,2807,2815,2822,186,,664,G. ruber,14050,120,0,16240,15779,16728,16780,16435,17048,
210,4.667,27.3,2962,2972,2975,114,,674,G. ruber,14360,140,0,16632,16130,17113,17037,16774,17463,
220,4.370,26.6,3138,3147,3152,157,,680,G. ruber,15080,160,0,17749,17086,18489,17858,17255,18504,
230,4.250,26.3,3323,3333,3338,203,,690,G. ruber,15660,130,0,18637,18112,18858,18513,18028,18763,
