Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
5,0.886,24.9,2090,6576,6588,779,,81,N. dutertrei,9040,assumed 1%,72,9660,9450,9942,9660,9450,9942
8,0.881,24.8,2498,6699,6711,764,,230,N. dutertrei,13900,assumed 1%,72,15941,15436,16469,16505,15618,16894
12,0.897,25.2,3043,6864,6876,744,,291,N. dutertrei,15700,assumed 1%,72,18576,18072,18839,18408,18008,18744
15,0.874,24.6,3452,6987,6999,728,,351,N. dutertrei,18050,assumed 1%,72,20749,20306,21291,20915,20397,21421
18,0.866,24.3,3860,7111,7123,712,,,,,,,,,,,,
22,0.869,24.4,4405,7276,7287,689,,,,,,,,,,,,
25,0.873,24.5,4746,7399,7411,672,,,,,,,,,,,,
32,0.878,24.7,5540,7687,7699,631,,,,,,,,,,,,
35,0.859,24.1,5881,7811,7822,612,,,,,,,,,,,,
38,0.856,24.0,6221,7934,7945,592,,,,,,,,,,,,
45,0.861,24.2,6968,8222,8233,544,,,,,,,,,,,,
52,0.854,24.0,7719,8510,8520,492,,,,,,,,,,,,
55,0.841,23.6,8044,8634,8643,468,,,,,,,,,,,,
58,0.840,23.5,8333,8757,8766,442,,,,,,,,,,,,
65,0.837,23.5,8998,9045,9053,375,,,,,,,,,,,,
72,0.836,23.5,9605,9332,9338,293,,,,,,,,,,,,
75,0.841,23.6,9840,9455,9460,250,,,,,,,,,,,,
78,0.823,23.1,10025,9578,9581,197,,,,,,,,,,,,
92,0.835,23.4,10655,10153,10196,305,,,,,,,,,,,,
98,0.830,23.3,10843,10404,10463,362,,,,,,,,,,,,
105,0.830,23.3,11053,10698,10773,413,,,,,,,,,,,,
112,0.825,23.1,11263,10991,11083,454,,,,,,,,,,,,
