Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1,4.210,26.7,492,1513,1523,482,,13,N. dutertrei,3100,35,158,2724,2618,2811,2724,2618,2811
3,3.870,25.8,857,1712,1722,440,,26,N. dutertrei,4940,35,158,5049,4910,5225,5049,4910,5225
5,3.440,24.5,1222,1911,1921,395,,91,N. dutertrei,10450,60,158,11275,11156,11613,11275,11156,11613
6,3.530,24.8,1404,2011,2020,370,,131,N. dutertrei,13700,80,158,15542,15186,15932,15954,15239,16529
8,3.890,25.9,1768,2210,2218,314,,186,N. dutertrei,17900,95,158,20467,20181,20839,20676,20281,21150
10,4.350,27.1,2133,2410,2417,245,,208,N. dutertrei,19150,110,158,22179,21910,22424,22200,21604,22472
11,4.170,26.6,2315,2510,2516,202,,,,,,,,,,,,
13,3.690,25.2,2680,2715,2715,47,,,,,,,,,,,,
15,4.730,28.0,3045,3059,3076,240,,,,,,,,,,,,
16,3.980,26.1,3227,3236,3257,279,,,,,,,,,,,,
18,4.830,28.3,3592,3594,3619,321,,,,,,,,,,,,
20,4.710,28.0,3956,3955,3981,330,,,,,,,,,,,,
21,3.570,24.9,4138,4136,4162,323,,,,,,,,,,,,
23,3.990,26.1,4503,4500,4524,283,,,,,,,,,,,,
25,4.490,27.4,4868,4869,4886,189,,,,,,,,,,,,
26,3.970,26.1,5050,5063,5067,79,,,,,,,,,,,,
28,4.080,26.4,5245,5243,5261,202,,,,,,,,,,,,
30,4.020,26.2,5440,5432,5455,270,,,,,,,,,,,,
31,4.040,26.3,5538,5527,5552,297,,,,,,,,,,,,
33,4.340,27.1,5733,5718,5746,342,,,,,,,,,,,,
35,4.200,26.7,5928,5910,5940,379,,,,,,,,,,,,
36,4.060,26.3,6025,6006,6037,395,,,,,,,,,,,,
38,4.100,26.4,6220,6198,6232,423,,,,,,,,,,,,
40,4.210,26.7,6416,6391,6426,448,,,,,,,,,,,,
41,3.840,25.7,6513,6487,6523,459,,,,,,,,,,,,
43,4.150,26.6,6708,6680,6717,478,,,,,,,,,,,,
45,4.010,26.2,6903,6873,6911,494,,,,,,,,,,,,
46,4.160,26.6,7001,6970,7008,501,,,,,,,,,,,,
48,4.180,26.7,7196,7163,7202,513,,,,,,,,,,,,
50,3.700,25.3,7391,7357,7396,523,,,,,,,,,,,,
51,4.810,28.2,7488,7454,7493,527,,,,,,,,,,,,
53,3.900,25.9,7684,7648,7687,534,,,,,,,,,,,,
55,3.900,25.9,7879,7842,7882,539,,,,,,,,,,,,
56,4.190,26.7,7976,7939,7979,540,,,,,,,,,,,,
58,4.160,26.6,8171,8134,8173,542,,,,,,,,,,,,
60,3.960,26.0,8366,8328,8367,541,,,,,,,,,,,,
61,4.060,26.3,8464,8425,8464,540,,,,,,,,,,,,
63,3.340,24.2,8659,8620,8658,537,,,,,,,,,,,,
65,3.910,25.9,8854,8815,8852,531,,,,,,,,,,,,
66,4.380,27.2,8952,8913,8949,528,,,,,,,,,,,,
68,3.990,26.1,9147,9108,9143,519,,,,,,,,,,,,
70,4.190,26.7,9342,9303,9338,508,,,,,,,,,,,,
71,4.310,27.0,9439,9401,9435,502,,,,,,,,,,,,
73,3.870,25.8,9634,9596,9629,487,,,,,,,,,,,,
75,4.040,26.3,9829,9792,9823,470,,,,,,,,,,,,
76,4.270,26.9,9927,9890,9920,460,,,,,,,,,,,,
78,3.910,25.9,10122,10086,10114,438,,,,,,,,,,,,
80,3.930,26.0,10317,10283,10308,412,,,,,,,,,,,,
81,3.920,25.9,10415,10381,10405,398,,,,,,,,,,,,
83,4.130,26.5,10610,10579,10599,365,,,,,,,,,,,,
85,3.690,25.2,10805,10776,10794,325,,,,,,,,,,,,
86,4.600,27.7,10902,10875,10891,303,,,,,,,,,,,,
88,3.770,25.5,11097,11074,11085,248,,,,,,,,,,,,
90,4.040,26.3,11292,11276,11279,171,,,,,,,,,,,,
91,4.120,26.5,11390,11383,11376,116,,,,,,,,,,,,
93,4.060,26.3,11599,11578,11601,216,,,,,,,,,,,,
95,3.910,25.9,11807,11781,11826,279,,,,,,,,,,,,
96,3.690,25.3,11911,11884,11938,304,,,,,,,,,,,,
98,3.760,25.5,12120,12090,12163,344,,,,,,,,,,,,
100,4.170,26.6,12328,12296,12388,375,,,,,,,,,,,,
101,4.040,26.3,12433,12399,12500,388,,,,,,,,,,,,
103,3.850,25.7,12641,12607,12725,409,,,,,,,,,,,,
106,3.910,25.9,12954,12918,13063,432,,,,,,,,,,,,
111,4.020,26.2,13475,13440,13625,448,,,,,,,,,,,,
113,3.830,25.7,13684,13649,13850,447,,,,,,,,,,,,
116,3.990,26.1,13996,13963,14188,439,,,,,,,,,,,,
118,3.950,26.0,14205,14173,14413,428,,,,,,,,,,,,
121,3.680,25.2,14518,14489,14750,403,,,,,,,,,,,,
123,3.900,25.9,14726,14700,14975,379,,,,,,,,,,,,
126,4.040,26.3,15039,15018,15313,330,,,,,,,,,,,,
128,3.820,25.7,15247,15231,15538,286,,,,,,,,,,,,
131,4.030,26.2,15560,15562,15876,186,,,,,,,,,,,,
133,3.160,23.5,15740,15729,16051,252,,,,,,,,,,,,
136,3.960,26.0,16010,15992,16314,320,,,,,,,,,,,,
138,3.720,25.4,16190,16168,16490,355,,,,,,,,,,,,
141,3.410,24.4,16460,16435,16753,396,,,,,,,,,,,,
143,3.580,24.9,16640,16613,16929,418,,,,,,,,,,,,
146,3.780,25.5,16910,16881,17192,444,,,,,,,,,,,,
148,3.610,25.0,17090,17060,17367,458,,,,,,,,,,,,
151,3.550,24.8,17360,17329,17631,473,,,,,,,,,,,,
153,3.350,24.2,17540,17509,17806,480,,,,,,,,,,,,
156,3.390,24.3,17810,17778,18069,486,,,,,,,,,,,,
158,3.420,24.4,17990,17959,18245,487,,,,,,,,,,,,
161,3.290,24.0,18260,18229,18508,484,,,,,,,,,,,,
166,3.110,23.4,18710,18681,18947,468,,,,,,,,,,,,
168,3.130,23.4,18890,18862,19122,457,,,,,,,,,,,,
171,3.190,23.7,19160,19134,19386,436,,,,,,,,,,,,
173,3.070,23.2,19340,19316,19561,418,,,,,,,,,,,,
176,3.270,23.9,19610,19589,19824,385,,,,,,,,,,,,
178,3.320,24.1,19790,19771,20000,357,,,,,,,,,,,,
181,3.120,23.4,20060,20047,20263,305,,,,,,,,,,,,
186,3.290,24.0,20510,20518,20702,169,,,,,,,,,,,,
188,3.090,23.3,20604,20656,20822,213,,,,,,,,,,,,
191,3.370,24.2,20745,20875,21003,258,,,,,,,,,,,,
196,3.290,24.0,20981,21246,21305,286,,,,,,,,,,,,
198,3.220,23.8,21075,21396,21425,284,,,,,,,,,,,,
201,3.170,23.6,21216,21622,21606,268,,,,,,,,,,,,
203,3.230,23.8,21310,21774,21727,246,,,,,,,,,,,,
206,3.440,24.5,21796,22003,21908,191,,,,,,,,,,,,
208,3.470,24.6,22120,22165,22029,129,,,,,,,,,,,,
