#,Core,Location,Proxy,Lat (¡ã),Lon (¡ã),Elev/Depth (m),Reference,Resolution (yr),Calibration reference,Calibration,Foram species,Additional 14C reference,Notes,,
1,-,"NGRIP, Greenland",ice core d18O,75.1,-42.3,2917,"Rasmussen et al., 2006; Andersen et al., 2006",20,"Cuffey and Clow, 1997",T = 3.05*d18O + 75.4,,,,,
2,-,"GRIP, Greenland",ice core d18O,72.6,-37.6,3200,"Rasmussen et al., 2006, 2007",20,"Cuffey and Clow, 1997",T = 3.05*d18O + 75.5,,,,,
3,-,"Burial Lake, Alaska",chironomids,68.4,-159.2,460,"Kurek et al., 2009",352,"Kurek et al., 2009",,,,,,
4,-,Eastern Beringia (A),pollen,67.5,-165,-,"Viau et al., 2008",101,"Viau et al., 2008",,,,,,
5,-,Eastern Beringia (B),pollen,67.5,-137.5,-,"Viau et al., 2008",101,"Viau et al., 2008",,,,,,
6,-,Eastern Beringia (C) ,pollen,62.5,-165,-,"Viau et al., 2008",124,"Viau et al., 2008",,,,,,
7,-,Eastern Beringia (D),pollen,62.5,-137.5,-,"Viau et al., 2008",101,"Viau et al., 2008",,,,,,
8,NA 87-22,Northeast Atlantic,foram assemblages,55.5,-14.7,-2161,"Waelbroeck et al., 2001",246,"Waelbroeck et al., 1998",,,,,,
9,MD01-2461,Northeast Atlantic,Mg/Ca,51.8,-12.9,-1153,"Peck et al., 2008",116,"Peck et al., 2006",T = ln(MgCa/0.68)/0.10,G. bulloides,,,,
10,W8709A-8,California margin,UK'37,42.5,-127.7,-3111,"Prahl et al., 1995",620,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Lyell et al., 1992, Paleoceanography",,,
11,CH 69-09,central North Atlantic,foram assemblages,41.8,-47.4,-4100,"Waelbroeck et al., 2001",167,"Waelbroeck et al., 1998",,,,,,
12,PC-6,Japan margin,UK'37,40.4,143.5,-2215,"Minoshima et al., 2007",167,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Minoshima et al., 2007, Nuclear Instruments and Methods in Physics Research","1222 years subtracted from benthic radiocarbon dates to bring to surface-age equivalent as done by Minoshima et al., 2007 (i.e., the average difference between co-occuring benthic and planktic dates",,
13,BS79-38,Western Mediterranean ,UK'37,38.4,13.6,-1489,"Cacho et al., 2001",316,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,"Capotondi et al., 1999, Marine Geology","chronology based on tiepoints to Mediterranean foram ecozones defined in Capotondi et al., 1999, Marine Geology",,
14,SU81-18,Iberian margin,UK'37,37.8,-10.2,-3135,"Bard et al., 2002",277,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Waelbroeck et al., 2001, Nature","assumed core-top is 400 yr BP, as done by Bard et al., 2002",,
15,SU81-18,Iberian margin,foram assemblages,37.8,-10.2,-3135,"Waelbroeck et al., 2001",484,"Waelbroeck et al., 1998",,,,,,
16,MD95-2037,North Atlantic,UK'37,37.1,-32.0,-2630,"Calvo et al., 2001",152,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,chronology based on correlation to SU90/08 using C. wuellerstorfi d18O from 150 ka to present and G. builloides d18O from 270-150 ka,,
17,M39-008,Gulf of Cadiz,UK'37,36.4,-7.1,-576,"Cacho et al., 2001",155,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
18,MD95-2043,Alboran Sea,UK'37,36.1,-2.6,-1841,"Cacho et al., 1999",113,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
19,MD01-2421,North Pacific,UK'37,36,141.8,-2224,"Isono et al., 2009",246,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,,,,
