Proxy depth,Published temperature,Published age,Age model error
(cm),(°„C),(yr BP),"(yr, 1¶“)"
400,23.4,400,8
1300,22.9,1300,26
2200,22.7,2200,44
3200,23.7,3200,64
4200,26.0,4200,84
5700,26.3,5700,114
8700,26.5,8700,174
9700,25.8,9700,194
10400,26.0,10400,208
11000,25.3,11000,220
11500,26.5,11500,230
12000,26.7,12000,240
12400,27.2,12400,248
12800,26.1,12800,256
13200,25.8,13200,264
13600,25.1,13600,272
14000,24.4,14000,280
14300,24.6,14300,286
14600,24.3,14600,292
14800,23.8,14800,296
15000,24.5,15000,300
15100,22.3,15100,302
15200,20.8,15200,304
15300,22.1,15300,306
15400,21.5,15400,308
15500,21.0,15500,310
15700,19.4,15700,314
15800,20.4,15800,316
16000,20.0,16000,320
16300,19.1,16300,326
16700,18.7,16700,334
17200,19.3,17200,344
17600,15.3,17600,352
18000,19.5,18000,360
18300,17.5,18300,366
18500,14.7,18500,370
18800,15.3,18800,376
19100,15.6,19100,382
19400,14.9,19400,388
19700,17.3,19700,394
20100,15.9,20100,402
20500,15.1,20500,410
20900,15.0,20900,418
21300,13.5,21300,426
21800,16.3,21800,436
22400,16.8,22400,448
22900,15.6,22900,458
23500,16.2,23500,470
24200,17.1,24200,484
25000,15.3,25000,500
25900,18.1,25900,518
27000,18.1,27000,540
28200,19.0,28200,564
29400,17.9,29400,588
30500,18.9,30500,610
31500,18.1,31500,630
32600,18.4,32600,652
33600,16.9,33600,672
