Proxy depth,Published temperature,Published age,Age model error
(cm),(°„C),(yr BP),"(yr, 1¶“)"
0,13.5,530,11
6,13.9,620,12
7,12.7,640,13
10,13.1,680,14
12,13.5,710,14
16,13.8,770,15
20,13.5,830,17
26,13.6,1070,21
27,12.8,1110,22
30,13.7,1230,25
33,12.5,1350,27
38,14.9,1550,31
40,13.5,1630,33
44,13.6,1790,36
50,14.1,2040,41
53,13.7,2140,43
57,13.5,2290,46
60,15.0,2400,48
62,11.7,2470,49
67,13.8,2650,53
70,14.3,2760,55
72,12.8,2830,57
76,14.3,2970,59
80,13.4,3120,62
82,13.4,3190,64
86,15.5,3330,67
90,14.3,3470,69
92,12.4,3550,71
95,13.1,3650,73
97,13.6,3760,75
100,14.3,3920,78
106,15.2,4250,85
108,13.8,4350,87
110,15.4,4460,89
113,13.2,4620,92
118,14.0,4890,98
120,15.1,5000,100
126,13.5,5320,106
128,13.5,5430,109
130,14.0,5540,111
133,12.7,5700,114
138,13.5,5970,119
140,13.7,6080,122
143,12.8,6240,125
146,15.6,6400,128
150,13.0,6610,132
158,14.1,6970,139
160,13.5,7060,141
163,13.3,7190,144
168,13.9,7410,148
170,13.8,7500,150
173,12.4,7630,153
176,15.1,7770,155
178,12.7,7850,157
180,14.4,7940,159
183,11.7,8060,161
186,14.1,8180,164
188,11.7,8260,165
190,14.4,8340,167
193,12.4,8460,169
196,13.9,8580,172
197,12.9,8620,172
200,13.1,8740,175
203,13.2,8830,177
207,11.7,8960,179
210,13.5,9038,181
212,12.5,9084,182
217,12.4,9198,184
220,14.4,9274,185
226,13.6,9426,189
228,11.7,9509,190
230,13.0,9593,192
233,11.7,9714,194
235,13.8,9790,196
238,11.7,9912,198
240,12.9,9995,200
243,11.7,10117,202
245,12.9,10201,204
250,12.5,10406,208
255,12.9,10641,213
260,13.3,10885,218
265,13.6,11120,222
270,12.6,11363,227
275,12.2,11538,231
280,8.4,11835,237
285,8.0,12425,249
290,9.6,12970,259
295,8.4,13140,263
300,13.0,13320,266
305,13.5,13500,270
310,9.7,13875,277
315,10.4,14021,280
320,12.7,14094,282
325,12.2,14167,283
330,12.2,14273,285
335,12.1,14378,288
345,7.7,14797,296
350,5.0,15391,308
355,7.2,15973,319
360,5.1,16228,325
370,7.0,16725,335
380,6.4,17792,356
390,7.2,18569,371
400,5.6,19333,387
410,7.2,19842,397
420,6.6,20363,407
430,5.5,21067,421
440,7.2,21770,435
450,5.5,22328,447
460,7.4,22922,458
