Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
7.35,-35.16,-31.8,-30,0.5
14.15,-35.82,-33.9,-10,0.5
20.40,-35.11,-31.7,10,0.5
26.10,-34.65,-30.3,30,0.5
31.53,-34.53,-29.9,50,0.5
36.83,-35.29,-32.2,70,0.5
42.05,-35.02,-31.4,90,0.5
46.95,-35.02,-31.4,110,0.5
51.75,-35.78,-33.7,130,0.5
56.33,-35.16,-31.8,150,0.5
60.83,-35.61,-33.2,170,0.5
65.13,-35.12,-31.7,190,0.5
69.35,-35.79,-33.8,210,0.5
73.60,-35.82,-33.9,230,0.5
77.60,-35.36,-32.4,250,0.5
81.75,-36.05,-34.6,270,0.5
85.65,-35.39,-32.5,290,0.5
89.55,-36.14,-34.8,310,0.5
93.48,-35.33,-32.4,330,0.5
97.43,-35.35,-32.4,350,0.5
101.40,-35.72,-33.5,370,0.5
105.28,-35.03,-31.4,390,0.5
109.10,-35.61,-33.2,410,0.5
112.88,-35.82,-33.9,430,0.5
116.70,-34.93,-31.1,450,0.5
120.43,-35.07,-31.6,470,0.5
124.05,-35.87,-34.0,490,0.5
128.18,-35.13,-31.7,510,0.5
131.88,-34.98,-31.3,530,0.5
135.73,-35.05,-31.5,550,0.5
139.40,-35.53,-33.0,570,0.5
143.18,-34.86,-30.9,590,0.5
146.93,-35.25,-32.1,610,0.5
150.70,-36.43,-35.7,630,0.5
154.33,-35.07,-31.6,650,0.5
157.73,-35.20,-32.0,670,0.5
161.38,-35.49,-32.8,690,0.5
165.13,-35.67,-33.4,710,0.5
168.63,-35.40,-32.6,730,0.5
172.00,-35.15,-31.8,750,0.5
175.60,-35.80,-33.8,770,0.5
179.23,-35.34,-32.4,790,0.5
182.83,-35.62,-33.2,810,0.5
186.55,-35.37,-32.5,830,0.5
190.18,-35.59,-33.1,850,0.5
193.98,-35.14,-31.8,870,0.5
197.35,-35.45,-32.7,890,0.5
200.75,-35.61,-33.2,910,0.5
204.30,-35.92,-34.2,930,0.5
207.85,-34.96,-31.2,950,0.5
211.48,-35.24,-32.1,970,0.5
215.08,-35.02,-31.4,990,0.5
218.68,-35.00,-31.4,1010,0.5
222.20,-34.98,-31.3,1030,0.5
225.80,-35.41,-32.6,1050,0.5
229.38,-35.73,-33.6,1070,0.5
232.98,-35.35,-32.4,1090,0.5
236.38,-35.75,-33.6,1110,0.5
239.98,-35.45,-32.7,1130,0.5
243.35,-35.34,-32.4,1150,0.5
247.00,-35.38,-32.5,1170,0.5
250.60,-35.27,-32.2,1190,0.5
254.20,-35.15,-31.8,1210,0.5
257.73,-35.33,-32.4,1230,0.5
261.18,-35.33,-32.4,1250,1
264.53,-35.27,-32.2,1270,1
268.10,-35.14,-31.8,1290,1
271.55,-34.69,-30.4,1310,1
274.98,-35.44,-32.7,1330,1
278.70,-35.26,-32.1,1350,1
282.23,-35.14,-31.8,1370,1
285.55,-35.28,-32.2,1390,1
289.23,-34.43,-29.6,1410,1
292.70,-35.78,-33.7,1430,1
296.25,-35.33,-32.4,1450,1
299.70,-35.83,-33.9,1470,1
303.28,-35.39,-32.5,1490,0.5
306.70,-35.35,-32.4,1510,0.5
310.13,-35.74,-33.6,1530,0.5
313.55,-34.46,-29.7,1550,0.5
316.98,-34.64,-30.3,1570,0.5
320.40,-35.27,-32.2,1590,0.5
323.78,-35.86,-34.0,1610,0.5
327.23,-35.49,-32.8,1630,0.5
330.78,-35.27,-32.2,1650,0.5
334.05,-35.80,-33.8,1670,0.5
337.43,-34.93,-31.1,1690,0.5
340.70,-35.55,-33.0,1710,0.5
344.13,-35.90,-34.1,1730,0.5
347.68,-35.44,-32.7,1750,0.5
351.00,-35.47,-32.8,1770,0.5
354.04,-35.37,-32.5,1790,0.5
357.49,-35.04,-31.5,1810,0.5
360.91,-35.39,-32.5,1830,0.5
364.34,-34.49,-29.8,1850,0.5
367.72,-35.07,-31.6,1870,0.5
370.57,-34.43,-29.6,1890,0.5
373.97,-34.71,-30.5,1910,0.5
377.78,-35.10,-31.7,1930,0.5
381.49,-35.32,-32.3,1950,0.5
384.60,-35.11,-31.7,1970,0.5
388.47,-34.79,-30.7,1990,0.5
391.47,-35.35,-32.4,2010,0.5
395.05,-34.95,-31.2,2030,0.5
398.38,-34.89,-31.0,2050,0.5
401.53,-35.07,-31.6,2070,0.5
405.18,-35.46,-32.8,2090,0.5
408.51,-35.18,-31.9,2110,0.5
411.73,-36.07,-34.6,2130,0.5
414.83,-35.76,-33.7,2150,0.5
418.06,-35.20,-32.0,2170,0.5
421.46,-35.26,-32.1,2190,0.5
424.47,-34.84,-30.9,2210,0.5
427.77,-34.57,-30.0,2230,0.5
431.03,-34.81,-30.8,2250,0.5
434.32,-35.11,-31.7,2270,0.5
437.76,-34.94,-31.2,2290,1
440.88,-35.09,-31.6,2310,1
444.21,-35.26,-32.1,2330,1
447.57,-35.08,-31.6,2350,1
450.97,-34.68,-30.4,2370,1
454.01,-34.86,-30.9,2390,1
457.23,-35.32,-32.3,2410,1
460.43,-35.88,-34.0,2430,1
463.51,-35.48,-32.8,2450,1
466.55,-35.71,-33.5,2470,1
469.85,-34.83,-30.8,2490,1
472.87,-35.24,-32.1,2510,1
476.10,-34.84,-30.9,2530,1
479.35,-35.43,-32.7,2550,1
482.60,-35.06,-31.5,2570,1
485.80,-35.41,-32.6,2590,1
489.17,-35.14,-31.8,2610,1
492.12,-35.14,-31.8,2630,1
495.41,-35.43,-32.7,2650,1
498.71,-35.32,-32.3,2670,1
501.78,-35.12,-31.7,2690,1.5
505.33,-35.10,-31.7,2710,1.5
508.48,-34.83,-30.8,2730,1.5
511.93,-34.91,-31.1,2750,1.5
514.90,-34.99,-31.3,2770,1.5
517.85,-34.92,-31.1,2790,1.5
520.77,-34.63,-30.2,2810,1.5
524.12,-35.49,-32.8,2830,1.5
527.42,-35.20,-32.0,2850,1.5
530.64,-34.98,-31.3,2870,1.5
533.83,-34.81,-30.8,2890,1.5
537.17,-34.38,-29.5,2910,1.5
540.47,-34.81,-30.8,2930,1.5
543.62,-34.85,-30.9,2950,1.5
546.74,-34.79,-30.7,2970,1.5
549.87,-35.45,-32.7,2990,1.5
552.82,-35.14,-31.8,3010,1.5
555.91,-34.94,-31.2,3030,1.5
558.87,-35.14,-31.8,3050,1.5
562.10,-34.97,-31.3,3070,1.5
564.90,-34.87,-31.0,3090,2
567.71,-35.04,-31.5,3110,2
570.64,-35.26,-32.1,3130,2
573.67,-34.54,-29.9,3150,2
576.95,-35.25,-32.1,3170,2
579.97,-35.28,-32.2,3190,2
583.19,-34.76,-30.6,3210,2
586.34,-35.54,-33.0,3230,2
589.48,-35.25,-32.1,3250,2
592.26,-35.24,-32.1,3270,2
595.50,-34.89,-31.0,3290,2
598.44,-34.29,-29.2,3310,2
601.36,-34.98,-31.3,3330,2
604.69,-35.42,-32.6,3350,2
607.89,-34.66,-30.3,3370,2
610.92,-34.80,-30.7,3390,2
613.93,-34.67,-30.3,3410,2
616.92,-35.19,-31.9,3430,2
619.98,-35.28,-32.2,3450,2
622.86,-34.75,-30.6,3470,2
625.87,-35.10,-31.7,3490,2.5
628.99,-35.42,-32.6,3510,2.5
632.01,-34.77,-30.6,3530,2.5
634.92,-34.63,-30.2,3550,2.5
637.89,-35.09,-31.6,3570,2.5
640.99,-35.18,-31.9,3590,2.5
644.05,-34.93,-31.1,3610,2.5
647.02,-34.28,-29.2,3630,2.5
650.00,-34.71,-30.5,3650,2.5
653.05,-34.68,-30.4,3670,2.5
656.12,-34.41,-29.6,3690,2.5
659.08,-34.65,-30.3,3710,2.5
662.09,-35.36,-32.4,3730,2.5
664.95,-35.27,-32.2,3750,2.5
667.95,-34.78,-30.7,3770,2.5
670.98,-35.01,-31.4,3790,2.5
674.26,-35.17,-31.9,3810,2.5
677.07,-35.36,-32.4,3830,2.5
680.06,-34.90,-31.0,3850,3
682.84,-35.34,-32.4,3870,3
685.65,-35.16,-31.8,3890,3
688.47,-34.85,-30.9,3910,3
691.68,-35.12,-31.7,3930,3
694.49,-34.96,-31.2,3950,3
697.32,-35.14,-31.8,3970,3
700.63,-34.41,-29.6,3990,3
704.11,-35.20,-32.0,4010,3
706.92,-34.74,-30.6,4030,3
710.13,-35.53,-33.0,4050,3.5
713.11,-35.14,-31.8,4070,3.5
715.86,-34.87,-31.0,4090,3.5
718.63,-35.20,-32.0,4110,3.5
721.41,-34.72,-30.5,4130,3.5
