Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0.5,0.414,25.7,19,NaN,NaN,NaN,,20,planktics,1410,50,190,766,664,890,766,664,890
5.5,0.422,26.2,208,152,151,349,,40,planktics,2420,50,190,1832,1692,1972,1832,1692,1972
10.5,0.415,25.8,397,368,368,284,,80,planktics,4050,50,190,3821,3656,3977,3821,3656,3977
15.5,0.419,26.1,586,584,585,200,,120,planktics,5410,50,190,5583,5458,5703,5583,5458,5703
20.5,0.424,26.4,782,807,805,86,,167.25,planktics,6653,50,190,6961,6805,7135,6961,6805,7135
25.5,0.424,26.4,1052,1075,1074,211,,183.25,planktics,7125,50,190,7445,7332,7552,7445,7332,7552
30.5,0.415,25.8,1321,1340,1339,236,,200,planktics,7620,45,190,7892,7776,7997,7892,7776,7997
35.5,0.419,26.1,1590,1602,1601,202,,250.25,planktics,8620,50,190,9046,8892,9240,9046,8892,9240
40.5,0.424,26.4,1857,1860,1857,96,,291.25,planktics,9748,50,190,10420,10261,10538,10420,10261,10538
45.5,0.425,26.5,2105,2114,2111,229,,313.75,planktics,10371,47,190,11181,11101,11256,11181,11101,11256
50.5,0.418,26.0,2352,2364,2362,286,,320,planktics,10500,50,190,11292,11174,11621,11292,11174,11621
55.5,0.427,26.6,2599,2613,2611,315,,340,planktics,11100,50,190,12492,12236,12709,12441,12234,12596
60.5,0.427,26.6,2846,2862,2860,323,,360,planktics,12000,50,190,13267,13162,13383,13275,13141,13397
65.5,0.435,27.1,3094,3110,3107,312,,361.25,planktics,12131,62,190,13374,13247,13556,13379,13249,13581
70.5,0.428,26.6,3341,3357,3354,280,,376.25,planktics,12895,52,190,14190,14002,14602,14238,13964,14881
