Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0.5,0.912,26.3,19,NaN,NaN,NaN,,20,planktics,1410,50,190,766,664,890,766,664,890
5.5,0.913,26.3,208,151,134,351,,40,planktics,2420,50,190,1832,1692,1972,1832,1692,1972
10.5,0.913,26.3,397,367,355,286,,80,planktics,4050,50,190,3821,3656,3977,3821,3656,3977
15.5,0.918,26.5,586,583,577,201,,120,planktics,5410,50,190,5583,5458,5703,5583,5458,5703
20.5,0.916,26.4,782,805,803,82,,167.25,planktics,6653,50,190,6961,6805,7135,6961,6805,7135
25.5,0.920,26.6,1052,1064,1075,198,,183.25,planktics,7125,50,190,7445,7332,7552,7445,7332,7552
30.5,0.907,26.1,1321,1327,1341,221,,200,planktics,7620,45,190,7892,7776,7997,7892,7776,7997
35.5,0.907,26.2,1590,1591,1604,189,,250.25,planktics,8620,50,190,9046,8892,9240,9046,8892,9240
40.5,0.911,26.3,1857,1856,1860,92,,291.25,planktics,9748,50,190,10420,10261,10538,10420,10261,10538
45.5,0.901,26.0,2105,2100,2115,214,,313.75,planktics,10371,47,190,11181,11101,11256,11181,11101,11256
50.5,0.898,25.9,2352,2346,2366,268,,320,planktics,10500,50,190,11292,11174,11621,11292,11174,11621
55.5,0.901,26.0,2599,2593,2615,295,,340,planktics,11100,50,190,12492,12236,12709,12441,12234,12596
60.5,0.893,25.7,2846,2840,2864,303,,360,planktics,12000,50,190,13267,13162,13383,13275,13141,13397
65.5,0.914,26.4,3094,3088,3111,292,,361.25,planktics,12131,62,190,13374,13247,13556,13379,13249,13581
70.5,0.902,26.0,3341,3337,3358,261,,376.25,planktics,12895,52,190,14190,14002,14602,14238,13964,14881
75.5,0.901,26.0,3588,3586,3603,201,,391.25,planktics,13975,55,190,15892,15518,16300,16537,15948,16843
