Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
5.5,2.110,14.0,0,146,130,426,,21.5,G. bulloides,1820,95,230,1140,919,1337,1140,919,1337
6.5,2.170,14.2,66,207,192,413,,31.5,G. bulloides,2950,79,230,2449,2207,2700,2449,2207,2700
8.5,2.100,13.9,197,329,315,386,,47.5,G. bulloides,5070,68,230,5129,4857,5322,5129,4857,5322
9.5,2.080,13.8,263,390,377,372,,59.5,G. bulloides,6130,79,230,6321,6113,6537,6321,6113,6537
10.5,1.820,12.6,329,451,439,357,,77.5,G. bulloides,8195,71,230,8433,8235,8622,8433,8235,8622
11.5,2.030,13.6,395,512,500,342,,94.5,G. bulloides,8935,71,230,9368,9139,9525,9368,9139,9525
12.5,1.950,13.2,461,573,562,325,,104.5,G. bulloides,9715,68,230,10343,10180,10518,10343,10180,10518
13.5,1.910,13.0,527,634,624,308,,128.5,G. bulloides,10040,79,230,10715,10511,11048,10715,10511,11048
14.5,1.810,12.5,592,696,686,290,,148.5,G. bulloides,11040,103,230,12297,11896,12739,12254,11888,12599
15.5,2.210,14.4,658,757,748,271,,172.5,G. bulloides,10990,112,230,12201,11719,12686,12171,11727,12575
16.5,1.790,12.4,724,818,810,251,,202.5,G. bulloides,13105,71,230,14548,14163,14958,14588,14145,15060
18.5,1.910,13.0,856,941,935,204,,220.5,G. bulloides,13240,158,230,14747,14137,15260,14783,14093,15524
19.5,1.960,13.3,921,1002,997,176,,252.5,G. bulloides,14550,236,230,16591,15854,17394,17035,16492,17678
20.5,1.890,12.9,987,1074,1071,158,,276.5,G. bulloides,15920,314,230,18520,17595,19173,18470,17740,19266
22.5,2.100,13.9,1206,1261,1265,178,,340.5,G. bulloides,18430,314,230,21080,20322,22026,21184,20355,22083
23.5,2.130,14.0,1360,1393,1400,222,,,,,,,,,,,,
24.5,1.990,13.4,1513,1525,1533,248,,,,,,,,,,,,
25.5,1.810,12.5,1667,1658,1667,263,,,,,,,,,,,,
26.5,1.980,13.4,1820,1790,1799,268,,,,,,,,,,,,
27.5,2.070,13.8,1974,1922,1932,264,,,,,,,,,,,,
28.5,2.140,14.1,2127,2054,2064,250,,,,,,,,,,,,
29.5,2.000,13.5,2281,2187,2196,226,,,,,,,,,,,,
30.5,2.130,14.0,2434,2319,2326,185,,,,,,,,,,,,
31.5,1.920,13.1,2588,2459,2466,166,,,,,,,,,,,,
32.5,1.990,13.4,2741,2616,2625,205,,,,,,,,,,,,
33.5,2.160,14.2,2895,2782,2792,261,,,,,,,,,,,,
34.5,2.140,14.1,3048,2947,2958,300,,,,,,,,,,,,
35.5,1.950,13.2,3201,3112,3124,328,,,,,,,,,,,,
36.5,2.220,14.4,3355,3277,3289,349,,,,,,,,,,,,
37.5,2.320,14.8,3508,3442,3455,363,,,,,,,,,,,,
38.5,2.190,14.3,3662,3607,3620,371,,,,,,,,,,,,
39.5,2.220,14.4,3815,3772,3784,374,,,,,,,,,,,,
40.5,2.170,14.2,3969,3937,3949,372,,,,,,,,,,,,
41.5,2.070,13.8,4122,4102,4113,364,,,,,,,,,,,,
42.5,2.100,13.9,4276,4267,4277,351,,,,,,,,,,,,
43.5,2.180,14.3,4429,4431,4441,331,,,,,,,,,,,,
44.5,2.200,14.4,4583,4596,4605,303,,,,,,,,,,,,
45.5,2.040,13.7,4736,4761,4768,264,,,,,,,,,,,,
46.5,2.210,14.4,4890,4925,4930,208,,,,,,,,,,,,
47.5,2.310,14.8,5043,5074,5077,164,,,,,,,,,,,,
48.5,2.320,14.8,5153,5192,5197,176,,,,,,,,,,,,
49.5,2.180,14.2,5263,5295,5302,213,,,,,,,,,,,,
50.5,2.110,13.9,5374,5399,5407,237,,,,,,,,,,,,
51.5,2.130,14.0,5484,5502,5511,252,,,,,,,,,,,,
52.5,2.310,14.8,5594,5605,5615,260,,,,,,,,,,,,
53.5,2.310,14.8,5704,5708,5718,262,,,,,,,,,,,,
54.5,1.930,13.1,5814,5811,5822,258,,,,,,,,,,,,
55.5,1.970,13.3,5925,5914,5925,247,,,,,,,,,,,,
57.5,2.110,13.9,6145,6120,6130,204,,,,,,,,,,,,
58.5,1.910,13.0,6255,6223,6231,166,,,,,,,,,,,,
59.5,2.000,13.4,6365,6330,6337,145,,,,,,,,,,,,
60.5,1.940,13.2,6476,6444,6451,175,,,,,,,,,,,,
61.5,2.030,13.6,6586,6561,6570,222,,,,,,,,,,,,
62.5,2.450,15.3,6696,6678,6688,255,,,,,,,,,,,,
63.5,1.800,12.4,6806,6795,6806,280,,,,,,,,,,,,
64.5,2.020,13.5,6916,6912,6923,299,,,,,,,,,,,,
65.5,2.150,14.1,7027,7029,7040,313,,,,,,,,,,,,
66.5,1.790,12.4,7137,7146,7157,323,,,,,,,,,,,,
67.5,1.880,12.9,7247,7263,7274,329,,,,,,,,,,,,
68.5,2.120,14.0,7357,7380,7391,330,,,,,,,,,,,,
69.5,1.890,12.9,7467,7497,7507,329,,,,,,,,,,,,
70.5,2.020,13.6,7578,7614,7623,323,,,,,,,,,,,,
71.5,1.880,12.9,7688,7731,7740,313,,,,,,,,,,,,
72.5,2.110,13.9,7798,7848,7855,299,,,,,,,,,,,,
73.5,2.110,14.0,7908,7965,7971,280,,,,,,,,,,,,
74.5,2.240,14.5,8018,8081,8087,254,,,,,,,,,,,,
75.5,1.810,12.5,8129,8198,8202,220,,,,,,,,,,,,
76.5,2.130,14.1,8239,8315,8316,171,,,,,,,,,,,,
78.5,2.280,14.7,8406,8484,8484,133,,,,,,,,,,,,
79.5,2.260,14.6,8462,8537,8538,160,,,,,,,,,,,,
80.5,2.200,14.4,8519,8590,8592,180,,,,,,,,,,,,
81.5,2.290,14.7,8576,8643,8646,195,,,,,,,,,,,,
83.5,2.220,14.4,8689,8750,8753,213,,,,,,,,,,,,
84.5,2.410,15.2,8746,8803,8806,218,,,,,,,,,,,,
85.5,2.250,14.5,8802,8856,8859,221,,,,,,,,,,,,
86.5,2.250,14.5,8859,8909,8912,220,,,,,,,,,,,,
87.5,2.270,14.6,8916,8962,8965,217,,,,,,,,,,,,
88.5,2.220,14.4,8972,9015,9018,212,,,,,,,,,,,,
89.5,2.220,14.4,9029,9068,9070,204,,,,,,,,,,,,
90.5,2.370,15.0,9086,9121,9123,192,,,,,,,,,,,,
91.5,2.230,14.5,9142,9174,9175,177,,,,,,,,,,,,
92.5,2.260,14.6,9199,9227,9227,156,,,,,,,,,,,,
