Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
100,NaN,NaN,1740,1813,1806,313,,73.5,mixed planktics,1721,60,0,1274,1147,1394,1274,1147,1394,
137,NaN,NaN,2390,2563,2552,458,,524,mixed planktics,9487,65,0,10342,10205,10495,10342,10205,10495,
187,3.713,26.6,3260,3573,3560,570,,1047,mixed planktics,13571,75,0,15583,15225,15974,16021,15279,16575,
202,3.396,25.5,3520,3876,3862,593,,1497,mixed planktics,18115,80,0,20907,20566,21274,21168,20552,21470,excluded
249,4.320,28.6,4340,4824,4809,640,,1722,mixed planktics,15930,80,0,18826,18693,18944,18724,18578,18881,
287,3.650,26.4,5000,5591,5575,655,,2223,mixed planktics,18650,90,0,21719,21262,22079,21795,21453,22159,
337,3.872,27.2,5870,6598,6583,647,,2753,mixed planktics,22430,110,0,,,,26457,26042,26884,
352,3.432,25.6,6130,6900,6885,638,,3221,mixed planktics,24860,160,0,,,,29293,28610,29591,
442,3.733,26.7,7700,8709,8699,510,,3307,mixed planktics,26050,160,0,,,,30489,30197,30933,
487,3.878,27.2,8490,9612,9606,367,,3863,mixed planktics,28570,210,0,,,,32395,31661,33076,
502,3.466,25.7,8750,9912,9909,292,,4331,mixed planktics,33070,390,0,,,,37288,36534,38488,
587,3.745,26.7,10230,10990,11025,332,,4723,mixed planktics,35720,500,0,,,,40427,39088,41423,
637,3.549,26.0,11100,11496,11558,416,,4992,mixed planktics,37890,570,0,,,,42191,41378,43003,
648,3.449,25.7,11290,11607,11676,430,,5356,mixed planktics,43950,1010,0,,,,46787,45055,49163,
697,3.923,27.4,11920,12101,12199,475,,5506,mixed planktics,45320,1130,0,,,,48019,46158,50000,
875,3.295,25.1,13360,13893,14099,483,,5656,mixed planktics,46800,1370,0,,,,48775,46650,50000,
922,3.325,25.2,13740,14364,14601,446,,5726,mixed planktics,45060,1190,0,,,,47817,45938,49999,
962,3.445,25.6,14060,14765,15028,397,,,,,,,,,,,,,
1012,3.231,24.8,14440,15265,15562,300,,,,,,,,,,,,,
1022,3.705,26.6,14490,15365,15668,273,,,,,,,,,,,,,
1077,3.374,25.4,14800,15758,16060,236,,,,,,,,,,,,,
1113,3.022,23.9,15000,15931,16209,282,,,,,,,,,,,,,
1167,3.093,24.2,15310,16190,16433,331,,,,,,,,,,,,,
1177,3.017,23.9,15360,16238,16474,339,,,,,,,,,,,,,
1227,3.229,24.8,15640,16477,16681,368,,,,,,,,,,,,,
1273,3.010,23.9,15900,16696,16872,385,,,,,,,,,,,,,
1309,3.136,24.4,16100,16868,17021,394,,,,,,,,,,,,,
1327,3.291,25.0,16200,16953,17096,397,,,,,,,,,,,,,
1387,3.140,24.4,16540,17239,17344,399,,,,,,,,,,,,,
1413,3.402,25.5,16690,17363,17452,396,,,,,,,,,,,,,
1467,2.916,23.4,16990,17619,17676,384,,,,,,,,,,,,,
1477,3.120,24.3,17050,17667,17717,380,,,,,,,,,,,,,
1522,3.570,26.1,17300,17880,17904,361,,,,,,,,,,,,,
1567,3.098,24.2,17550,18093,18090,332,,,,,,,,,,,,,
1612,3.143,24.4,17800,18306,18277,293,,,,,,,,,,,,,
1627,3.077,24.2,17890,18377,18339,276,,,,,,,,,,,,,
1673,3.331,25.2,18150,18594,18529,210,,,,,,,,,,,,,
1716,2.978,23.7,18390,18795,18707,96,,,,,,,,,,,,,
1766,2.886,23.3,18670,19078,19002,217,,,,,,,,,,,,,
1799,2.938,23.5,18850,19267,19204,272,,,,,,,,,,,,,
1851,2.748,22.7,19150,19564,19523,330,,,,,,,,,,,,,
1891,2.817,23.0,19370,19792,19768,358,,,,,,,,,,,,,
1945,2.853,23.2,19670,20099,20099,379,,,,,,,,,,,,,
1956,3.387,25.4,19730,20162,20167,382,,,,,,,,,,,,,
2001,2.786,22.8,19990,20418,20443,385,,,,,,,,,,,,,
2044,2.889,23.3,20230,20662,20706,378,,,,,,,,,,,,,
2095,2.823,23.0,20510,20950,21019,357,,,,,,,,,,,,,
2105,2.823,23.0,20570,21007,21080,351,,,,,,,,,,,,,
2149,2.840,23.1,20820,21255,21350,315,,,,,,,,,,,,,
2191,2.863,23.2,21050,21492,21607,263,,,,,,,,,,,,,
2235,2.965,23.7,21300,21781,21909,244,,,,,,,,,,,,,
2249,2.825,23.0,21380,21910,22032,283,,,,,,,,,,,,,
2300,3.400,25.5,21660,22375,22481,381,,,,,,,,,,,,,
2343,3.307,25.1,21910,22766,22859,433,,,,,,,,,,,,,
2388,2.742,22.6,22160,23175,23254,470,,,,,,,,,,,,,
2399,2.604,22.0,22220,23275,23351,477,,,,,,,,,,,,,
2449,3.394,25.4,22500,23728,23790,497,,,,,,,,,,,,,
2488,3.557,26.1,22720,24082,24133,502,,,,,,,,,,,,,
2538,2.814,23.0,23000,24534,24572,495,,,,,,,,,,,,,
2549,2.712,22.5,23060,24634,24669,491,,,,,,,,,,,,,
2599,3.191,24.6,23350,25086,25108,466,,,,,,,,,,,,,
2638,2.878,23.3,23560,25438,25450,433,,,,,,,,,,,,,
2688,3.515,25.9,23830,25888,25890,369,,,,,,,,,,,,,
2727,2.642,22.1,24140,26238,26232,291,,,,,,,,,,,,,
