Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1291,0.578,15.8,10034,9642,9650,115,,1294,Mixed planktics,8940,80,0,9620,9455,9869,9620,9455,9869
1315,0.562,15.4,10161,9775,9763,163,,1421,Mixed planktics,9470,43,0,10319,10213,10445,10319,10213,10445
1347,0.578,15.8,10330,9941,9929,194,,1701,Mixed planktics,10400,70,0,11481,11218,11826,11481,11218,11826
1359,0.578,15.8,10393,10004,9992,194,,2022,Mixed planktics,11880,70,0,13325,13197,13458,13334,13170,13473
1383,0.546,14.9,10520,10129,10119,177,,2139,Mixed planktics,12780,55,0,14366,14095,14763,14417,14068,14923
1419,0.581,16.0,10709,10318,10315,72,,2369,Mixed planktics,13090,60,0,14973,14690,15215,15026,14602,15488
1455,0.570,15.6,10916,10473,10465,170,,2510,Mixed planktics,14020,110,0,16202,15757,16677,16757,16423,17009
1480,0.569,15.6,11059,10579,10569,209,,2797,Mixed planktics,15350,70,0,18279,18001,18564,18263,17942,18537
1504,0.570,15.6,11197,10682,10671,233,,2981,Mixed planktics,16670,110,0,19418,19130,19779,19423,18936,19809
1516,0.565,15.5,11266,10733,10722,242,,3147,Mixed planktics,17410,90,0,20132,19921,20350,20200,19863,20437
1528,0.544,14.9,11335,10784,10773,249,,3351,Mixed planktics,18120,125,0,20914,20518,21339,21136,20544,21473
1540,0.564,15.5,11404,10836,10824,254,,3656,Mixed planktics,19340,135,0,22455,22188,22762,22565,22228,23271
1552,0.559,15.3,11473,10887,10875,258,,3950,Mixed planktics,20680,150,0,24268,23869,24691,24189,23753,24691
1564,0.561,15.3,11542,10938,10927,260,,,,,,,,,,,,
1576,0.559,15.3,11611,10990,10978,261,,,,,,,,,,,,
1588,0.545,14.9,11680,11041,11030,260,,,,,,,,,,,,
1600,0.547,15.0,11749,11093,11081,257,,,,,,,,,,,,
1612,0.551,15.1,11818,11144,11133,253,,,,,,,,,,,,
1624,0.555,15.2,11887,11195,11185,248,,,,,,,,,,,,
1636,0.547,14.9,11956,11247,11237,240,,,,,,,,,,,,
1648,0.542,14.8,12025,11298,11289,231,,,,,,,,,,,,
1660,0.542,14.8,12094,11350,11342,219,,,,,,,,,,,,
1672,0.563,15.4,12163,11401,11394,205,,,,,,,,,,,,
1684,0.539,14.7,12232,11453,11447,188,,,,,,,,,,,,
1696,0.534,14.6,12301,11505,11502,166,,,,,,,,,,,,
1708,0.525,14.3,12361,11565,11561,177,,,,,,,,,,,,
1744,0.517,14.1,12520,11766,11755,247,,,,,,,,,,,,
1768,0.524,14.3,12626,11900,11887,276,,,,,,,,,,,,
1780,0.511,13.9,12679,11968,11953,287,,,,,,,,,,,,
1792,0.490,13.3,12733,12035,12019,295,,,,,,,,,,,,
1804,0.497,13.5,12786,12102,12085,302,,,,,,,,,,,,
1816,0.491,13.3,12839,12169,12152,308,,,,,,,,,,,,
1828,0.491,13.3,12892,12237,12219,311,,,,,,,,,,,,
1840,0.496,13.4,12945,12304,12285,313,,,,,,,,,,,,
1852,0.496,13.4,12998,12371,12352,314,,,,,,,,,,,,
1864,0.489,13.2,13051,12439,12419,313,,,,,,,,,,,,
1876,0.494,13.4,13104,12506,12486,310,,,,,,,,,,,,
1888,0.494,13.4,13157,12573,12553,306,,,,,,,,,,,,
1900,0.510,13.9,13210,12641,12620,301,,,,,,,,,,,,
1912,0.483,13.1,13263,12708,12688,294,,,,,,,,,,,,
1924,0.500,13.6,13316,12775,12755,284,,,,,,,,,,,,
1948,0.490,13.3,13423,12910,12890,260,,,,,,,,,,,,
1960,0.490,13.3,13476,12978,12958,244,,,,,,,,,,,,
1972,0.489,13.2,13529,13045,13026,225,,,,,,,,,,,,
1984,0.488,13.2,13582,13113,13095,202,,,,,,,,,,,,
1996,0.491,13.3,13635,13180,13163,173,,,,,,,,,,,,
2008,0.473,12.8,13688,13248,13233,135,,,,,,,,,,,,
2020,0.486,13.2,13741,13316,13304,78,,,,,,,,,,,,
2032,0.494,13.4,13879,13421,13409,142,,,,,,,,,,,,
2044,0.502,13.6,14034,13533,13525,192,,,,,,,,,,,,
2056,0.501,13.6,14189,13645,13642,222,,,,,,,,,,,,
2069,0.479,13.0,14357,13766,13770,242,,,,,,,,,,,,
2081,0.492,13.3,14511,13878,13889,252,,,,,,,,,,,,
2093,0.485,13.1,14666,13990,14008,253,,,,,,,,,,,,
2105,0.471,12.7,14821,14103,14128,245,,,,,,,,,,,,
2117,0.488,13.2,14976,14215,14249,229,,,,,,,,,,,,
2141,0.492,13.3,15268,14425,14481,165,,,,,,,,,,,,
2153,0.506,13.7,15313,14452,14509,175,,,,,,,,,,,,
2165,0.498,13.5,15358,14480,14538,182,,,,,,,,,,,,
2172,0.492,13.3,15385,14496,14556,185,,,,,,,,,,,,
2184,0.499,13.5,15430,14524,14586,190,,,,,,,,,,,,
2196,0.495,13.4,15476,14552,14616,193,,,,,,,,,,,,
2208,0.490,13.3,15521,14580,14646,196,,,,,,,,,,,,
2220,0.484,13.1,15566,14608,14677,197,,,,,,,,,,,,
2232,0.489,13.2,15612,14636,14708,198,,,,,,,,,,,,
