Proxy depth,Mg/Ca,Published temperature,Published age,Age model error
(cm),(mmol/mol),(°„C),(yr BP),"(yr, 1¶“)"
305,4.267,26.9,305,6
465,4.108,26.5,465,9
551,4.109,26.5,551,11
711,4.301,27,711,14
797,4.220,26.7,797,16
945,4.244,26.8,945,19
1037,4.290,26.9,1037,21
1187,4.145,26.5,1187,24
1268,4.131,26.5,1268,25
1383,4.204,26.7,1383,28
1528,4.259,26.9,1528,31
1673,4.273,26.9,1673,33
1818,4.487,27.4,1818,36
1963,4.383,27.2,1963,39
2108,3.966,26.1,2108,42
2257,4.237,26.8,2257,45
2451,4.085,26.4,2451,49
2644,4.218,26.7,2644,53
2837,4.170,26.6,2837,57
3030,4.279,26.9,3030,61
3223,4.334,27,3223,64
3446,4.081,26.4,3446,69
3787,3.966,26.1,3787,76
4127,4.031,26.2,4127,83
4468,4.066,26.3,4468,89
4635,4.240,26.8,4635,93
4801,4.071,26.3,4801,96
4968,4.313,27,4968,99
5135,4.108,26.4,5135,103
5321,3.959,26,5321,106
5587,4.109,26.5,5587,112
5800,4.043,26.3,5800,116
6119,3.927,25.9,6119,122
6385,4.261,26.9,6385,128
6868,4.362,27.1,6868,137
7109,4.431,27.3,7109,142
7350,4.437,27.3,7350,147
7592,4.076,26.4,7592,152
7838,4.615,27.7,7838,157
8126,4.372,27.1,8126,163
8432,4.361,27.1,8432,169
8720,4.236,26.8,8720,174
8909,4.197,26.7,8909,178
9101,4.309,27,9101,182
9294,4.029,26.2,9294,186
9684,4.414,27.2,9684,194
9805,4.591,27.7,9805,196
9956,4.579,27.7,9956,199
10057,4.222,26.8,10057,201
10141,4.184,26.7,10141,203
10226,4.111,26.5,10226,205
10311,4.219,26.7,10311,206
10396,4.011,26.2,10396,208
10537,4.363,27.1,10537,211
10610,4.103,26.4,10610,212
10731,4.450,27.3,10731,215
10897,4.201,26.7,10897,218
10991,4.327,27,10991,220
11085,3.867,25.8,11085,222
11202,3.877,25.8,11202,224
11320,4.444,27.3,11320,226
11391,4.638,27.8,11391,228
11424,3.903,25.9,11424,228
11466,4.022,26.2,11466,229
11508,3.666,25.2,11508,230
11550,3.875,25.8,11550,231
11613,3.393,24.3,11613,232
11679,3.477,24.6,11679,234
11745,3.305,24,11745,235
11801,3.615,25,11801,236
11841,3.219,23.7,11841,237
11881,3.181,23.6,11881,238
11921,3.490,24.6,11921,238
11961,3.306,24,11961,239
12001,3.376,24.3,12001,240
12049,3.608,25,12049,241
12081,3.121,23.4,12081,242
12121,3.537,24.8,12121,242
12161,3.317,24.1,12161,243
12201,3.339,24.1,12201,244
12241,3.502,24.7,12241,245
12281,3.409,24.4,12281,246
12361,3.002,23,12361,247
12401,3.002,23,12401,248
12441,3.139,23.5,12441,249
12481,2.868,22.5,12481,250
12533,3.327,24.1,12533,251
12561,3.252,23.9,12561,251
12600,3.145,23.5,12600,252
12640,2.961,22.8,12640,253
12680,3.099,23.3,12680,254
12720,3.141,23.5,12720,254
12760,3.266,23.9,12760,255
12800,3.331,24.1,12800,256
12848,4.077,26.4,12848,257
12900,3.950,26,12900,258
12953,4.460,27.4,12953,259
13063,4.406,27.2,13063,261
13120,3.935,26,13120,262
13176,4.887,28.4,13176,264
13233,3.955,26,13233,265
13290,4.572,27.6,13290,266
13347,4.343,27.1,13347,267
13712,4.576,27.6,13712,274
13786,4.470,27.4,13786,276
13860,4.419,27.3,13860,277
13992,3.559,24.9,13992,280
14035,4.528,27.5,14035,281
14077,3.925,25.9,14077,282
14120,4.537,27.6,14120,282
14166,4.126,26.5,14166,283
14263,4.604,27.7,14263,285
14361,4.234,26.8,14361,287
14458,4.550,27.6,14458,289
14555,4.221,26.8,14555,291
14740,3.578,24.9,14740,295
14894,3.432,24.5,14894,298
14971,3.396,24.3,14971,299
15048,3.422,24.4,15048,301
15125,3.437,24.5,15125,303
15202,3.779,25.5,15202,304
15279,3.307,24,15279,306
15356,3.348,24.2,15356,307
15433,3.443,24.5,15433,309
15510,3.386,24.3,15510,310
15587,3.276,23.9,15587,312
15664,3.424,24.4,15664,313
15741,3.432,24.5,15741,315
15818,3.494,24.7,15818,316
15895,3.797,25.6,15895,318
15972,3.594,25,15972,319
16049,3.545,24.8,16049,321
16126,3.434,24.5,16126,323
16307,3.767,25.5,16307,326
16404,3.530,24.8,16404,328
16502,3.989,26.1,16502,330
16600,3.721,25.3,16600,332
16697,3.683,25.2,16697,334
16805,3.449,24.5,16805,336
16893,3.406,24.4,16893,338
16990,3.543,24.8,16990,340
17088,3.391,24.3,17088,342
17215,3.524,24.7,17215,344
17326,3.560,24.9,17326,347
17473,3.576,24.9,17473,349
17572,3.559,24.9,17572,351
17768,3.530,24.8,17768,355
17817,3.268,23.9,17817,356
17940,3.411,24.4,17940,359
18063,3.590,25,18063,361
18198,3.447,24.5,18198,364
18309,3.445,24.5,18309,366
18432,3.292,24,18432,369
18555,3.593,25,18555,371
18678,3.406,24.4,18678,374
18800,3.553,24.8,18800,376
18923,3.416,24.4,18923,378
19046,3.523,24.7,19046,381
19169,3.411,24.4,19169,383
19292,3.315,24.1,19292,386
19415,3.258,23.9,19415,388
19538,3.624,25.1,19538,391
19661,3.268,23.9,19661,393
19783,3.332,24.1,19783,396
19906,3.101,23.3,19906,398
20029,3.146,23.5,20029,401
20152,3.223,23.8,20152,403
20275,3.387,24.3,20275,406
20437,3.152,23.5,20437,409
20692,3.377,24.3,20692,414
20946,3.106,23.3,20946,419
21201,3.424,24.4,21201,424
21455,3.230,23.8,21455,429
21710,3.158,23.5,21710,434
21964,3.370,24.3,21964,439
22219,3.086,23.3,22219,444
22473,3.166,23.6,22473,449
22728,3.277,23.9,22728,455
22982,3.112,23.4,22982,460
23237,3.114,23.4,23237,465
23491,3.315,24.1,23491,470
23746,3.143,23.5,23746,475
24535,3.369,24.2,24535,491
24764,3.669,25.2,24764,495
