Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1,0.538,15.0,50,495,509,637,,21,G. inflata,2890,40,-7,2663,2461,2787,2663,2461,2787
3,0.521,14.5,290,708,721,604,,41,G. inflata,6500,40,-7,7019,6854,7164,7019,6854,7164
5,0.523,14.5,540,920,933,570,,61,G. inflata,9130,120,-7,9896,9543,10192,9896,9543,10192
7,0.539,15.0,790,1133,1144,534,,77,G. inflata,10150,50,-7,11164,10945,11292,11164,10945,11292
9,0.519,14.4,1050,1345,1356,495,,85,G. inflata,10620,40,-7,11936,11666,12194,11936,11666,12194
11,0.541,15.1,1320,1558,1568,452,,97,G. inflata,11750,60,-7,13225,13095,13355,13231,13101,13377
13,0.533,14.8,1600,1771,1779,406,,109,G. inflata,13680,65,-7,15750,15362,16169,16289,15555,16773
15,0.547,15.3,1900,1984,1991,353,,121,G. inflata,15200,75,-7,17998,17605,18522,18016,17665,18509
17,0.555,15.5,2210,2197,2202,291,,145,G. inflata,15850,130,-7,18781,18585,18962,18683,18199,18932
19,0.535,14.9,2530,2410,2413,212,,157,G. inflata,16000,75,-7,18871,18732,18994,18765,18596,18935
21,0.555,15.5,2880,2627,2622,79,,185,G. inflata,18050,90,-7,20834,20494,21228,21055,20533,21409
23,0.555,15.5,3250,3072,3051,268,,188,G. inflata,18000,130,-7,20777,20408,21235,20960,20472,21407
25,0.561,15.7,3630,3512,3487,352,,214,G. inflata,20280,100,-7,23827,23462,24163,23744,23374,24161
27,0.559,15.6,4030,3952,3924,401,,,,,,,,,,,,
29,0.565,15.8,4440,4391,4361,428,,,,,,,,,,,,
31,0.565,15.8,4850,4829,4799,436,,,,,,,,,,,,
33,0.563,15.7,5270,5267,5238,428,,,,,,,,,,,,
35,0.562,15.7,5680,5705,5678,401,,,,,,,,,,,,
37,0.565,15.8,6090,6142,6118,352,,,,,,,,,,,,
39,0.575,16.1,6490,6578,6559,269,,,,,,,,,,,,
41,0.577,16.2,6870,7010,7007,76,,,,,,,,,,,,
43,0.578,16.2,7240,7302,7286,222,,,,,,,,,,,,
45,0.574,16.0,7590,7591,7571,288,,,,,,,,,,,,
47,0.567,15.8,7920,7879,7856,328,,,,,,,,,,,,
49,0.579,16.2,8240,8167,8142,351,,,,,,,,,,,,
51,0.575,16.1,8540,8454,8428,360,,,,,,,,,,,,
53,0.569,15.9,8820,8741,8715,356,,,,,,,,,,,,
55,0.576,16.1,9080,9028,9002,339,,,,,,,,,,,,
57,0.568,15.9,9330,9314,9290,306,,,,,,,,,,,,
59,0.582,16.3,9560,9600,9579,253,,,,,,,,,,,,
61,0.599,16.8,9780,9882,9873,160,,,,,,,,,,,,
63,0.591,16.6,9980,10041,10023,205,,,,,,,,,,,,
65,0.587,16.5,10170,10197,10176,232,,,,,,,,,,,,
67,0.598,16.8,10350,10353,10331,246,,,,,,,,,,,,
69,0.586,16.4,10520,10508,10486,248,,,,,,,,,,,,
71,0.574,16.1,10690,10662,10642,239,,,,,,,,,,,,
73,0.602,16.9,10860,10816,10798,216,,,,,,,,,,,,
