Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
100.5,2.150,14.1,10301,10298,10287,163,,102.5,G. bulloides,9770,45,200,10439,10291,10540,10439,10291,10540
102.5,1.780,12.4,10439,10418,10419,110,,112.5,G. bulloides,10300,50,200,11128,10933,11209,11128,10933,11209
104.5,1.770,12.3,10577,10545,10550,153,,122.5,G. bulloides,10900,45,200,12073,11916,12297,12072,11917,12295
106.5,1.780,12.4,10715,10676,10682,183,,132.5,G. bulloides,12200,75,200,13439,13283,13638,13438,13280,13654
108.5,1.750,12.2,10852,10807,10812,184,,142.5,G. bulloides,12700,55,200,13946,13808,14081,13940,13789,14111
110.5,1.930,13.1,10990,10939,10943,155,,152.5,G. bulloides,12950,55,200,14296,14051,14694,14370,14034,14890
112.5,1.730,12.1,11128,11080,11083,112,,162.5,G. bulloides,13150,70,200,14712,14261,15039,14730,14228,15120
114.5,1.680,11.8,11317,11277,11282,192,,182.5,G. bulloides,14750,65,200,16869,16441,17274,17199,16923,17540
116.5,1.830,12.6,11506,11483,11489,233,,192.5,G. bulloides,14850,60,200,17014,16593,17428,17327,16999,17635
118.5,1.950,13.2,11695,11690,11696,235,,202.5,G. bulloides,15650,80,200,18343,18057,18636,18248,18011,18562
120.5,1.770,12.3,11884,11898,11903,200,,212.5,G. bulloides,16050,65,200,18780,18657,18889,18671,18545,18834
122.5,1.950,13.2,12073,12113,12117,143,,222.5,G. bulloides,16700,60,200,19277,19090,19437,19241,18941,19430
126.5,1.730,12.1,12619,12644,12653,268,,232.5,G. bulloides,16900,80,200,19451,19217,19765,19453,18965,19826
128.5,2.010,13.5,12893,12914,12924,268,,242.5,G. bulloides,17400,70,200,19948,19813,20159,19968,19579,20261
130.5,1.610,11.4,13166,13185,13194,223,,252.5,G. bulloides,18000,85,200,20533,20265,20906,20737,20341,21186
132.5,1.570,11.2,13439,13435,13442,127,,262.5,G. bulloides,18200,85,200,20763,20464,21140,20970,20512,21352
134.5,1.650,11.6,13540,13553,13561,146,,272.5,G. bulloides,18400,80,200,21015,20661,21377,21283,20594,21531
136.5,1.540,11.0,13642,13650,13658,167,,292.5,G. bulloides,19300,90,200,22267,22094,22438,22309,22053,22523
138.5,1.480,10.6,13743,13747,13755,165,,302.5,G. bulloides,19600,90,200,22496,22290,22709,22608,22302,23268
140.5,1.520,10.9,13845,13845,13852,139,,,,,,,,,,,,
142.5,1.460,10.5,13946,13941,13948,93,,,,,,,,,,,,
144.5,1.440,10.4,14016,14023,14039,130,,,,,,,,,,,,
146.5,1.660,11.7,14086,14104,14130,156,,,,,,,,,,,,
148.5,1.470,10.6,14156,14186,14219,165,,,,,,,,,,,,
150.5,1.440,10.4,14226,14268,14309,159,,,,,,,,,,,,
152.5,1.680,11.8,14296,14350,14395,146,,,,,,,,,,,,
156.5,2.450,15.3,14462,14489,14540,172,,,,,,,,,,,,
158.5,1.700,11.9,14546,14557,14610,179,,,,,,,,,,,,
160.5,1.830,12.6,14629,14625,14680,179,,,,,,,,,,,,
162.5,1.950,13.2,14712,14709,14772,187,,,,,,,,,,,,
164.5,1.600,11.3,14928,14898,14994,253,,,,,,,,,,,,
