Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
2,2.467,24.1,1200,1187,1201,179,,1,N. dutertrei,1560,60,72,1041,904,1207,1041,904,1207
6,2.635,24.8,1700,1703,1733,347,,43.5,N. dutertrei,6190,40,72,6548,6406,6672,6548,6406,6672
8,2.539,24.4,2000,1961,1996,397,,89,N. dutertrei,10990,40,72,12500,12261,12715,12448,12257,12598
10,2.416,23.9,2300,2219,2258,435,,139,N. dutertrei,14640,40,72,16892,16475,17287,17222,16944,17546
12,2.576,24.6,2600,2478,2519,465,,189,N. dutertrei,18770,60,72,21794,21358,22102,21838,21495,22180
16,2.347,23.6,3100,2994,3039,505,,249,N. dutertrei,23580,90,72,,,,27957,27640,28418
18,2.502,24.3,3400,3252,3298,518,,319,N. dutertrei,32130,280,72,,,,36004,35252,36672
20,2.360,23.6,3700,3510,3556,525,,335,N. dutertrei,30500,230,72,,,,34711,34109,35112
22,2.493,24.2,4000,3768,3815,527,,399,N. dutertrei,42970,1050,72,,,,45792,44177,48155
26,2.443,24.0,4500,4284,4330,519,,,,,,,,,,,,
28,2.538,24.4,4800,4542,4587,508,,,,,,,,,,,,
30,2.448,24.0,5000,4800,4843,491,,,,,,,,,,,,
32,2.587,24.6,5300,5058,5099,469,,,,,,,,,,,,
36,2.435,24.0,5800,5575,5609,403,,,,,,,,,,,,
38,2.517,24.3,6100,5833,5863,356,,,,,,,,,,,,
40,2.430,23.9,6300,6091,6115,294,,,,,,,,,,,,
42,2.446,24.0,6600,6348,6364,203,,,,,,,,,,,,
46,2.534,24.4,7100,6869,6886,256,,,,,,,,,,,,
48,2.517,24.3,7300,7131,7152,331,,,,,,,,,,,,
50,2.523,24.4,7600,7393,7416,386,,,,,,,,,,,,
52,2.537,24.4,7800,7655,7679,429,,,,,,,,,,,,
56,2.624,24.8,8300,8178,8202,491,,,,,,,,,,,,
58,2.470,24.1,8500,8440,8463,512,,,,,,,,,,,,
60,2.478,24.2,8800,8701,8723,528,,,,,,,,,,,,
62,2.507,24.3,9000,8963,8983,540,,,,,,,,,,,,
66,2.618,24.8,9500,9486,9501,550,,,,,,,,,,,,
68,2.532,24.4,9700,9748,9760,549,,,,,,,,,,,,
70,2.605,24.7,9900,10009,10018,544,,,,,,,,,,,,
72,2.720,25.2,10200,10271,10276,534,,,,,,,,,,,,
76,2.615,24.8,10600,10794,10790,501,,,,,,,,,,,,
78,2.557,24.5,10800,11056,11047,476,,,,,,,,,,,,
80,2.599,24.7,11100,11317,11302,445,,,,,,,,,,,,
82,2.815,25.6,11300,11579,11557,406,,,,,,,,,,,,
86,2.636,24.8,11700,12102,12063,292,,,,,,,,,,,,
88,2.543,24.4,12000,12363,12312,195,,,,,,,,,,,,
90,2.445,24.0,12200,12581,12536,172,,,,,,,,,,,,
92,2.452,24.0,12400,12757,12737,248,,,,,,,,,,,,
96,2.432,24.0,12800,13108,13133,342,,,,,,,,,,,,
98,2.373,23.7,13000,13284,13330,375,,,,,,,,,,,,
100,2.488,24.2,13200,13459,13525,402,,,,,,,,,,,,
102,2.456,24.1,13500,13634,13720,424,,,,,,,,,,,,
106,2.412,23.9,13900,13985,14109,456,,,,,,,,,,,,
108,2.570,24.6,14100,14161,14303,468,,,,,,,,,,,,
110,2.499,24.3,14300,14336,14497,476,,,,,,,,,,,,
112,2.273,23.2,14500,14512,14690,481,,,,,,,,,,,,
116,2.613,24.7,14900,14862,15076,483,,,,,,,,,,,,
118,2.470,24.1,15100,15038,15269,480,,,,,,,,,,,,
120,2.489,24.2,15300,15213,15461,474,,,,,,,,,,,,
122,2.510,24.3,15500,15389,15653,465,,,,,,,,,,,,
126,2.497,24.2,15900,15739,16036,438,,,,,,,,,,,,
128,2.535,24.4,16100,15915,16226,420,,,,,,,,,,,,
130,2.337,23.5,16300,16090,16417,396,,,,,,,,,,,,
132,2.428,23.9,16500,16265,16606,368,,,,,,,,,,,,
136,2.280,23.2,16900,16616,16982,291,,,,,,,,,,,,
138,2.040,22.0,17100,16791,17166,235,,,,,,,,,,,,
140,2.210,22.9,17300,16976,17355,239,,,,,,,,,,,,
142,2.351,23.6,17500,17170,17547,300,,,,,,,,,,,,
144,2.320,23.4,17700,17364,17736,346,,,,,,,,,,,,
146,2.415,23.9,17900,17558,17923,383,,,,,,,,,,,,
148,2.313,23.4,18100,17752,18110,414,,,,,,,,,,,,
150,2.193,22.8,18200,17946,18296,438,,,,,,,,,,,,
152,2.162,22.6,18400,18140,18482,459,,,,,,,,,,,,
154,2.270,23.2,18600,18333,18667,475,,,,,,,,,,,,
156,2.143,22.5,18800,18527,18852,488,,,,,,,,,,,,
158,2.138,22.5,19000,18721,19036,498,,,,,,,,,,,,
160,2.175,22.7,19200,18915,19220,505,,,,,,,,,,,,
162,1.987,21.7,19400,19109,19404,509,,,,,,,,,,,,
164,2.232,23.0,19600,19303,19588,510,,,,,,,,,,,,
166,1.936,21.4,19800,19497,19771,508,,,,,,,,,,,,
168,2.129,22.5,20000,19690,19954,503,,,,,,,,,,,,
170,2.154,22.6,20100,19884,20137,496,,,,,,,,,,,,
