Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
7,0.856,24.0,1889,1961,1963,180,,6,N. dutertrei,2240,30,50,1787,1698,1870,1787,1698,1870,
11,0.847,23.8,2606,2676,2683,376,,53.5,N. dutertrei,9510,40,50,10308,10206,10428,10308,10206,10428,
16,0.839,23.5,3502,3573,3582,498,,101,N. dutertrei,12750,50,50,14172,14003,14553,14209,13961,14873,
22,0.840,23.6,4577,4650,4661,576,,146,N. dutertrei,16100,60,50,18896,18787,18995,18788,18632,18941,
24,0.830,23.3,4935,5009,5020,591,,193.5,N. dutertrei,27000,120,50,,,,31116,30949,31276,
30,0.846,23.7,6010,6087,6098,609,,,,,,,,,,,,,
33,0.841,23.6,6547,6626,6637,603,,,,,,,,,,,,,
35,0.833,23.3,6906,6985,6997,594,,,,,,,,,,,,,
39,0.849,23.5,7622,7705,7715,561,,,,,,,,,,,,,
45,0.830,23.3,8697,8784,8793,468,,,,,,,,,,,,,
51,0.834,23.4,9772,9865,9869,276,,,,,,,,,,,,,
54,0.839,23.5,10263,10359,10361,99,,,,,,,,,,,,,
59,0.832,23.3,10691,10774,10795,269,,,,,,,,,,,,,
67,0.821,23.0,11377,11441,11488,376,,,,,,,,,,,,,
73,0.796,22.3,11891,11942,12007,410,,,,,,,,,,,,,
77,0.793,22.2,12234,12276,12353,417,,,,,,,,,,,,,
80,0.794,22.2,12491,12527,12613,415,,,,,,,,,,,,,
85,0.792,22.2,12919,12945,13046,398,,,,,,,,,,,,,
89,0.793,22.2,13262,13280,13391,370,,,,,,,,,,,,,
92,0.797,22.3,13519,13532,13651,338,,,,,,,,,,,,,
98,0.787,22.0,14033,14035,14169,234,,,,,,,,,,,,,
100,0.773,21.6,14204,14204,14342,175,,,,,,,,,,,,,
107,0.789,22.1,14877,14898,15011,320,,,,,,,,,,,,,
114,0.794,22.2,15561,15613,15689,411,,,,,,,,,,,,,
118,0.775,21.6,15952,16021,16077,437,,,,,,,,,,,,,
124,0.788,22.0,16539,16635,16659,448,,,,,,,,,,,,,
128,0.801,22.4,16930,17044,17046,438,,,,,,,,,,,,,
133,0.779,21.8,17419,17556,17531,405,,,,,,,,,,,,,
137,0.805,22.5,17810,17966,17918,358,,,,,,,,,,,,,
145,0.769,21.5,18592,18787,18692,139,,,,,,,,,,,,,
151,0.773,21.6,19882,20043,19958,426,,,,,,,,,,,,,
158,0.772,21.6,21868,21969,21905,632,,,,,,,,,,,,,
162,0.766,21.4,22927,22997,22943,688,,,,,,,,,,,,,
167,0.764,21.3,24119,24155,24110,720,,,,,,,,,,,,,
171,0.753,21.0,25179,25184,25148,727,,,,,,,,,,,,,
177,0.794,22.2,26900,26857,26834,693,,,,,,,,,,,,,
183,0.796,22.3,28489,28402,28389,605,,,,,,,,,,,,,
