Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0,2.980,22.7,1660,1731,1731,63,,0,N. dutertrei,2190,45,50,1731,1601,1851,1731,1601,1851
10,2.780,21.8,2435,2508,2496,339,,55,N. dutertrei,5620,55,50,5963,5847,6144,5963,5847,6144
15,2.932,22.5,2822,2897,2884,390,,120,N. dutertrei,9830,55,50,10639,10517,10876,10639,10517,10876
20,2.849,22.2,3209,3285,3272,420,,151,N. dutertrei,11250,50,50,12828,12758,12884,12674,12575,12838
26,2.904,22.4,3674,3750,3738,436,,170,N. dutertrei,11750,90,50,13179,12983,13325,13188,12944,13362
30,2.957,22.4,3984,4060,4049,435,,184,N. dutertrei,12250,70,50,13656,13455,13794,13642,13440,13808
35,2.877,22.3,4371,4448,4438,421,,215,N. dutertrei,13400,90,50,15292,14987,15658,15529,15065,16294
40,2.797,21.8,4758,4835,4827,391,,250,N. dutertrei,16800,80,50,19495,19294,19804,19493,19307,19849
45,2.800,22.0,5145,5222,5216,341,,320,N. dutertrei,25100,150,50,,,,29482,29119,30140
50,2.758,22.0,5533,5609,5606,259,,400,N. dutertrei & O. universa,26900,150,50,,,,31068,30830,31267
55,2.779,21.9,5920,5993,5998,76,,,,,,,,,,,,
60,2.731,21.6,6282,6359,6356,253,,,,,,,,,,,,
65,2.706,21.6,6643,6722,6717,336,,,,,,,,,,,,
76,2.768,21.8,7438,7519,7511,432,,,,,,,,,,,,
80,2.744,21.7,7728,7809,7800,449,,,,,,,,,,,,
85,2.741,21.7,8089,8171,8162,460,,,,,,,,,,,,
90,2.697,21.5,8451,8533,8523,460,,,,,,,,,,,,
97,2.792,21.9,8957,9040,9030,443,,,,,,,,,,,,
100,2.818,22.1,9174,9257,9247,428,,,,,,,,,,,,
106,2.826,22.2,9572,9654,9645,388,,,,,,,,,,,,
110,2.814,22.0,9897,9979,9972,340,,,,,,,,,,,,
116,2.886,22.3,10331,10412,10407,236,,,,,,,,,,,,
120,2.993,22.7,10620,10699,10699,87,,,,,,,,,,,,
125,2.676,21.5,10986,11044,11020,239,,,,,,,,,,,,
130,2.934,22.5,11352,11387,11343,294,,,,,,,,,,,,
135,2.801,22.0,11718,11730,11667,311,,,,,,,,,,,,
140,2.799,22.1,12085,12072,11991,296,,,,,,,,,,,,
146,3.095,23.1,12524,12482,12380,227,,,,,,,,,,,,
151,2.787,21.9,12890,12821,12707,32,,,,,,,,,,,,
154,2.764,21.8,12936,12876,12777,94,,,,,,,,,,,,
160,2.708,21.6,13027,12982,12918,131,,,,,,,,,,,,
170,2.863,22.0,13180,13155,13156,86,,,,,,,,,,,,
174,2.810,22.0,13409,13291,13289,146,,,,,,,,,,,,
180,3.025,22.8,13637,13493,13490,143,,,,,,,,,,,,
184,2.824,22.0,13820,13626,13625,83,,,,,,,,,,,,
190,2.750,21.8,14161,13957,14021,226,,,,,,,,,,,,
194,2.700,21.6,14388,14175,14287,264,,,,,,,,,,,,
200,2.692,21.4,14728,14503,14685,286,,,,,,,,,,,,
205,2.985,22.7,15012,14776,15018,277,,,,,,,,,,,,
210,2.860,22.5,15296,15048,15351,242,,,,,,,,,,,,
215,2.944,22.5,15580,15318,15685,165,,,,,,,,,,,,
220,2.838,22.4,16139,15928,16237,333,,,,,,,,,,,,
224,2.818,22.0,16585,16413,16682,398,,,,,,,,,,,,
230,2.964,22.6,17256,17140,17349,443,,,,,,,,,,,,
235,2.694,21.5,17814,17746,17905,443,,,,,,,,,,,,
240,2.823,22.0,18373,18350,18462,408,,,,,,,,,,,,
250,2.761,21.8,19490,19555,19581,130,,,,,,,,,,,,
256,2.660,21.4,20165,20424,20437,397,,,,,,,,,,,,
260,2.550,20.9,20614,21001,21010,485,,,,,,,,,,,,
264,2.598,21.1,21064,21578,21583,549,,,,,,,,,,,,
280,2.553,20.9,22863,23883,23878,673,,,,,,,,,,,,
290,2.841,22.1,23987,25323,25314,676,,,,,,,,,,,,
300,2.589,21.1,25111,26761,26750,626,,,,,,,,,,,,
310,2.877,22.3,26236,28199,28187,510,,,,,,,,,,,,
320,2.480,20.6,27360,29633,29628,256,,,,,,,,,,,,
330,2.499,20.7,27835,29813,29804,275,,,,,,,,,,,,
340,2.616,21.2,28310,29990,29982,287,,,,,,,,,,,,
