Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
10,0.881,24.8,2435,2494,2491,345,,0,N. dutertrei,2190,45,50,1731,1601,1851,1731,1601,1851
20,0.880,24.7,3209,3268,3265,429,,55,N. dutertrei,5620,55,50,5963,5847,6144,5963,5847,6144
26,0.884,24.9,3674,3733,3730,446,,120,N. dutertrei,9830,55,50,10639,10517,10876,10639,10517,10876
30,0.874,24.5,3984,4043,4041,445,,151,N. dutertrei,11250,50,50,12828,12758,12884,12674,12575,12838
35,0.874,24.5,4371,4432,4430,431,,170,N. dutertrei,11750,90,50,13179,12983,13325,13188,12944,13362
40,0.876,24.6,4758,4821,4819,401,,184,N. dutertrei,12250,70,50,13656,13455,13794,13642,13440,13808
46,0.869,24.4,5223,5288,5288,336,,215,N. dutertrei,13400,90,50,15292,14987,15658,15529,15065,16294
51,0.872,24.5,5610,5678,5680,243,,250,N. dutertrei,16800,80,50,19495,19294,19804,19493,19307,19849
56,0.886,24.9,5992,6064,6067,137,,320,N. dutertrei,25100,150,50,,,,29482,29119,30140
61,0.879,24.7,6354,6421,6423,279,,400,N. dutertrei & O. universa,26900,150,50,,,,31068,30830,31267
66,0.876,24.6,6679,6745,6745,349,,,,,,,,,,,,
71,0.873,24.5,7077,7141,7141,406,,,,,,,,,,,,
77,0.878,24.7,7511,7573,7573,444,,,,,,,,,,,,
81,0.873,24.5,7800,7862,7861,459,,,,,,,,,,,,
87,0.873,24.5,8198,8259,8258,468,,,,,,,,,,,,
91,0.881,24.8,8523,8585,8583,465,,,,,,,,,,,,
95,0.868,24.4,8812,8874,8873,456,,,,,,,,,,,,
99,0.883,24.8,9102,9164,9162,438,,,,,,,,,,,,
106,0.865,24.3,9608,9672,9670,387,,,,,,,,,,,,
111,0.863,24.2,9969,10035,10033,328,,,,,,,,,,,,
115,0.861,24.2,10258,10326,10325,258,,,,,,,,,,,,
121,0.865,24.3,10693,10760,10756,137,,,,,,,,,,,,
124,0.864,24.3,10876,10929,10915,210,,,,,,,,,,,,
129,0.864,24.3,11279,11304,11269,290,,,,,,,,,,,,
134,0.856,24.0,11645,11646,11592,315,,,,,,,,,,,,
141,0.844,23.7,12158,12127,12046,295,,,,,,,,,,,,
147,0.852,23.9,12560,12506,12405,223,,,,,,,,,,,,
151,0.848,23.8,12890,12821,12705,31,,,,,,,,,,,,
158,0.848,23.8,12997,12939,12864,127,,,,,,,,,,,,
160,0.872,24.5,13027,12974,12911,133,,,,,,,,,,,,
163,0.853,23.9,13073,13026,12982,133,,,,,,,,,,,,
169,0.848,23.8,13165,13132,13126,100,,,,,,,,,,,,
171,0.846,23.7,13226,13183,13182,113,,,,,,,,,,,,
176,0.849,23.8,13454,13349,13348,159,,,,,,,,,,,,
180,0.847,23.8,13637,13485,13482,148,,,,,,,,,,,,
185,0.844,23.7,13877,13676,13683,127,,,,,,,,,,,,
188,0.838,23.5,14019,13810,13846,191,,,,,,,,,,,,
191,0.848,23.8,14217,14000,14076,244,,,,,,,,,,,,
196,0.847,23.8,14501,14271,14407,284,,,,,,,,,,,,
199,0.863,24.2,14672,14435,14606,293,,,,,,,,,,,,
204,0.849,23.8,14955,14708,14939,290,,,,,,,,,,,,
211,0.845,23.7,15353,15092,15408,237,,,,,,,,,,,,
216,0.841,23.6,15692,15432,15789,217,,,,,,,,,,,,
218,0.848,23.8,15915,15671,16009,292,,,,,,,,,,,,
220,0.845,23.7,16139,15911,16230,343,,,,,,,,,,,,
225,0.842,23.6,16697,16513,16785,421,,,,,,,,,,,,
229,0.841,23.6,17144,16996,17229,450,,,,,,,,,,,,
236,0.839,23.5,17926,17842,18010,448,,,,,,,,,,,,
242,0.843,23.6,18596,18569,18681,389,,,,,,,,,,,,
251,0.849,23.8,19602,19687,19723,207,,,,,,,,,,,,
255,0.838,23.5,19996,20186,20219,356,,,,,,,,,,,,
260,0.848,23.8,20614,20975,21003,491,,,,,,,,,,,,
270,0.833,23.3,21739,22412,22432,625,,,,,,,,,,,,
274,0.837,23.5,22188,22987,23005,656,,,,,,,,,,,,
278,0.836,23.4,22638,23563,23578,677,,,,,,,,,,,,
281,0.835,23.4,22975,23995,24008,686,,,,,,,,,,,,
285,0.841,23.6,23425,24572,24581,692,,,,,,,,,,,,
291,0.843,23.7,24100,25437,25442,684,,,,,,,,,,,,
297,0.842,23.6,24774,26302,26304,657,,,,,,,,,,,,
303,0.836,23.4,25449,27168,27166,608,,,,,,,,,,,,
308,0.845,23.7,26011,27891,27886,547,,,,,,,,,,,,
321,0.839,23.5,27472,29651,29640,254,,,,,,,,,,,,
