Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
4,3.833,27.9,3130,3136,3138,299,,2,G. ruber,3040,130,20,2806,2446,3152,2806,2446,3152
10,3.650,27.3,4180,4161,4157,446,,24.5,G. ruber,6170,190,20,6596,6189,7054,6596,6189,7054
20,3.751,27.6,5920,5864,5854,399,,48.5,G. ruber,9390,160,20,10199,9735,10553,10199,9735,10553
26,3.817,27.8,6910,6848,6839,294,,58.5,G. ruber,9930,45,20,10845,10655,11063,10845,10655,11063
28,3.724,27.6,7200,7141,7134,356,,74.5,G. ruber,12120,35,20,13545,13424,13670,13545,13402,13698
32,3.627,27.3,7780,7726,7723,424,,101,G. ruber,13240,240,20,15084,14188,15808,15335,14217,16442
44,3.814,27.8,9530,9480,9491,366,,123.5,G. ruber,15540,270,20,18337,17538,18928,18285,17698,18828
46,3.819,27.8,9820,9771,9785,311,,134,G. ruber,18730,480,20,21689,20405,22824,21832,20489,23225
48,3.804,27.8,10120,10062,10079,230,,,,,,,,,,,,
52,3.650,27.3,10390,10390,10402,224,,,,,,,,,,,,
54,3.727,27.6,10530,10535,10544,214,,,,,,,,,,,,
56,3.810,27.8,10660,10679,10685,186,,,,,,,,,,,,
58,3.980,28.3,10800,10823,10826,126,,,,,,,,,,,,
60,3.993,28.3,11160,11112,11113,232,,,,,,,,,,,,
62,3.787,27.7,11530,11449,11449,314,,,,,,,,,,,,
64,3.880,28.0,11900,11785,11786,356,,,,,,,,,,,,
66,3.817,27.8,12260,12121,12122,372,,,,,,,,,,,,
68,3.642,27.3,12630,12457,12458,366,,,,,,,,,,,,
70,3.481,26.8,13000,12793,12794,335,,,,,,,,,,,,
72,3.782,27.7,13360,13128,13130,273,,,,,,,,,,,,
74,3.709,27.5,13730,13463,13465,142,,,,,,,,,,,,
76,3.676,27.4,13860,13629,13652,142,,,,,,,,,,,,
78,3.512,26.9,13980,13740,13789,201,,,,,,,,,,,,
80,3.742,27.6,14110,13851,13925,243,,,,,,,,,,,,
82,3.660,27.4,14240,13961,14062,276,,,,,,,,,,,,
84,3.772,27.7,14360,14072,14199,304,,,,,,,,,,,,
86,3.676,27.4,14490,14182,14336,327,,,,,,,,,,,,
88,3.768,27.7,14620,14292,14473,347,,,,,,,,,,,,
90,3.863,28.0,14750,14403,14609,363,,,,,,,,,,,,
92,3.712,27.5,14870,14513,14746,378,,,,,,,,,,,,
94,3.753,27.6,15000,14623,14883,389,,,,,,,,,,,,
96,3.739,27.6,15130,14733,15020,399,,,,,,,,,,,,
100,3.740,27.6,15380,14952,15293,413,,,,,,,,,,,,
102,3.715,27.5,15620,15151,15491,432,,,,,,,,,,,,
104,3.472,26.8,15850,15440,15750,457,,,,,,,,,,,,
106,3.373,26.5,16090,15728,16009,474,,,,,,,,,,,,
108,3.376,26.5,16330,16016,16267,485,,,,,,,,,,,,
110,3.314,26.3,16570,16303,16525,490,,,,,,,,,,,,
112,3.233,26.0,16800,16591,16784,489,,,,,,,,,,,,
118,3.430,26.6,17520,17453,17559,449,,,,,,,,,,,,
120,3.323,26.3,17750,17739,17817,421,,,,,,,,,,,,
124,3.246,26.0,18600,18402,18439,379,,,,,,,,,,,,
126,3.200,25.9,19210,19049,19123,475,,,,,,,,,,,,
128,3.610,27.2,19820,19695,19807,542,,,,,,,,,,,,
130,3.487,26.8,20430,20341,20490,591,,,,,,,,,,,,
132,3.148,25.7,21050,20985,21174,627,,,,,,,,,,,,
134,3.237,26.0,21660,21627,21857,650,,,,,,,,,,,,
136,3.334,26.3,22400,21895,22116,662,,,,,,,,,,,,
138,3.324,26.3,23140,22165,22380,700,,,,,,,,,,,,
147,3.383,26.5,25360,23369,23573,850,,,,,,,,,,,,
157,3.337,26.3,25880,24701,24902,989,,,,,,,,,,,,
162,3.520,26.9,26700,25366,25567,1052,,,,,,,,,,,,
167,3.584,27.1,27520,26030,26233,1111,,,,,,,,,,,,
177,3.548,27.0,29150,27358,27564,1220,,,,,,,,,,,,
182,3.494,26.8,29970,28022,28230,1272,,,,,,,,,,,,
187,3.388,26.5,30790,28685,28896,1321,,,,,,,,,,,,
192,3.410,26.6,31610,29348,29562,1368,,,,,,,,,,,,
197,3.227,26.0,32430,30012,NaN,1414,,,,,,,,,,,,
202,3.589,27.1,33250,NaN,NaN,NaN,,,,,,,,,,,,
207,3.587,27.1,34060,NaN,NaN,NaN,,,,,,,,,,,,
212,3.576,27.1,34880,NaN,NaN,NaN,,,,,,,,,,,,
217,3.265,26.1,35700,NaN,NaN,NaN,,,,,,,,,,,,
222,3.264,26.1,36520,NaN,NaN,NaN,,,,,,,,,,,,
227,3.224,26.0,37020,NaN,NaN,NaN,,,,,,,,,,,,
232,3.112,25.6,37530,NaN,NaN,NaN,,,,,,,,,,,,
237,3.329,26.3,38030,NaN,NaN,NaN,,,,,,,,,,,,
242,3.372,26.5,38530,NaN,NaN,NaN,,,,,,,,,,,,
247,3.417,26.6,39030,NaN,NaN,NaN,,,,,,,,,,,,
252,3.313,26.3,39540,NaN,NaN,NaN,,,,,,,,,,,,
257,3.372,26.5,40040,NaN,NaN,NaN,,,,,,,,,,,,
262,3.504,26.9,40540,NaN,NaN,NaN,,,,,,,,,,,,
267,3.501,26.9,41040,NaN,NaN,NaN,,,,,,,,,,,,
